model,crps_7,logs_7,rmse_7,PI_75,PI_90,PI_95,running_times
mod_l_2_2020-12-30,9.151579857142856,4.193279388521185,13.857142857142858,0.8571428571428571,1,1,601.213026762006
mod_l_2020-12-30,14.644579375000001,4.841644821388643,19.857142857142858,0.42857142857142855,0.7142857142857143,0.8571428571428571,62.664848089218
mod_r_2020-12-30,8.494754964285713,4.252610598280917,11.571428571428571,1,1,1,107.2526752948764
mod_r2_2020-12-30,8.381001,4.239056671187164,10.857142857142858,1,1,1,51.87823987007142
mod_rl_2_2020-12-30,8.043890464285713,4.133968437607755,11.142857142857142,0.8571428571428571,1,1,374.47037029266363
mod_rl_2020-12-30,8.003570125,4.150620856276054,11,1,1,1,287.9119825363158
