beta_1
-0.523249
-0.407292
-0.353507
-0.392918
0.523193
-0.289027
0.254805
-0.344262
-0.724739
-0.108805
0.206357
0.583716
0.0628603
-0.228056
0.759443
0.59401
0.392462
0.591426
1.42259
0.569227
0.507439
0.105676
0.981708
0.463096
1.21155
1.21815
0.299811
0.149511
0.0283626
-0.0493737
-0.508279
-0.647687
-0.606274
-0.186921
0.195918
0.259271
0.408431
0.164585
0.0990295
0.569228
-0.524139
-0.818715
-0.897409
0.281593
0.281593
0.183708
0.471172
0.511424
0.526897
0.499121
0.482011
0.67946
0.511502
0.597921
0.521613
0.231526
0.231526
0.12435
0.22126
-0.00762715
-0.0456487
-0.116036
-0.116036
0.0196776
0.271013
0.424636
0.319507
0.118557
0.321263
0.406969
-0.405548
0.141137
0.21093
0.964478
1.23526
0.920088
1.25354
1.25354
1.26417
1.15706
1.03706
1.11078
1.21752
1.54208
0.239105
0.143772
0.537178
0.225771
0.635393
1.15167
0.430544
0.267336
0.0279053
0.0279053
-0.172218
-0.257173
-0.440036
0.589529
0.161873
-0.00159971
-0.0358269
0.575776
0.497751
0.261634
0.356146
0.374678
0.0290427
0.0290427
0.0290427
0.196635
-0.149864
0.0193199
0.202128
0.506539
0.408876
0.172969
0.176533
0.379758
0.408669
-0.175666
0.088454
0.532437
0.243294
-0.00151764
0.378589
0.693052
0.795265
1.03038
1.106
0.540842
1.30578
0.050777
0.338578
0.244719
0.263929
-0.0363707
0.380226
0.506
-0.610794
0.145724
0.680363
-0.829698
0.14998
0.139459
0.207077
0.643468
0.349593
-0.616713
-0.380866
-0.638086
-0.450813
0.10531
-0.0523608
-0.261419
0.940693
0.699966
0.922969
0.250462
-0.176784
-0.467025
-0.429859
-0.0640557
0.299583
-0.220977
-0.0386479
0.128454
0.641681
0.325151
-0.0295085
-0.0895139
0.187372
0.612283
-0.00255336
-0.29685
0.289002
0.29778
0.359697
0.241883
0.220715
0.386428
-0.459202
-0.276165
-0.0373121
0.23392
0.316918
0.136796
0.209961
0.371851
-8.49689e-4
0.54051
0.109564
-0.0019765
-0.143246
0.316667
-0.0890112
0.300094
0.298395
-0.00306551
0.152733
0.152621
0.364384
-0.183996
-0.230517
0.0307889
0.0284665
0.121227
1.35051
0.581497
0.278748
-0.202923
0.0989295
0.174893
0.894784
0.383043
0.348992
0.0874006
0.441774
0.570841
0.617063
0.953243
0.627504
0.392173
0.625086
0.480097
0.418059
0.330634
0.230136
0.40712
0.600511
0.422439
0.686382
0.166581
0.227867
0.459727
-0.0537481
0.15087
-0.154192
0.344556
0.0117171
0.371458
-0.142825
0.2073
0.883555
-0.0111691
0.224323
-0.11685
0.168971
0.445428
0.566298
0.674766
-0.167629
0.0170769
-0.122051
-0.516922
-0.182746
-0.633129
-0.456519
0.364328
-0.333859
0.324932
0.148115
0.0776453
-0.294328
0.0172678
-0.0849806
0.0239773
0.239074
0.724336
0.766438
-0.335874
-0.0777567
-0.438189
0.339882
0.446864
-0.00778224
0.468643
0.330973
1.03519
0.710872
0.809619
0.59372
-0.140469
0.312597
-0.538079
-0.250251
0.408414
0.247166
0.146076
-0.332312
-0.106891
-0.0568761
0.0776549
-0.333839
-0.440963
0.241255
0.253686
0.0989529
0.574169
0.144667
0.349479
-0.186977
0.190644
0.331511
0.476431
-0.25874
0.421343
-0.197571
-0.0236275
0.0986588
-0.197579
0.075487
0.523819
0.223037
0.0458324
0.44492
0.125912
0.0442726
0.117494
0.211517
0.245301
-0.0874398
0.0465727
-0.0473342
0.776083
0.537311
1.21397
0.963248
1.1796
0.315543
0.240471
0.0380657
0.871784
0.920795
-0.0149206
-0.0881751
0.246105
0.175853
0.100899
0.0393242
-0.108377
0.214213
-0.0113765
-0.110285
0.72848
0.679163
0.760255
0.245744
-0.046727
0.434394
0.302644
-0.176826
-0.208888
0.215567
0.0805498
-0.155066
0.142071
0.3889
0.476798
0.908095
0.736277
0.942924
0.934186
0.482646
0.00770725
0.514198
0.203844
0.781479
0.0907343
-0.329424
0.45825
0.341913
0.341317
0.631566
0.373023
0.370872
-0.38167
0.100687
-0.459055
-0.215884
0.331061
-0.0636728
-0.311577
-0.633242
-0.545147
0.32614
0.422446
-0.040209
0.117568
0.135748
-0.39803500000000003
-0.947661
-0.821846
-0.262229
0.0471141
-0.303406
-0.350941
-0.30509
-0.0438368
0.22865
0.809179
0.828361
0.406649
0.375138
0.668126
0.607197
-0.275993
0.639952
0.405937
-0.435574
0.342011
0.145624
0.0654369
0.0636288
-0.348824
-0.0279864
-0.39691
-0.0840526
-0.0313176
0.377908
0.256702
0.527824
0.0234487
0.165764
0.242007
0.950582
0.39401
0.242643
-0.583852
-0.30922
-0.564141
-0.479092
-0.785373
-0.145471
-0.264422
-0.415402
-0.241489
-0.17837
0.0430053
0.200426
0.625382
0.836477
-0.0972102
-0.359061
0.657601
0.620993
0.648879
0.391015
0.180849
0.579622
0.547404
0.723625
0.319931
0.411724
0.668608
0.392215
0.391552
0.302408
0.319323
0.141831
0.108147
0.0382882
0.0382882
0.0382882
0.0382882
-0.153249
-0.153249
0.686444
0.567975
0.683239
0.813129
0.682896
0.776616
0.60534
0.974577
0.985253
0.886444
0.471253
0.57218
0.560564
0.410617
0.251699
0.329147
0.0603471
-0.0572016
0.367643
0.421928
0.147242
0.0612644
-0.0264327
0.112057
-0.0352785
-0.0737968
-0.0737968
0.104751
0.698775
-0.193964
0.0064802
0.120327
0.0784453
0.218344
0.220572
-0.102954
0.260106
0.34943
0.135751
0.0588022
0.503507
0.638203
0.44587
0.44587
0.0263084
0.221763
0.249866
0.249866
0.249866
0.415695
0.723657
0.654392
0.0959502
-0.0299006
0.418704
0.412709
0.378441
0.378441
0.419366
-0.352082
-0.621324
-0.266288
0.253899
-0.130042
0.890554
0.291401
0.225247
0.413753
0.478921
0.456608
0.274258
0.21634
0.0197388
0.0197388
0.0803093
0.22166
0.338715
0.0807937
-0.175021
-0.0554472
-0.0554472
-0.237822
-0.0900951
0.142819
0.142819
0.091364
0.134974
0.120927
0.0189055
-0.0671766
