date,med_b,q5_b,q95_b,type,now,delay,weekday
2021-01-13,0.6609579999999999,-0.950320025,2.3922265,mod_b,2021-01-13,0,4
2021-01-14,0.3804225,-1.54279575,2.24809825,mod_b,2021-01-14,0,5
2021-01-15,1.3755549999999999,-0.5276389499999999,3.164264,mod_b,2021-01-15,0,6
2021-01-19,0.588442,-1.24759975,2.4018680000000003,mod_b,2021-01-19,0,3
2021-01-20,0.7114155,-1.11172875,2.4124197500000006,mod_b,2021-01-20,0,4
2021-01-21,0.9191965,-0.800587425,2.6605285000000003,mod_b,2021-01-21,0,5
2021-01-22,1.6682649999999999,-0.03470245499999994,3.330121,mod_b,2021-01-22,0,6
2021-01-26,1.7048,-0.06952276749999999,3.47089125,mod_b,2021-01-26,0,3
2021-01-27,2.10354,0.3141158750000001,3.8798920000000003,mod_b,2021-01-27,0,4
2021-01-28,2.3750150000000003,0.7244862750000001,4.070842000000001,mod_b,2021-01-28,0,5
2021-01-29,2.79324,1.12672675,4.44324775,mod_b,2021-01-29,0,6
2021-02-02,2.1029999999999998,0.4868223750000001,3.7600910000000005,mod_b,2021-02-02,0,3
2021-02-03,2.091315,0.4535113,3.7168850000000004,mod_b,2021-02-03,0,4
2021-02-04,3.3964499999999997,1.6308767499999999,5.102258750000001,mod_b,2021-02-04,0,5
2021-02-05,2.810315,1.426322,4.180871,mod_b,2021-02-05,0,6
2021-02-09,2.26689,0.8678647000000002,3.6788930000000004,mod_b,2021-02-09,0,3
2021-02-10,2.393955,1.0784402499999999,3.7471267500000005,mod_b,2021-02-10,0,4
2021-02-11,2.0029399999999997,0.7167519750000001,3.33751175,mod_b,2021-02-11,0,5
2021-02-12,1.920425,0.8135230000000001,3.1123225000000003,mod_b,2021-02-12,0,6
2021-02-16,1.200155,0.17370685000000002,2.2380497500000005,mod_b,2021-02-16,0,3
2021-02-17,1.30827,0.33300082500000006,2.2304927500000002,mod_b,2021-02-17,0,4
2021-02-18,1.27016,0.32935235,2.2027455000000002,mod_b,2021-02-18,0,5
2021-02-19,1.28899,0.405622025,2.2348075000000005,mod_b,2021-02-19,0,6
2021-02-23,1.080845,0.28450852500000007,1.9686047500000006,mod_b,2021-02-23,0,3
2021-02-24,1.03105,0.26347312500000003,1.8170020000000002,mod_b,2021-02-24,0,4
2021-02-25,1.085445,0.34032862500000005,1.8456397500000001,mod_b,2021-02-25,0,5
2021-02-26,0.7503925,0.06172806250000003,1.437192,mod_b,2021-02-26,0,6
2021-03-02,0.4528955,-0.26932677499999996,1.1477057500000003,mod_b,2021-03-02,0,3
2021-03-03,0.231089,-0.47268135,0.94399135,mod_b,2021-03-03,0,4
2021-03-04,-0.06765575,-0.8439165000000001,0.6873558000000002,mod_b,2021-03-04,0,5
