date,med_b,q5_b,q95_b,type,now,delay,weekday
2021-01-13,1.26855,0.962169975,1.56655125,mod_b,2021-01-13,0,4
2021-01-14,1.4313799999999999,1.117049,1.7322555000000002,mod_b,2021-01-14,0,5
2021-01-15,1.23515,0.8039615,1.644974,mod_b,2021-01-15,0,6
2021-01-19,1.083135,0.584807775,1.5737549999999998,mod_b,2021-01-19,0,3
2021-01-20,1.133795,0.5858913,1.64510675,mod_b,2021-01-20,0,4
2021-01-21,1.2460550000000001,0.65876595,1.84633,mod_b,2021-01-21,0,5
2021-01-22,0.9137035,0.360331025,1.51194125,mod_b,2021-01-22,0,6
2021-01-26,1.1852550000000002,0.6202789999999999,1.7571007500000002,mod_b,2021-01-26,0,3
2021-01-27,1.147315,0.625067425,1.7128182500000002,mod_b,2021-01-27,0,4
2021-01-28,1.0745,0.53872545,1.59431525,mod_b,2021-01-28,0,5
2021-01-29,0.8456345,0.33690845,1.3669325,mod_b,2021-01-29,0,6
2021-02-02,0.835751,0.28611335000000004,1.3681215000000002,mod_b,2021-02-02,0,3
2021-02-03,0.709302,0.16275665,1.2491187500000003,mod_b,2021-02-03,0,4
2021-02-04,0.6298935,0.11494740000000002,1.1385720000000001,mod_b,2021-02-04,0,5
2021-02-05,0.5117395,0.0067732497500000086,1.0220405000000004,mod_b,2021-02-05,0,6
2021-02-09,0.713569,0.21043332500000003,1.21205125,mod_b,2021-02-09,0,3
2021-02-10,0.720969,0.22377197499999998,1.224142,mod_b,2021-02-10,0,4
2021-02-11,0.33274499999999996,-0.191046725,0.8774966750000001,mod_b,2021-02-11,0,5
2021-02-12,0.5148205,0.09405018999999999,0.9396237750000002,mod_b,2021-02-12,0,6
2021-02-16,0.6794795,0.245591975,1.114441,mod_b,2021-02-16,0,3
2021-02-17,0.6414960000000001,0.22318635,1.0481635,mod_b,2021-02-17,0,4
2021-02-18,0.755037,0.35029815000000003,1.15202025,mod_b,2021-02-18,0,5
2021-02-19,0.779825,0.4141166,1.12609975,mod_b,2021-02-19,0,6
2021-02-23,0.9959884999999999,0.672305975,1.3125167500000001,mod_b,2021-02-23,0,3
2021-02-24,0.9631605,0.6746446,1.27487175,mod_b,2021-02-24,0,4
2021-02-25,0.9690905000000001,0.682873575,1.26018325,mod_b,2021-02-25,0,5
2021-02-26,0.960331,0.665403875,1.2391445,mod_b,2021-02-26,0,6
2021-03-02,1.0190700000000001,0.73982985,1.2686362500000001,mod_b,2021-03-02,0,3
2021-03-03,1.0323799999999999,0.7792124,1.2735935,mod_b,2021-03-03,0,4
2021-03-04,1.010395,0.76903765,1.24854375,mod_b,2021-03-04,0,5
2021-03-05,1.11022,0.8909905499999999,1.33026625,mod_b,2021-03-05,0,6
2021-03-09,1.1976550000000001,0.97057785,1.4332885000000002,mod_b,2021-03-09,0,3
2021-03-10,1.264215,1.0288180000000002,1.4951755000000002,mod_b,2021-03-10,0,4
2021-03-11,1.378835,1.12715975,1.63495425,mod_b,2021-03-11,0,5
2021-03-12,1.465585,1.2089927500000002,1.73998225,mod_b,2021-03-12,0,6
2021-03-16,1.49988,1.2106230000000002,1.7783214999999999,mod_b,2021-03-16,0,3
2021-03-17,1.5523799999999999,1.232766,1.8482625,mod_b,2021-03-17,0,4
2021-03-18,1.529535,1.1577370000000002,1.8631595,mod_b,2021-03-18,0,5
2021-03-19,1.51029,1.0162182499999999,1.9608335,mod_b,2021-03-19,0,6
2021-03-23,1.328405,0.7140444,1.8534542500000002,mod_b,2021-03-23,0,3
2021-03-24,1.242155,0.6599888500000001,1.77310625,mod_b,2021-03-24,0,4
2021-03-25,1.12583,0.465180475,1.686325,mod_b,2021-03-25,0,5
2021-03-26,0.7251894999999999,0.04199003,1.3618409999999999,mod_b,2021-03-26,0,6
2021-03-30,0.29466099999999995,-0.35807762499999995,0.9482288000000001,mod_b,2021-03-30,0,3
2021-03-31,-0.0019198000000000002,-0.6165807,0.6618938750000002,mod_b,2021-03-31,0,4
