variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,27.82243029,5.29642,298.03806089301827,4.659018608999999,1.4880695000000002,65.82004999999997,1.0001316772952773,5267.488956672471,2565.8567263885247
sigma,0.13649114934675,0.11497850000000001,0.10091532777122264,0.09956370648,0.012207665000000001,0.32679165,1.0001006073207577,2071.4715663559045,1893.8234150207
N[1],1.005,1,0.08047744500658988,0,1,1,1.0002657526752088,4050.199940784025,4050.39111387937
N[2],4.0125,4,0.12185016153237699,0,4,4,1.000208994206991,3891.2434129054673,3931.963031922023
N[3],4.01425,4,0.11853459458119445,0,4,4,1.0004014690481056,3890.198057502276,3890.198057502277
N[4],2.028,2,0.1679971897501294,0,2,2,1.0006463885816579,3495.786984191473,3471.8958887235212
N[5],2.028,2,0.17384923321364476,0,2,2,0.9999953766544706,3892.23920723359,3926.8503955244355
N[6],1.02625,1,0.16753493512883263,0,1,1,0.9997219592901494,4133.4197425220655,4125.246090571139
N[7],4.032,4,0.18969711713429455,0,4,4,0.9993396432825875,3903.584830286866,3903.2056293961655
N[8],2.03225,2,0.19031287987958675,0,2,2,0.9997781203072524,3777.4362130482336,3897.9099589534317
N[9],1.05425,1,0.2425317358836317,0,1,2,0.99953789390237,3893.272608044368,3933.58870914582
N[10],1.06,1,0.24983115078183354,0,1,2,1.0001819392635887,4070.908688296853,4039.3845127625887
N[11],2.09075,2,0.3074704408849808,0,2,3,1.0004999229611677,4259.6861014948245,4064.674828284653
N[12],4.1155,4,0.35873656487838707,0,4,5,1.0004311357323656,4241.51010004794,4101.1667222235255
N[13],1.119,1,0.3679304869276297,0,1,2,0.9999529086796679,3781.939643831308,3721.530589452785
N[14],3.134,3,0.3963373194864501,0,3,4,0.9999662627491911,3944.461591369275,3918.233164730317
N[15],3.1495,3,0.410721222949028,0,3,4,0.9993051492544923,4142.756267742458,3855.5108321285034
N[16],3.14575,3,0.4037916534858741,0,3,4,0.999746071367604,3800.8611878818347,3797.0530373882107
N[17],2.1535,2,0.40985332124582574,0,2,3,0.9992652830236075,4005.973632718023,3990.5504539810704
N[18],4.25075,4,0.5435515611005949,0,4,5,1.0001176724936514,3457.374822625277,3425.2367355544493
N[19],3.24725,3,0.5226717267401054,0,3,4,1.0002332771065505,4142.650685622824,3514.980604847492
N[20],1.348,1,0.6546015015117559,0,1,3,0.9994895944574181,3976.3302778082348,4070.1080979299727
N[21],5.333,5,0.6345956806656344,0,5,7,1.0017113437008114,3667.307417268177,3607.387149264989
N[22],4.3295,4,0.646555688680133,0,4,6,1.0001030145581087,4062.2747787307103,3964.810948525258
N[23],2.339,2,0.640063606491643,0,2,4,1.0008556669348991,3488.285184894374,3435.822060571624
N[24],2.35875,2,0.655862772608816,0,2,4,1.000138192358144,3702.210792463343,3729.21929893335
N[25],1.54525,1,0.8391236319025965,0,1,3,1.0021439562156012,3716.0720558353605,3843.3621974015136
N[26],2.6035,2,0.8561372511158402,0,2,4,0.9996515732135464,3974.8740921541885,3803.9338296970695
N[27],3.84525,4,1.0571574305458198,1.4826,3,6,1.0001826862599024,3798.461429570452,3740.3182540489543
N[28],1.82275,2,1.0351813066243014,1.4826,1,4,1.0003094078720387,3281.2202561057234,3635.0495915100796
N[29],1.95325,2,1.110573176650316,1.4826,1,4,0.9999400927752736,3355.351388133439,3556.712884539855
N[30],0.97075,1,1.1019065237109495,1.4826,0,3,1.0007903757909005,4026.714442016104,3812.9771042098905
N[31],2.06975,2,1.1697123553457756,1.4826,1,4,0.9995375746018524,3861.346130858689,3858.4023731517655
N[32],1.63,1,1.4695713354504076,1.4826,0,4,1.001252050761364,3959.4056629181814,3815.8017043680443
N[33],1.765,1,1.5262232272295013,1.4826,0,5,1.0005374205881394,3847.865376036973,3731.255692640198
N[34],3.40325,3,1.8022073757912376,1.4826,1,7,0.9997433496517588,3922.715016170504,4019.1823106376
N[35],2.38875,2,1.7178070767080327,1.4826,0,5,1.0000061333326942,4200.413181980561,4044.0814737253554
"p[1,1]",0,0,0,0,0,0,NA,NA,NA
"p[2,1]",0,0,0,0,0,0,NA,NA,NA
"p[3,1]",0.0133019029125,0.011403,0.008528593592703233,0.007301590022999999,0.003271103,0.029675389999999992,1.0007879931460226,3950.539767245083,2547.7734862757748
"p[4,1]",0.046428223205,0.039953,0.02883495469553701,0.024785291369999997,0.011608185,0.10216199999999996,1.0011987698607263,5571.417131938099,2864.587093507064
"p[5,1]",0.01490817009725,0.01236985,0.010173084851834381,0.008275888026,0.003519191,0.03452023499999997,1.000296499689046,5001.268688168048,2498.111944050765
"p[6,1]",0.02700896453,0.0229254,0.017718907471103298,0.01516062282,0.0065580475,0.06209234999999997,1.000530022300943,5418.839031456514,2823.148864544097
"p[7,1]",0,0,0,0,0,0,NA,NA,NA
"p[8,1]",0,0,0,0,0,0,NA,NA,NA
"p[9,1]",0,0,0,0,0,0,NA,NA,NA
"p[10,1]",0.0133019029125,0.011403,0.008528593592703233,0.007301590022999999,0.003271103,0.029675389999999992,1.0007879931460226,3950.539767245083,2547.7734862757748
"p[11,1]",0.046428223205,0.039953,0.02883495469553701,0.024785291369999997,0.011608185,0.10216199999999996,1.0011987698607263,5571.417131938099,2864.587093507064
"p[12,1]",0.01490817009725,0.01236985,0.010173084851834381,0.008275888026,0.003519191,0.03452023499999997,1.000296499689046,5001.268688168048,2498.111944050765
"p[13,1]",0.02700896453,0.0229254,0.017718907471103298,0.01516062282,0.0065580475,0.06209234999999997,1.000530022300943,5418.839031456514,2823.148864544097
"p[14,1]",0,0,0,0,0,0,NA,NA,NA
"p[15,1]",0,0,0,0,0,0,NA,NA,NA
"p[16,1]",0,0,0,0,0,0,NA,NA,NA
"p[17,1]",0.0133019029125,0.011403,0.008528593592703233,0.007301590022999999,0.003271103,0.029675389999999992,1.0007879931460226,3950.539767245083,2547.7734862757748
"p[18,1]",0.046428223205,0.039953,0.02883495469553701,0.024785291369999997,0.011608185,0.10216199999999996,1.0011987698607263,5571.417131938099,2864.587093507064
"p[19,1]",0.01490817009725,0.01236985,0.010173084851834381,0.008275888026,0.003519191,0.03452023499999997,1.000296499689046,5001.268688168048,2498.111944050765
"p[20,1]",0.02700896453,0.0229254,0.017718907471103298,0.01516062282,0.0065580475,0.06209234999999997,1.000530022300943,5418.839031456514,2823.148864544097
"p[21,1]",0,0,0,0,0,0,NA,NA,NA
"p[22,1]",0,0,0,0,0,0,NA,NA,NA
"p[23,1]",0,0,0,0,0,0,NA,NA,NA
"p[24,1]",0.0133019029125,0.011403,0.008528593592703233,0.007301590022999999,0.003271103,0.029675389999999992,1.0007879931460226,3950.539767245083,2547.7734862757748
"p[25,1]",0.046428223205,0.039953,0.02883495469553701,0.024785291369999997,0.011608185,0.10216199999999996,1.0011987698607263,5571.417131938099,2864.587093507064
"p[26,1]",0.01490817009725,0.01236985,0.010173084851834381,0.008275888026,0.003519191,0.03452023499999997,1.000296499689046,5001.268688168048,2498.111944050765
"p[27,1]",0.02700896453,0.0229254,0.017718907471103298,0.01516062282,0.0065580475,0.06209234999999997,1.000530022300943,5418.839031456514,2823.148864544097
"p[28,1]",0,0,0,0,0,0,NA,NA,NA
"p[29,1]",0,0,0,0,0,0,NA,NA,NA
"p[30,1]",0,0,0,0,0,0,NA,NA,NA
"p[31,1]",0.0262761632125,0.0224401,0.016969570396855402,0.01432947726,0.006715885,0.060015824999999946,1.0000549511826011,5009.206471832094,2657.714995257999
"p[32,1]",0.08760114927,0.07660475,0.05171324978548227,0.0461970747,0.023064445,0.18793454999999995,1.0002858320019705,6155.958800722658,2966.678671757178
"p[33,1]",0.02923638852425,0.0245798,0.019693920655112263,0.0161329119,0.0068556495,0.06663835499999997,1.000169624059007,5969.256622235175,2873.882309863294
"p[34,1]",0.052048928695,0.04474435,0.03323650863863879,0.028286896049999996,0.01304218,0.11796619999999987,1.0000989127314228,6174.83022682087,3025.5305876649
"p[35,1]",0,0,0,0,0,0,NA,NA,NA
"p[36,1]",0,0,0,0,0,0,NA,NA,NA
"p[37,1]",0,0,0,0,0,0,NA,NA,NA
"p[38,1]",0.0262761632125,0.0224401,0.016969570396855402,0.01432947726,0.006715885,0.060015824999999946,1.0000549511826011,5009.206471832094,2657.714995257999
"p[39,1]",0.08760114927,0.07660475,0.05171324978548227,0.0461970747,0.023064445,0.18793454999999995,1.0002858320019705,6155.958800722658,2966.678671757178
"p[40,1]",0.02923638852425,0.0245798,0.019693920655112263,0.0161329119,0.0068556495,0.06663835499999997,1.000169624059007,5969.256622235175,2873.882309863294
"p[41,1]",0.052048928695,0.04474435,0.03323650863863879,0.028286896049999996,0.01304218,0.11796619999999987,1.0000989127314228,6174.83022682087,3025.5305876649
"p[42,1]",0,0,0,0,0,0,NA,NA,NA
"p[43,1]",0,0,0,0,0,0,NA,NA,NA
"p[44,1]",0,0,0,0,0,0,NA,NA,NA
"p[45,1]",0.022707547877,0.0185051,0.016073120683783013,0.012774200207999999,0.005118369,0.05513259,1.0000625004383727,4870.654482257719,2645.603687536629
"p[46,1]",0.0762656485175,0.06394255,0.049651731380666336,0.04186995834,0.01783337,0.17546724999999996,1.0004714259344367,5635.144326568636,2899.3892239820357
"p[47,1]",0.02530834798775,0.020552,0.018540258675982996,0.01421539119,0.0052556055,0.06234512999999999,1.0005771315167098,5594.865528761627,2318.8955206699147
"p[48,1]",0.0453784718875,0.0370647,0.03203787027661841,0.02573534145,0.010022495,0.10770974999999997,1.0004373196778626,5578.24853051424,2982.465690515879
"p[49,1]",0,0,0,0,0,0,NA,NA,NA
"p[50,1]",0,0,0,0,0,0,NA,NA,NA
"p[51,1]",0,0,0,0,0,0,NA,NA,NA
"p[52,1]",0.022707547877,0.0185051,0.016073120683783013,0.012774200207999999,0.005118369,0.05513259,1.0000625004383727,4870.654482257719,2645.603687536629
"p[53,1]",0.0762656485175,0.06394255,0.049651731380666336,0.04186995834,0.01783337,0.17546724999999996,1.0004714259344367,5635.144326568636,2899.3892239820357
"p[54,1]",0.02530834798775,0.020552,0.018540258675982996,0.01421539119,0.0052556055,0.06234512999999999,1.0005771315167098,5594.865528761627,2318.8955206699147
"p[55,1]",0.0453784718875,0.0370647,0.03203787027661841,0.02573534145,0.010022495,0.10770974999999997,1.0004373196778626,5578.24853051424,2982.465690515879
"p[56,1]",0,0,0,0,0,0,NA,NA,NA
"p[1,2]",0,0,0,0,0,0,NA,NA,NA
"p[2,2]",0.09900951285,0.0963501,0.028304066294851802,0.028286599529999987,0.05800557,0.14988649999999998,1.0006731098071384,3322.9839588353357,2696.69709316017
"p[3,2]",0.2798052627,0.27559500000000003,0.06918197920665892,0.0692292657,0.1734524,0.40103934999999996,1.0000233544832748,6414.924384444652,2905.7043430452104
"p[4,2]",0.10470450795,0.10018350000000001,0.036308031312395156,0.034348283760000015,0.053835435,0.17183314999999993,1.0000057671457674,6840.346853099292,2944.6383128639804
"p[5,2]",0.1807802231,0.175651,0.05321006442774043,0.05246476619999998,0.10266845,0.27656394999999995,1.0001668720856187,6460.3375043439755,3033.3293150015184
"p[6,2]",0,0,0,0,0,0,NA,NA,NA
"p[7,2]",0,0,0,0,0,0,NA,NA,NA
"p[8,2]",0,0,0,0,0,0,NA,NA,NA
"p[9,2]",0.09900951285,0.0963501,0.028304066294851802,0.028286599529999987,0.05800557,0.14988649999999998,1.0006731098071384,3322.9839588353357,2696.69709316017
"p[10,2]",0.2798052627,0.27559500000000003,0.06918197920665892,0.0692292657,0.1734524,0.40103934999999996,1.0000233544832748,6414.924384444652,2905.7043430452104
"p[11,2]",0.10470450795,0.10018350000000001,0.036308031312395156,0.034348283760000015,0.053835435,0.17183314999999993,1.0000057671457674,6840.346853099292,2944.6383128639804
"p[12,2]",0.1807802231,0.175651,0.05321006442774043,0.05246476619999998,0.10266845,0.27656394999999995,1.0001668720856187,6460.3375043439755,3033.3293150015184
"p[13,2]",0,0,0,0,0,0,NA,NA,NA
"p[14,2]",0,0,0,0,0,0,NA,NA,NA
"p[15,2]",0,0,0,0,0,0,NA,NA,NA
"p[16,2]",0.09900951285,0.0963501,0.028304066294851802,0.028286599529999987,0.05800557,0.14988649999999998,1.0006731098071384,3322.9839588353357,2696.69709316017
"p[17,2]",0.2798052627,0.27559500000000003,0.06918197920665892,0.0692292657,0.1734524,0.40103934999999996,1.0000233544832748,6414.924384444652,2905.7043430452104
"p[18,2]",0.10470450795,0.10018350000000001,0.036308031312395156,0.034348283760000015,0.053835435,0.17183314999999993,1.0000057671457674,6840.346853099292,2944.6383128639804
"p[19,2]",0.1807802231,0.175651,0.05321006442774043,0.05246476619999998,0.10266845,0.27656394999999995,1.0001668720856187,6460.3375043439755,3033.3293150015184
"p[20,2]",0,0,0,0,0,0,NA,NA,NA
"p[21,2]",0,0,0,0,0,0,NA,NA,NA
