variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,23.15826804,5.005065,207.47796961253368,4.148715102,1.516633,55.40252499999997,1.0018599714534606,3073.120320380511,2097.245270784213
sigma,0.165369281225,0.1506955,0.08617939869193551,0.08788319064000001,0.057693915000000005,0.32386119999999996,1.0454554951104769,65.97155025881577,59.60021340830622
N[1],1.003,1,0.054696873192023016,0,1,1,1.0007209243823647,4037.0374628489894,4037.0374628489894
N[2],4.01175,4,0.1123169233589409,0,4,4,1.0008290220926457,3897.82019640671,3888.8143897757564
N[3],4.02475,4,0.16013696781853817,0,4,4,1.0011864860624657,3680.87083310441,3815.2703816491207
N[4],2.03325,2,0.19145130164150115,0,2,2,0.9995358709474638,3923.0463571632226,3905.9210182643424
N[5],2.0245,2,0.15781627449069863,0,2,2,1.0008706394556421,3260.8084060408933,3407.473178551348
N[6],1.0245,1,0.16095411320199046,0,1,1,0.9994631569808273,3957.3112402267166,4003.652291913627
N[7],4.035,4,0.1969383055021128,0,4,4,0.9991601243054339,3445.6757841720064,3431.4066389625636
N[8],2.039,2,0.19997249123144994,0,2,2,1.0004480321661837,3910.5175539623765,3889.105807464239
N[9],1.05625,1,0.2580747723955923,0,1,2,1.00010109798459,3527.3745487822684,3520.244801388876
N[10],1.06275,1,0.2623540449682982,0,1,2,0.99954810232723,3281.8122567529817,3306.0767649331096
N[11],2.091,2,0.31183859739888986,0,2,3,1.0008789478263658,3728.36356323831,3647.8282334001287
N[12],4.13025,4,0.3825199574917234,0,4,5,1.0003077876429283,3198.1629423054214,3116.1193666515246
N[13],1.168,1,0.43683372800927545,0,1,2,1.0022297192101783,2569.197520020929,2808.9001321975843
N[14],3.17075,3,0.4540330098060034,0,3,4,0.999763814835707,3166.4539410284465,3124.283232129051
N[15],3.15975,3,0.43043728528572084,0,3,4,1.0000832570102174,2825.742245199775,3063.4250504840306
N[16],3.172,3,0.4510730170567501,0,3,4,1.0009741688568268,3172.690764166661,3292.6064175841598
N[17],2.2015,2,0.4903650318549606,0,2,3,1.0005069237270576,3131.1463574953837,3163.2122028501476
N[18],4.33025,4,0.6385819322695054,0,4,6,1.000565412679071,2170.6142784588583,2450.1381664189694
N[19],3.3265,3,0.6674647011504208,0,3,5,1.0021626752467492,2139.5761256811347,1773.36400611164
N[20],1.43,1,0.7724954286575579,0,1,3,1.0006254937556256,2520.433551076357,2660.4932520047573
N[21],5.4215,5,0.7703805043810381,0,5,7,1.0002747749549747,2409.6502871338407,2764.444322379467
N[22],4.4355,4,0.7851712383094321,0,4,6,1.0018421043061196,1887.856578066966,2332.412425019565
N[23],2.4205,2,0.7425076291829255,0,2,4,1.0009433906140686,2482.10464368601,2655.1100306429626
N[24],2.38925,2,0.7337363489411162,0,2,4,1.0008550627442778,1948.2557653254023,2236.053454754658
N[25],1.63025,1,0.9128215862434882,0,1,3,1.0006457571143177,1409.417014270966,1879.6812157498084
N[26],2.64175,2,0.9540096808302206,0,2,4,1.002325104086022,1132.8878179993626,2097.384989423572
N[27],3.84125,4,1.0755638739339137,1.4826,3,6,1.001021330088102,1476.6684340378406,2004.026063836232
N[28],1.81075,2,1.0436506787162054,1.4826,1,4,1.002020221829868,1331.5007880142255,1719.5238044582231
N[29],1.90075,2,1.1542237632382666,1.4826,1,4,1.0028053373918446,1111.3631885388938,2162.370603325286
N[30],0.91525,1,1.140347550369583,1.4826,0,3,1.0036909070898032,915.1740978011784,1699.4329350568223
N[31],1.94025,2,1.1681271624985619,1.4826,1,4,1.0016476964038787,908.3018240446058,1553.0836729564596
N[32],1.363,1,1.4255662242649203,1.4826,0,4,1.003059010968813,644.5754946261288,1369.9537170391018
N[33],1.54425,1,1.5563249899582645,1.4826,0,4,1.0044429161222306,816.4646424526671,1754.900428656323
N[34],3.185,3,2.0071826512674145,1.4826,1,7,1.0014562448906723,1105.7153454282168,1863.8840935063754
N[35],2.20925,2,1.9831660733328929,1.4826,0,6,1.001372257363359,1132.289296949119,2446.4911506404396
"p[1,1]",0,0,0,0,0,0,NA,NA,NA
"p[2,1]",0,0,0,0,0,0,NA,NA,NA
"p[3,1]",0.0134037379295,0.011551200000000001,0.00860155109954273,0.007034395850999999,0.0031269615,0.029692635,1.0009880920101606,3747.8836017351987,2165.5422296376955
"p[4,1]",0.0463388305925,0.040398500000000004,0.028953680012517385,0.024071419469999997,0.011537490000000001,0.10194220000000001,1.000159732365472,5085.76471856212,2099.4047695640784
"p[5,1]",0.01501815614175,0.01262595,0.010304348327823853,0.008236569474,0.0033175305000000006,0.034419620000000005,1.0002842857729668,4377.496235768432,1907.6445674623126
"p[6,1]",0.02693467164875,0.0233521,0.017556277825882233,0.014469731219999999,0.0064510835,0.0605661399999999,1.0006484988698077,4625.65897896128,2533.4953092193336
"p[7,1]",0,0,0,0,0,0,NA,NA,NA
"p[8,1]",0,0,0,0,0,0,NA,NA,NA
"p[9,1]",0,0,0,0,0,0,NA,NA,NA
"p[10,1]",0.0134037379295,0.011551200000000001,0.00860155109954273,0.007034395850999999,0.0031269615,0.029692635,1.0009880920101606,3747.8836017351987,2165.5422296376955
"p[11,1]",0.0463388305925,0.040398500000000004,0.028953680012517385,0.024071419469999997,0.011537490000000001,0.10194220000000001,1.000159732365472,5085.76471856212,2099.4047695640784
"p[12,1]",0.01501815614175,0.01262595,0.010304348327823853,0.008236569474,0.0033175305000000006,0.034419620000000005,1.0002842857729668,4377.496235768432,1907.6445674623126
"p[13,1]",0.02693467164875,0.0233521,0.017556277825882233,0.014469731219999999,0.0064510835,0.0605661399999999,1.0006484988698077,4625.65897896128,2533.4953092193336
"p[14,1]",0,0,0,0,0,0,NA,NA,NA
"p[15,1]",0,0,0,0,0,0,NA,NA,NA
"p[16,1]",0,0,0,0,0,0,NA,NA,NA
"p[17,1]",0.0134037379295,0.011551200000000001,0.00860155109954273,0.007034395850999999,0.0031269615,0.029692635,1.0009880920101606,3747.8836017351987,2165.5422296376955
"p[18,1]",0.0463388305925,0.040398500000000004,0.028953680012517385,0.024071419469999997,0.011537490000000001,0.10194220000000001,1.000159732365472,5085.76471856212,2099.4047695640784
"p[19,1]",0.01501815614175,0.01262595,0.010304348327823853,0.008236569474,0.0033175305000000006,0.034419620000000005,1.0002842857729668,4377.496235768432,1907.6445674623126
"p[20,1]",0.02693467164875,0.0233521,0.017556277825882233,0.014469731219999999,0.0064510835,0.0605661399999999,1.0006484988698077,4625.65897896128,2533.4953092193336
"p[21,1]",0,0,0,0,0,0,NA,NA,NA
"p[22,1]",0,0,0,0,0,0,NA,NA,NA
"p[23,1]",0,0,0,0,0,0,NA,NA,NA
"p[24,1]",0.0134037379295,0.011551200000000001,0.00860155109954273,0.007034395850999999,0.0031269615,0.029692635,1.0009880920101606,3747.8836017351987,2165.5422296376955
"p[25,1]",0.0463388305925,0.040398500000000004,0.028953680012517385,0.024071419469999997,0.011537490000000001,0.10194220000000001,1.000159732365472,5085.76471856212,2099.4047695640784
"p[26,1]",0.01501815614175,0.01262595,0.010304348327823853,0.008236569474,0.0033175305000000006,0.034419620000000005,1.0002842857729668,4377.496235768432,1907.6445674623126
"p[27,1]",0.02693467164875,0.0233521,0.017556277825882233,0.014469731219999999,0.0064510835,0.0605661399999999,1.0006484988698077,4625.65897896128,2533.4953092193336
"p[28,1]",0,0,0,0,0,0,NA,NA,NA
"p[29,1]",0,0,0,0,0,0,NA,NA,NA
"p[30,1]",0,0,0,0,0,0,NA,NA,NA
"p[31,1]",0.02677615999725,0.0228117,0.01741540323736217,0.014139037289999998,0.006658517500000001,0.05972627999999999,1.0000555097833308,4986.765433691021,2399.5921355998025
"p[32,1]",0.08813724308,0.07737759999999999,0.052324311273914334,0.04606200983999998,0.023295575000000002,0.18924934999999996,1.0006988352858104,5525.722420710279,2693.2902706449618
"p[33,1]",0.02981471547,0.0248862,0.020517491829187648,0.016240474529999993,0.00688809,0.06868807499999997,1.0005195976862167,5153.9574573147675,2566.398366649538
"p[34,1]",0.05252724587,0.045293200000000006,0.03330365280655168,0.028551466019999996,0.012612275000000001,0.11622394999999995,1.0005218860821616,4949.350986804985,2474.709123032989
"p[35,1]",0,0,0,0,0,0,NA,NA,NA
"p[36,1]",0,0,0,0,0,0,NA,NA,NA
"p[37,1]",0,0,0,0,0,0,NA,NA,NA
"p[38,1]",0.02677615999725,0.0228117,0.01741540323736217,0.014139037289999998,0.006658517500000001,0.05972627999999999,1.0000555097833308,4986.765433691021,2399.5921355998025
"p[39,1]",0.08813724308,0.07737759999999999,0.052324311273914334,0.04606200983999998,0.023295575000000002,0.18924934999999996,1.0006988352858104,5525.722420710279,2693.2902706449618
"p[40,1]",0.02981471547,0.0248862,0.020517491829187648,0.016240474529999993,0.00688809,0.06868807499999997,1.0005195976862167,5153.9574573147675,2566.398366649538
"p[41,1]",0.05252724587,0.045293200000000006,0.03330365280655168,0.028551466019999996,0.012612275000000001,0.11622394999999995,1.0005218860821616,4949.350986804985,2474.709123032989
"p[42,1]",0,0,0,0,0,0,NA,NA,NA
"p[43,1]",0,0,0,0,0,0,NA,NA,NA
"p[44,1]",0,0,0,0,0,0,NA,NA,NA
"p[45,1]",0.02260031594675,0.01858965,0.015923993387547873,0.01221417771,0.004876186,0.05372126499999999,1.0003926209235434,3119.671709001967,1877.8778339670807
"p[46,1]",0.075636307805,0.0644006,0.05009487353636705,0.04148574255,0.017576395,0.17207219999999998,0.999974324874723,2826.8153004067904,2048.73600165184
"p[47,1]",0.02537655420675,0.0203576,0.019286785512835882,0.014173878389999998,0.004998150999999999,0.06287316,1.0003245159243548,2777.2169188521943,1849.2281228720449
"p[48,1]",0.0451450064975,0.03748195,0.03234182732364785,0.02548359597,0.009802242500000002,0.11050954999999997,1.0004192253637298,2559.298433556682,2352.218771284288
"p[49,1]",0,0,0,0,0,0,NA,NA,NA
"p[50,1]",0,0,0,0,0,0,NA,NA,NA
"p[51,1]",0,0,0,0,0,0,NA,NA,NA
"p[52,1]",0.02260031594675,0.01858965,0.015923993387547873,0.01221417771,0.004876186,0.05372126499999999,1.0003926209235434,3119.671709001967,1877.8778339670807
"p[53,1]",0.075636307805,0.0644006,0.05009487353636705,0.04148574255,0.017576395,0.17207219999999998,0.999974324874723,2826.8153004067904,2048.73600165184
"p[54,1]",0.02537655420675,0.0203576,0.019286785512835882,0.014173878389999998,0.004998150999999999,0.06287316,1.0003245159243548,2777.2169188521943,1849.2281228720449
"p[55,1]",0.0451450064975,0.03748195,0.03234182732364785,0.02548359597,0.009802242500000002,0.11050954999999997,1.0004192253637298,2559.298433556682,2352.218771284288
"p[56,1]",0,0,0,0,0,0,NA,NA,NA
"p[1,2]",0,0,0,0,0,0,NA,NA,NA
"p[2,2]",0.1000138503,0.09685225,0.027751036947557043,0.026796067619999996,0.06044001,0.14983285,1.0003425558869103,2896.6039402927877,3169.6688635164714
