variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,18.4252502075,3.334505,274.9883668919917,2.5862029619999998,1.2058110000000002,30.952650000000002,0.9999979003501142,6682.664402007536,2473.0381723009527
sigma,0.144504873256025,0.1212535,0.10812842945616041,0.10780510923,0.012031100000000003,0.3533027999999996,1.0008402678415416,2924.365230224563,2367.925015110487
N[1],2.03375,2,0.19136377014244568,0,2,2,0.9999952121415829,4065.6209076995656,4089.004490361439
N[2],3.03575,3,0.19995482735669526,0,3,3,0.9997589701623294,4176.703508472963,4170.907661173252
N[3],6.0665,6,0.26943626143253935,0,6,7,0.9998875913850233,3596.774413515131,3591.5291084882065
N[4],2.0595,2,0.26358512719768534,0,2,3,1.0001082745956307,3899.2564339970354,3932.4080985643536
N[5],2.0785,2,0.2938695966495322,0,2,3,0.9997655070241679,3605.590584676482,3612.4659815133887
N[6],3.082,3,0.3013282258184897,0,3,4,0.9996149618914921,3848.2763499980565,3857.283566258158
N[7],1.09425,1,0.32464332092537396,0,1,2,0.999394562541506,4052.130577816225,3981.247584726609
N[8],2.0725,2,0.2797558146472692,0,2,3,1.0000555149667432,3983.8776267752355,3982.249468902961
N[9],1.0945,1,0.31399744998908813,0,1,2,0.9998425416758046,3663.3430677612473,3607.7303417074045
N[10],2.1235,2,0.3745434830632837,0,2,3,0.9995704781993343,4201.212489990869,3944.4313694836
N[11],1.1195,1,0.3622879561078248,0,1,2,0.9995536993223856,3875.9164052540364,3833.346676728492
N[12],4.15475,4,0.4102980911860397,0,4,5,0.9995066181043624,3981.7072908459268,3854.26616556077
N[13],4.216,4,0.5107927439841199,0,4,5,0.999760997897017,3945.496696960886,3516.4096593676154
N[14],2.33375,2,0.6461155499026133,0,2,4,1.0000146739945837,3961.816959702528,3749.158598758414
N[15],2.329,2,0.6502804903878362,0,2,4,0.9997483762855548,3804.6354395774215,3706.544245232975
N[16],1.3955,1,0.7247144629184592,0,1,3,1.000642075218197,3868.666508006373,3811.496088638225
N[17],4.4915,4,0.8376175444602966,0,4,6,0.999633273363305,3953.323938807943,3756.708116503695
N[18],2.4375,2,0.8180837764351011,0,2,4,0.9996662937663146,4155.412192379781,3858.841072890306
N[19],1.52425,1,0.8902865213078909,0,1,3,1.0002436428693442,3563.4461894894803,3610.913831913519
N[20],1.5875,1,0.976515307374331,0,1,3,0.9997278089803444,3660.6578955500318,3836.699180532769
N[21],1.904,1,1.3432181724368872,0,1,4,0.9998126290981254,4199.854122679603,4005.4975623161713
N[22],3.8765,3,1.3443212227319303,0,3,6,1.0003947562183835,3954.6050276029273,3886.364502478288
N[23],2.19425,2,1.5096644359516769,1.4826,1,5,1.0001006586477803,4243.236973395812,3753.9094652824356
N[24],3.219,3,1.599899659269272,1.4826,2,6,0.9996127462764556,3985.6460426537783,3651.71428626037
N[25],3.303,3,1.7119940802855402,1.4826,2,6,1.000396219694593,3651.9973089533605,3087.90148353467
N[26],4.734,4,2.02095647312518,1.4826,3,8,0.9996561458024621,4628.185347171559,3717.9093010198767
N[27],3.5725,3,1.9134155428865787,1.4826,2,7,0.9998318220414554,4210.663810725383,3905.4257826185394
N[28],2.684,2,1.8838872731175964,1.4826,1,6,0.9997674875945615,4150.181969386839,3795.93025083356
N[29],1.61025,1,1.7851166902753095,1.4826,0,5,0.9998983643542173,4189.278035384762,3929.9826933483414
N[30],1.984,1,2.0319390232112067,1.4826,0,6,0.999501072616991,4126.991315066285,3719.399453610251
N[31],3.18525,3,2.115077025832937,1.4826,1,7,1.0001359510681778,4299.765774930938,3814.2358677424986
N[32],2.54275,2,2.5852162913996826,1.4826,0,7,0.999800738310213,3970.694114042545,3425.0708801194132
N[33],2.136,2,2.2078774152271605,1.4826,0,6,1.0003275394936504,4159.64487835576,3468.410631179424
N[34],2.474,2,2.6341143938067524,1.4826,0,7,1.000154441569933,4204.526111394616,3665.807750257909
N[35],2.66175,2,2.575071782722094,1.4826,0,7,0.9994310536718002,4099.196675654262,3746.8646273784916
"p[1,1]",0.0095725970373,0.0057262549999999995,0.012621592802269885,0.005386893665999999,8.8377675e-4,0.029424919999999983,1.0005204753454586,4074.724872640179,2810.3373527417975
"p[2,1]",0.02423794542875,0.020263000000000003,0.016638864050402356,0.013278017340000003,0.0055505855,0.05649871499999997,1.0007753515302862,5884.245731041828,2979.681359543542
"p[3,1]",0,0,0,0,0,0,NA,NA,NA
"p[4,1]",0,0,0,0,0,0,NA,NA,NA
"p[5,1]",0,0,0,0,0,0,NA,NA,NA
"p[6,1]",0.01743787718125,0.015136150000000001,0.010893800835077983,0.009272914287,0.004381798,0.038533105000000005,1.0009503418667334,5880.91720797521,2405.92659233453
"p[7,1]",0.0507819564375,0.043964100000000006,0.03141884075462231,0.027447596190000006,0.01332352,0.10921494999999999,1.0012147177298352,6113.366381401632,3017.2171912177105
