variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,27.6996373725,4.875955,169.26448011772072,4.154919783,1.4991585,74.74277499999967,1.0016917206705462,3380.8957976976358,1743.8841784888143
sigma,0.1500920045,0.127871,0.08901290840256039,0.07257445608000002,0.05296375,0.31239484999999984,1.1166309868513182,32.03320775281282,61.93027548750984
N[1],2.0135,2,0.11756362235540946,0,2,2,0.9995410202687083,3647.0793940113676,3634.9285611176633
N[2],1.0195,1,0.1418618384037752,0,1,1,1.0006071596954689,4174.415730662107,4175.46669122147
N[3],4.042,4,0.2150524631118477,0,4,4,1.0013355340962302,3858.0633214885947,3856.588862757512
N[4],4.05225,4,0.24297056647677207,0,4,4,1.0006489649274624,3489.017832849743,3613.7913685554927
N[5],2.0765,2,0.29693398668409793,0,2,3,1.0001503771703084,3515.89974698502,3593.760219246919
N[6],2.06725,2,0.26691805636225335,0,2,3,1.0009420448273123,2394.465192879245,2435.006892542457
N[7],1.0585,1,0.25708806578367677,0,1,2,0.999932245706144,3706.3608630357153,3679.950574708958
N[8],4.07125,4,0.27512244653998613,0,4,5,1.0017385514149846,3688.21371524277,3738.1803831784287
N[9],2.0915,2,0.3211752455974715,0,2,3,0.9991819819927322,2646.0093924106513,2597.1626216012
N[10],1.095,1,0.3278747862658354,0,1,2,1.0015874635979307,3428.9262856137057,3377.773013082542
N[11],1.113,1,0.3595320789984633,0,1,2,1.0012005609374015,2827.59726422211,2736.7693857792483
N[12],2.17275,2,0.45657370969877037,0,2,3,1.001465961474402,2873.7971020533146,3080.6821004534354
N[13],4.20425,4,0.4889700506448293,0,4,5,1.0020302014609537,2721.554119265427,2942.5169268566187
N[14],1.27925,1,0.5773671065222918,0,1,2,1.0011933274441944,2694.154611807824,2716.8755630887426
N[15],3.25025,3,0.5474485021128621,0,3,4,1.0002299611179988,2663.211894557932,2613.356917872626
N[16],3.2545,3,0.5583974408299893,0,3,4,1.0017880962074663,2384.348596306855,2627.4728031773884
N[17],3.26325,3,0.5590416526452641,0,3,4,1.0011529271482316,2481.3002719451392,2529.3651742313423
N[18],2.28475,2,0.5964531637892019,0,2,3,1.0012871022937888,2259.0111565619295,2621.8049415272735
N[19],4.50775,4,0.8186009188646758,0,4,6,1.0000298362434707,2788.6419187774454,3083.315654760791
N[20],3.462,3,0.7944896496813931,0,3,5,1.0030055646822904,2108.5239657372613,2457.5544701398717
N[21],1.64325,1,0.9655115176022788,0,1,4,1.0016583935187786,2135.6835088854323,2829.994450000203
N[22],4.595,4,0.9130626598734688,0,4,6,1.0025224455650126,1770.6027474528257,2048.976942402466
N[23],4.57675,4,0.9196852139309302,0,4,6,1.0025959583604054,1841.9567334272613,2257.1515914513834
N[24],2.57425,2,0.8948112143225069,0,2,4,1.0036126029636983,1917.4770421037604,2156.271671033588
N[25],2.631,2,0.9463418466509239,0,2,4,1.0033575776825558,1803.0804574649435,2163.7206224507836
N[26],2.03275,2,1.2134848882015274,1.4826,1,4,1.0034038233220475,1683.2273705465436,2159.3034721998415
N[27],2.978,3,1.1733968702249735,1.4826,2,5,1.000898860606136,1987.0959678111567,2768.497416275369
N[28],4.07025,4,1.23113519199365,1.4826,3,6,1.0018771131090758,1955.2894272457913,2818.0473469094977
N[29],2.07025,2,1.211272773958547,1.4826,1,4,1.0053493859147553,1569.1919253226777,1793.668239346001
N[30],2.199,2,1.2819164666454925,1.4826,1,5,1.006443164567829,1479.2750191287575,2354.6693640207036
N[31],1.27425,1,1.348329127238168,1.4826,0,4,1.0079866924909384,1321.1873334590719,1896.8557619717405
N[32],2.22,2,1.3330582361867265,1.4826,1,5,1.0128041824896556,955.4836018206252,1441.2280175852936
N[33],1.65275,1,1.5899054649087903,1.4826,0,5,1.0091740031167908,1066.1767192790026,1973.1740645105622
N[34],2.058,2,1.8575517824965646,1.4826,0,6,1.012645551334758,916.3199224798384,1951.8567368696883
N[35],2.0825,2,1.8767190169461014,1.4826,0,6,1.0141985341299988,908.1102140988877,1664.8919084455083
"p[1,1]",0,0,0,0,0,0,NA,NA,NA
"p[2,1]",0,0,0,0,0,0,NA,NA,NA
"p[3,1]",0,0,0,0,0,0,NA,NA,NA
"p[4,1]",0.0103943048765,0.008424615,0.007709493774089382,0.006449124674999999,0.0018141840000000002,0.025086739999999982,1.000799513556257,4212.428463935043,2266.7542824185734
"p[5,1]",0.03183887951475,0.025999,0.022912009327770065,0.019474914689999998,0.0057710665,0.07760834499999997,1.0020910936065919,4879.159965228631,2351.9316432490696
"p[6,1]",0.0100965606665,0.007922914999999999,0.008041845791924173,0.006224065994999998,0.00162932,0.025982844999999997,1.0023689005008798,4789.74923324162,2295.2426217612506
"p[7,1]",0.01629324809225,0.012804550000000001,0.01271524394137261,0.009678042150000002,0.002683832,0.04144647499999998,1.001941223044906,5065.863813331722,2533.996500147283
"p[8,1]",0,0,0,0,0,0,NA,NA,NA
"p[9,1]",0,0,0,0,0,0,NA,NA,NA
"p[10,1]",0,0,0,0,0,0,NA,NA,NA
"p[11,1]",0.0103943048765,0.008424615,0.007709493774089382,0.006449124674999999,0.0018141840000000002,0.025086739999999982,1.000799513556257,4212.428463935043,2266.7542824185734
"p[12,1]",0.03183887951475,0.025999,0.022912009327770065,0.019474914689999998,0.0057710665,0.07760834499999997,1.0020910936065919,4879.159965228631,2351.9316432490696
"p[13,1]",0.0100965606665,0.007922914999999999,0.008041845791924173,0.006224065994999998,0.00162932,0.025982844999999997,1.0023689005008798,4789.74923324162,2295.2426217612506
"p[14,1]",0.01629324809225,0.012804550000000001,0.01271524394137261,0.009678042150000002,0.002683832,0.04144647499999998,1.001941223044906,5065.863813331722,2533.996500147283
"p[15,1]",0,0,0,0,0,0,NA,NA,NA
"p[16,1]",0,0,0,0,0,0,NA,NA,NA
"p[17,1]",0,0,0,0,0,0,NA,NA,NA
"p[18,1]",0.0103943048765,0.008424615,0.007709493774089382,0.006449124674999999,0.0018141840000000002,0.025086739999999982,1.000799513556257,4212.428463935043,2266.7542824185734
"p[19,1]",0.03183887951475,0.025999,0.022912009327770065,0.019474914689999998,0.0057710665,0.07760834499999997,1.0020910936065919,4879.159965228631,2351.9316432490696
"p[20,1]",0.0100965606665,0.007922914999999999,0.008041845791924173,0.006224065994999998,0.00162932,0.025982844999999997,1.0023689005008798,4789.74923324162,2295.2426217612506
"p[21,1]",0.01629324809225,0.012804550000000001,0.01271524394137261,0.009678042150000002,0.002683832,0.04144647499999998,1.001941223044906,5065.863813331722,2533.996500147283
"p[22,1]",0,0,0,0,0,0,NA,NA,NA
"p[23,1]",0,0,0,0,0,0,NA,NA,NA
"p[24,1]",0,0,0,0,0,0,NA,NA,NA
