variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,30.458485392500002,3.520365,925.3339895346124,2.660903763,1.226773,37.428234999999994,1.0001303124095708,5294.838670935041,2389.5510470997424
sigma,0.16155972519675,0.1402415,0.11503851847690962,0.11612723954999997,0.01170669,0.37941634999999996,0.9999677960881028,1865.38628420487,2026.9330562998232
N[1],5e-4,0,0.022357883816277995,0,0,0,0.9998571326516033,4018.4072682754845,4018.4072682754845
N[2],3.0035,3,0.059064559217341876,0,3,3,0.9999417395024962,4042.744387160776,4042.744387160776
N[3],1.002,1,0.044682201431679655,0,1,1,1.000432065660852,4029.4378498404008,4029.4378498404026
N[4],1.00475,1,0.06876495949910628,0,1,1,1.0000801978165654,3490.20724347122,3490.2072434712213
N[5],2.006,2,0.08040905672933259,0,2,2,0.9995644834772673,3740.020851290427,3730.9127193831578
N[6],3.0095,3,0.10204093829572554,0,3,3,0.9993520350872096,4087.436485444469,4087.8282840042834
N[7],6.0155,6,0.1275296669563145,0,6,6,0.9999179510430615,3758.242395197717,3740.0351841667343
N[8],2.00925,2,0.0957430372523014,0,2,2,0.9993695202440432,3828.967248550204,3828.967248550204
N[9],2.01925,2,0.1445152540898924,0,2,2,0.9999322105845451,4020.730121559982,3984.9329035413944
N[10],3.0235,3,0.15796831485182172,0,3,3,1.0002115559878269,4079.754049723768,4070.857223837265
N[11],1.03175,1,0.186415195615296,0,1,1,0.9997716337799557,3901.7084624810846,3879.293760891124
N[12],2.0375,2,0.1990066604732821,0,2,2,0.9998929670555099,3924.3361514016283,4021.2555826663565
N[13],1.04025,1,0.21009753150188556,0,1,1,1.0000953898630711,3865.3395491373653,3834.472183504025
N[14],2.04425,2,0.2220456339716939,0,2,2,0.9999761479235957,4100.31084958958,4109.057096068055
N[15],1.03675,1,0.19977340877532582,0,1,1,0.999238435221517,4108.246260638972,4125.836957372634
N[16],4.0335,4,0.1920598129305965,0,4,4,1.0007026865681141,3599.1278775306564,3650.357654778413
N[17],4.03875,4,0.19813695279532223,0,4,4,0.9998111955633094,3786.1125002597573,3732.6836011377477
N[18],2.05675,2,0.2569940641089728,0,2,3,0.9993258159132932,3727.565230714118,3763.5036197530294
N[19],2.059,2,0.26369752387162076,0,2,3,0.9995534350925522,4132.541245517997,4056.7209224912062
N[20],1.061,1,0.25650623552306784,0,1,2,1.001089671010506,4069.855058029878,4040.830811978788
N[21],4.06025,4,0.25325080748710993,0,4,5,0.9995161374761068,4243.302082465431,4042.2787237353587
N[22],2.0535,2,0.24930561229559298,0,2,2,1.0000387131294328,3909.311529744539,3900.841715845371
N[23],1.0685,1,0.28076227820741173,0,1,2,1.0002041790583753,3919.7737022752362,3926.2207290048145
N[24],1.072,1,0.28607072397359834,0,1,2,0.9995783982361369,3957.373651638865,3771.461808796362
N[25],1.13625,1,0.3977756828584025,0,1,2,1.0005736997754022,3651.4294101391906,3504.1388876147507
N[26],2.16775,2,0.4366435639059336,0,2,3,0.9995864683198804,4043.613473484411,3954.7395724014837
N[27],1.20975,1,0.48354254295533494,0,1,2,1.0000701287279048,3886.9032228778833,3891.780350700363
N[28],2.25925,2,0.5353607104304239,0,2,3,0.9998961556834878,3948.4207472869793,3873.7219061012465
N[29],1.32925,1,0.6216438270922832,0,1,3,0.9999073835313917,4089.6704044559606,3919.588024531407
N[30],2.496,2,0.7678746042499146,0,2,4,0.9997376724750469,4238.532482430596,4134.48413628405
N[31],2.5525,2,0.791138562488433,0,2,4,0.9994739144836938,4051.35634853497,3906.5096096267794
N[32],1.89225,2,1.0312156849792564,1.4826,1,4,1.0004268290597522,4142.09580643292,4092.4283699478083
N[33],1.1535,1,1.214416094925007,1.4826,0,3,1.0006934704117572,4217.925788250795,4061.6228179758596
N[34],1.71025,1,1.5125696361576404,1.4826,0,5,0.9994928225139093,3983.5808290564914,4007.842444415793
N[35],1.9015,2,1.6502965247660535,1.4826,0,5,1.0003431625212815,4014.365038903209,4073.690317853399
"p[1,1]",0,0,0,0,0,0,NA,NA,NA
"p[2,1]",0,0,0,0,0,0,NA,NA,NA
"p[3,1]",0.016029411048,0.014217500000000001,0.009048339464655017,0.008136953579999997,0.00485542,0.03257287999999999,0.9997532512591029,3391.0783031742744,2914.4154260921355
"p[4,1]",0.0643211857475,0.05764645,0.034066690824167176,0.03149798526,0.020611465,0.12745559999999992,0.9995768528488198,5560.075354457952,2933.7073881307515
"p[5,1]",0.0285816214675,0.02499305,0.017309910503871297,0.014249268600000002,0.008241119500000001,0.06171595499999999,0.9997807523028267,5324.154840210099,2860.5426033056624
"p[6,1]",0.0296730184875,0.02567395,0.018199393868345404,0.015443280509999999,0.008291947999999999,0.06484965,1.00019192881897,5419.035317165775,3069.0231726433963
"p[7,1]",0,0,0,0,0,0,NA,NA,NA
"p[8,1]",0,0,0,0,0,0,NA,NA,NA
"p[9,1]",0,0,0,0,0,0,NA,NA,NA
"p[10,1]",0.016029411048,0.014217500000000001,0.009048339464655017,0.008136953579999997,0.00485542,0.03257287999999999,0.9997532512591029,3391.0783031742744,2914.4154260921355
"p[11,1]",0.0643211857475,0.05764645,0.034066690824167176,0.03149798526,0.020611465,0.12745559999999992,0.9995768528488198,5560.075354457952,2933.7073881307515
"p[12,1]",0.0285816214675,0.02499305,0.017309910503871297,0.014249268600000002,0.008241119500000001,0.06171595499999999,0.9997807523028267,5324.154840210099,2860.5426033056624
