variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,8.381534615,2.34626,39.07423014026884,1.4982636689999997,1.09017,20.47469999999994,1.0017025993242377,3093.428566696948,1594.661348319095
sigma,0.2253989882,0.19946550000000002,0.1307254893601072,0.12336195689999993,0.06163584500000001,0.48274329999999993,1.0723345268013904,51.46054916532588,115.06404035824714
N[1],3.0355,3,0.20554880826252567,0,3,3,0.9995436375786809,3854.4834630612722,3859.917194966348
N[2],2.0475,2,0.23718729825522572,0,2,2,0.999630821703433,3620.5768671551305,3670.458830976675
N[3],0.06375,0,0.2769568807205277,0,0,1,1.0005816403498444,2913.182166643827,3023.9769442257016
N[4],0.0725,0,0.29877427351870367,0,0,1,1.0000048249800584,3717.1540359863416,3729.9073848329967
N[5],3.12625,3,0.3890356984823802,0,3,4,1.0004442275504613,2506.591593620166,2497.2189331854293
N[6],1.12875,1,0.39775996624558246,0,1,2,1.000259814990988,2669.2588068719847,2711.7966672113025
N[7],1.14725,1,0.43140927898168563,0,1,2,1.0016496300747122,2656.1299529492035,2798.736195626767
N[8],2.14475,2,0.4234882206960036,0,2,3,1.0008536380383617,3188.456649412763,3239.7156695331414
N[9],3.23225,3,0.5393353856039311,0,3,4,0.999669687832999,2602.651776635173,2754.856948089338
N[10],6.2755,6,0.6030677181446268,0,6,7,1.0008344104088986,2832.6674889535484,2899.5326043368555
N[11],2.26725,2,0.5885694869853964,0,2,3,1.0008130302239295,1989.9822360236878,2239.8668827756965
N[12],2.318,2,0.6561125062862514,0,2,4,1.00042423328223,2132.1265560118877,2384.752597561668
N[13],3.274,3,0.6000116694705823,0,3,4,1.0003287834542645,2349.1809156224526,2550.3359020222106
N[14],1.34075,1,0.6646426671292945,0,1,3,1.0017107286510705,1570.0313002792536,2116.161397310846
N[15],2.35375,2,0.6965861364981293,0,2,4,0.9997519177381401,1743.468082754708,1947.8713500044169
N[16],1.39975,1,0.764588834944397,0,1,3,1.000190853880216,1630.5624053418799,1815.9124266943816
N[17],2.438,2,0.7973800560199851,0,2,4,1.0012544389070177,1528.518204718232,1828.9345981432923
N[18],1.441,1,0.8403544186158729,0,1,3,1.0011268270414337,1310.1998858011034,1533.7003164477915
N[19],4.55725,4,0.9345805463947048,0,4,6,1.0012134815941338,1441.7383953840194,1930.620782686992
N[20],4.5945,4,0.9928827745766429,0,4,6,1.0007137821708516,1615.4317474979057,2177.677923234042
