variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,12.64311625,3.30911,75.25086584393134,2.5249864079999997,1.205146,31.037039999999987,1.0043895732593582,5526.474878037434,1964.165593096529
sigma,0.17161985045175,0.1526765,0.12101497870065918,0.12937797704999998,0.015385155000000003,0.40231605000000004,1.0014330251036307,1721.8817956192263,2075.386579568061
N[1],2.00725,2,0.08774601039696989,0,2,2,1.000855505418959,4064.570307950641,4064.4036691825745
N[2],0.01775,0,0.14120879038013234,0,0,0,0.9995570559714492,3841.153330528288,3905.227833700914
N[3],0.023,0,0.15484506530258607,0,0,0,1.0005094142028526,3500.7196220824435,3449.752006031326
N[4],3.05,3,0.2429295241184614,0,3,3,1.0005905314092818,3493.7196659133797,3530.274269195327
N[5],1.05225,1,0.24090339580738143,0,1,1,0.9994486474719743,4184.286830843304,4166.855341241465
N[6],1.06675,1,0.28339815830211784,0,1,2,1.0003278148931203,3977.5189234685354,3795.071736352954
N[7],2.0555,2,0.2538421930348483,0,2,3,1.0007133753092992,3820.2450065686694,3750.005944504099
N[8],3.0495,3,0.2303541094791636,0,3,3,0.9993988038869798,3924.738912819126,3934.01201110258
N[9],6.145,6,0.41775426946641053,0,6,7,0.9996873540065209,3755.7480583975907,3467.486815620936
N[10],2.1115,2,0.3529856933714612,0,2,3,0.9995203265051804,3707.911908061672,3807.716055636859
N[11],2.1185,2,0.35705688959268295,0,2,3,1.0001337278169158,3244.424199457284,3277.4550497924265
N[12],3.1265,3,0.3788583289415083,0,3,4,0.999580557176798,3815.560150313768,3849.490730899615
N[13],1.13325,1,0.3911939361415492,0,1,2,1.0000107542189005,3864.017103938624,3907.424130383518
N[14],2.16975,2,0.4483137113628681,0,2,3,0.9997901500243394,4039.0437080869483,3957.050946962537
N[15],1.203,1,0.49734579339686025,0,1,2,1.0003920243014193,3609.4566643734734,3497.711219936711
N[16],2.267,2,0.5807713180167885,0,2,3,1.0000721140222555,3651.5337489024514,3704.0118104911467
N[17],1.21675,1,0.5175291263292818,0,1,2,1.0001468622692513,3678.544562385209,3697.3604654353912
N[18],4.2645,4,0.6009409559250618,0,4,5,1.0004040677705994,3529.519225712515,3658.731984792142
N[19],4.29125,4,0.6328693138335102,0,4,6,0.9997234364332025,3540.7251673545848,3530.415924637877
N[20],2.369,2,0.6956723294752346,0,2,4,1.0001940479334273,3536.8251450263965,3599.113718260146
N[21],2.37475,2,0.7388835664238194,0,2,4,0.9993885377683039,3500.1723208514854,3434.0455078030986
N[22],1.451,1,0.823874196812258,0,1,3,0.9999060466538254,3242.093012238879,3169.157569841552
