variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,8.426722665,3.021465,28.48578166878984,2.112860673,1.2397495,26.745444999999883,1.0024817181398105,2019.346476873679,1817.2698830935094
sigma,0.152386557975,0.1310385,0.09090387948911749,0.08211839706,0.05052476,0.3268641,1.0192731470496128,74.22738568719751,57.12672289937714
N[1],2.0285,2,0.18219782932914724,0,2,2,0.9999072955461845,3399.6046562913953,3355.592215184062
N[2],1.04425,1,0.21401726179700267,0,1,1,1.0000744279148477,3646.446846822845,3675.010041739344
N[3],2.0485,2,0.22838736873467716,0,2,2,1.0000906425033933,3824.9189438126164,3849.48608218976
N[4],1.047,1,0.2276048131910811,0,1,1,1.0011461563452093,3338.9225480387227,3305.718419133173
N[5],4.074,4,0.2855597767482741,0,4,5,1.0013486546150123,3336.5629735342222,3290.886647461309
N[6],4.097,4,0.32421795033561907,0,4,5,1.000937283915615,3095.2827831422655,3109.2681350135977
N[7],2.10475,2,0.34103740869372695,0,2,3,1.0001602922336783,3057.5610249265824,3084.4124068215147
N[8],2.0815,2,0.29305156509554975,0,2,3,1.0002361885530269,3813.104086588168,3809.464965623726
N[9],1.14525,1,0.400864828405615,0,1,2,1.0001347495864064,3723.0756887889033,3726.8702433890503
N[10],4.1455,4,0.4066584473156722,0,4,5,0.9997079743674271,3419.9149214294257,3404.2152279966745
N[11],2.15,2,0.4105388355976612,0,2,3,0.999623663062974,3138.740369077856,3340.5461941035046
N[12],1.167,1,0.4331950074488621,0,1,2,0.9997045715533931,3342.258207324539,3379.34312208621
N[13],1.2025,1,0.480678180156141,0,1,2,0.9998887600855499,3204.1670777194636,3296.7250237493245
N[14],1.3235,1,0.6155830452679845,0,1,3,0.9998146800268783,2706.1822024965036,2906.574224326253
N[15],4.322,4,0.6284224126192274,0,4,6,0.9997020228142978,2309.7776779505034,2477.33275590274
N[16],1.4945,1,0.7953790963916164,0,1,3,1.0008651119931344,2021.639794145813,2422.126869782182
N[17],3.533,3,0.832817144455507,0,3,5,1.0009881055952807,2301.0431640467345,3185.4872840509856
N[18],3.63525,3,0.9573069239468913,0,3,5,1.0011312870595412,1761.8077133182912,2297.3368557482418
N[19],3.7115,3,1.018836226689159,0,3,6,1.0003103319498392,1548.6223559373818,2009.657014215909
N[20],2.72,2,1.049464312797705,0,2,5,1.0019308079115554,1702.5440365644165,2307.96247725921
N[21],5.35275,5,1.4967890739456147,1.4826,4,8,1.0017166560624127,1176.067357774326,1679.271280147221
N[22],4.37625,4,1.6572183110962353,1.4826,3,7,1.0023947720733226,1031.1823450831337,1402.834662894033
N[23],2.733,2,1.746417330815674,1.4826,1,6,1.0001459132546702,1296.4538944141675,1916.6880432302703
N[24],5.7175,5,1.7711516012184345,1.4826,4,9,1.0015302695009218,1138.6592311971367,1244.3832365531812
N[25],4.82625,4,1.8198595851678865,1.4826,3,8,1.000646964892691,1233.513667963261,1816.5270551960427
N[26],2.8155,2,1.760180192076125,1.4826,1,6,1.0004555993511495,1182.5576233816118,1892.7701218498007
N[27],3.975,4,1.875567764334217,1.4826,2,8,1.0020728914587942,768.5827082900586,1379.531954010607
N[28],3.30875,3,2.059729122606812,1.4826,1,7,1.0010829387503692,1146.1771376636293,1973.0923218141406
N[29],3.296,3,2.0654177513573146,1.4826,1,7,1.0004198215639224,1002.0538610659299,1867.1573056516763
N[30],4.62675,4,2.179821631025294,1.4826,2,9,1.0008313949533103,942.0828500664536,2190.2224597965455
N[31],2.6865,2,2.261746366009248,1.4826,0,7,1.0026428035893022,741.004612329527,1863.032926713206
N[32],2.6755,2,2.3188454047225204,1.4826,0,7,1.0014985322280856,567.4500972819465,743.8021155990652
N[33],2.56525,2,2.3404298409608684,1.4826,0,7,1.001360896425065,497.11831544449547,876.3503812428291
N[34],2.6755,2,2.5158064453605387,1.4826,0,7,1.0012857422754908,521.8361248205882,969.9042507798108
N[35],2.72675,2,2.6101317274054585,1.4826,0,8,1.0013480609224648,481.74489492821544,824.7533966084953
"p[1,1]",0.0069049091237,0.0044415900000000005,0.008405962206515736,0.004193311709999999,5.577332499999999e-4,0.021431634999999987,1.0005340761928967,1111.8099523812562,746.1309356158944
"p[2,1]",0.0192357634815,0.0153633,0.015270066062219343,0.011876189387999999,0.0028590704999999998,0.048657385,1.003290015533736,1502.4898090453007,684.0266414574993
"p[3,1]",0,0,0,0,0,0,NA,NA,NA
"p[4,1]",0,0,0,0,0,0,NA,NA,NA
"p[5,1]",0,0,0,0,0,0,NA,NA,NA
"p[6,1]",0.009362426183325,0.007527974999999999,0.007329827132195858,0.005689811085000001,0.0014064075,0.023674899999999967,1.0037174761939403,1127.6477183784828,685.8204245054945
"p[7,1]",0.028223941207,0.02309875,0.021898654639285968,0.01748244855,0.004273436000000001,0.07066195999999994,1.0022746698304077,1463.7109407188489,674.3125298814066
"p[8,1]",0.01123941085925,0.00886588,0.009279364700867312,0.006973928009999999,0.0015942195,0.029423489999999986,1.0022075840078015,1444.2721865113006,718.6523082870362
"p[9,1]",0.0192357634815,0.0153633,0.015270066062219343,0.011876189387999999,0.0028590704999999998,0.048657385,1.003290015533736,1502.4898090453007,684.0266414574993
"p[10,1]",0,0,0,0,0,0,NA,NA,NA
"p[11,1]",0,0,0,0,0,0,NA,NA,NA
"p[12,1]",0,0,0,0,0,0,NA,NA,NA
"p[13,1]",0.009362426183325,0.007527974999999999,0.007329827132195858,0.005689811085000001,0.0014064075,0.023674899999999967,1.0037174761939403,1127.6477183784828,685.8204245054945
"p[14,1]",0.028223941207,0.02309875,0.021898654639285968,0.01748244855,0.004273436000000001,0.07066195999999994,1.0022746698304077,1463.7109407188489,674.3125298814066
"p[15,1]",0.01123941085925,0.00886588,0.009279364700867312,0.006973928009999999,0.0015942195,0.029423489999999986,1.0022075840078015,1444.2721865113006,718.6523082870362
"p[16,1]",0.0192357634815,0.0153633,0.015270066062219343,0.011876189387999999,0.0028590704999999998,0.048657385,1.003290015533736,1502.4898090453007,684.0266414574993
"p[17,1]",0,0,0,0,0,0,NA,NA,NA
"p[18,1]",0,0,0,0,0,0,NA,NA,NA
"p[19,1]",0,0,0,0,0,0,NA,NA,NA
"p[20,1]",0.009362426183325,0.007527974999999999,0.007329827132195858,0.005689811085000001,0.0014064075,0.023674899999999967,1.0037174761939403,1127.6477183784828,685.8204245054945
"p[21,1]",0.028223941207,0.02309875,0.021898654639285968,0.01748244855,0.004273436000000001,0.07066195999999994,1.0022746698304077,1463.7109407188489,674.3125298814066
"p[22,1]",0.01123941085925,0.00886588,0.009279364700867312,0.006973928009999999,0.0015942195,0.029423489999999986,1.0022075840078015,1444.2721865113006,718.6523082870362
"p[23,1]",0.0192357634815,0.0153633,0.015270066062219343,0.011876189387999999,0.0028590704999999998,0.048657385,1.003290015533736,1502.4898090453007,684.0266414574993
"p[24,1]",0,0,0,0,0,0,NA,NA,NA
"p[25,1]",0,0,0,0,0,0,NA,NA,NA
"p[26,1]",0,0,0,0,0,0,NA,NA,NA
"p[27,1]",0.009362426183325,0.007527974999999999,0.007329827132195858,0.005689811085000001,0.0014064075,0.023674899999999967,1.0037174761939403,1127.6477183784828,685.8204245054945
"p[28,1]",0.028223941207,0.02309875,0.021898654639285968,0.01748244855,0.004273436000000001,0.07066195999999994,1.0022746698304077,1463.7109407188489,674.3125298814066
"p[29,1]",0.025532385329,0.02008115,0.020795002083245206,0.015544356765,0.003742465,0.06570110999999992,1.0025930923159034,1350.1997478458554,732.7281809708252
"p[30,1]",0.04327865749225,0.034303650000000005,0.03387537224922177,0.025904728500000005,0.0068376175,0.10953944999999997,1.003395388778414,1177.2762419918804,522.7112208511796
"p[31,1]",0,0,0,0,0,0,NA,NA,NA
"p[32,1]",0,0,0,0,0,0,NA,NA,NA
"p[33,1]",0,0,0,0,0,0,NA,NA,NA
"p[34,1]",0.021617769728,0.0170849,0.017287510477635222,0.012682138160999999,0.0032222640000000003,0.05507920999999999,1.0044406563779589,907.2695600756573,722.0821141874635
"p[35,1]",0.062878167701,0.05058085,0.048237798747663804,0.037526829899999996,0.01027983,0.1594658999999999,1.0027107162238615,1165.3589344229367,685.4569493291355
"p[36,1]",0.025532385329,0.02008115,0.020795002083245206,0.015544356765,0.003742465,0.06570110999999992,1.0025930923159034,1350.1997478458554,732.7281809708252
"p[37,1]",0.04327865749225,0.034303650000000005,0.03387537224922177,0.025904728500000005,0.0068376175,0.10953944999999997,1.003395388778414,1177.2762419918804,522.7112208511796
"p[38,1]",0,0,0,0,0,0,NA,NA,NA
"p[39,1]",0,0,0,0,0,0,NA,NA,NA
"p[40,1]",0,0,0,0,0,0,NA,NA,NA
"p[41,1]",0.021617769728,0.0170849,0.017287510477635222,0.012682138160999999,0.0032222640000000003,0.05507920999999999,1.0044406563779589,907.2695600756573,722.0821141874635
"p[42,1]",0.062878167701,0.05058085,0.048237798747663804,0.037526829899999996,0.01027983,0.1594658999999999,1.0027107162238615,1165.3589344229367,685.4569493291355
"p[43,1]",0.01031357398775,0.007734935,0.00953823447745446,0.0063721480829999995,0.001286328,0.029274639999999998,1.0035153401748833,917.354997037504,637.7963254540327
"p[44,1]",0.01786330667375,0.012964549999999998,0.016273795328695908,0.010814936894999997,0.00216834,0.049045799999999994,1.0035227508584477,895.313074785874,590.6655717805796
"p[45,1]",0,0,0,0,0,0,NA,NA,NA
"p[46,1]",0,0,0,0,0,0,NA,NA,NA
"p[47,1]",0,0,0,0,0,0,NA,NA,NA
"p[48,1]",0.008787979241575,0.00641691,0.008048191389701163,0.005304587126999999,9.95536e-4,0.024187054999999996,1.0045217521684822,740.5346594557167,276.0475727202576
"p[49,1]",0.0268848362375,0.01983605,0.025242401886033116,0.016458446382,0.0033386060000000005,0.07501407999999996,1.0034351299409978,810.9192378812751,673.3329605380172
