variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,239.5454084125,3.9894100000000003,11833.020482277212,3.04978233,1.3509884999999997,42.13932499999986,1.0043736593236465,2826.126788567495,1676.2358764022683
sigma,0.18925373155,0.15922150000000002,0.1191688799243927,0.09952034043,0.0570472,0.43092909999999995,1.0950448896640645,51.48297237680817,138.96610060045657
N[1],1.0035,1,0.05906455921734187,0,1,1,0.9996137518782297,4043.417389793099,4043.417389793099
N[2],3.00825,3,0.10091820262423042,0,3,3,1.000603853530029,3405.9921189864417,3455.8048088925248
N[3],2.01175,2,0.11006800734800458,0,2,2,0.9994105570895213,3937.0878796916477,3933.6971414626682
N[4],3.01625,3,0.13780669494365222,0,3,3,0.9992367996786945,4007.2816361689834,4000.573547512053
N[5],3.02175,3,0.14927326661874776,0,3,3,1.000033585026437,3660.069806868135,3721.1004559836983
N[6],2.021,2,0.15187088658313644,0,2,2,1.0006293596962776,3753.183912003766,3727.36278541632
N[7],0.03025,0,0.18532005660706347,0,0,0,1.0021943922716607,3028.140106295956,2962.2142076148684
N[8],0.0325,0,0.18828864318723082,0,0,0,0.9993768856399927,3489.824362217208,3478.9746906820596
N[9],3.0435,3,0.21004470880011172,0,3,3,0.9995761267373435,3899.087880627198,3921.490569259674
N[10],1.0445,1,0.2202995301192054,0,1,1,0.9994630316372654,3355.7610395539914,3394.1212653342814
N[11],1.0485,1,0.23908584339129646,0,1,1,0.9996469482945713,3263.2684275780794,3276.3804522626615
N[12],0.06675,0,0.2912312507447519,0,0,1,0.9995007062002155,3334.4408351908023,3435.9843450757853
N[13],3.08825,3,0.34349881420296013,0,3,4,1.000522911423217,2466.7282834269345,2802.945699468116
N[14],6.13,6,0.40944097312997313,0,6,7,1.0003859335873284,2653.946566939768,2793.293603041457
N[15],2.111,2,0.37109759950326987,0,2,3,1.0002037564790325,3120.98440762981,3225.0064682543666
N[16],2.11825,2,0.3785535143025325,0,2,3,1.0002225899692632,2632.909141615715,2746.330041602876
N[17],3.11725,3,0.3695085542215643,0,3,4,1.000817333908211,3395.4118836799175,3453.093025505546
N[18],1.14675,1,0.4623503860384108,0,1,2,1.002347184844112,2162.5310936501146,2434.889687214984
N[19],2.206,2,0.5158784087681498,0,2,3,1.0009080150172769,2710.8088268770266,2899.2932710528617
N[20],1.225,1,0.6204605086632853,0,1,2,1.0005915301740975,2370.539044714579,2405.2978133141337
N[21],2.24575,2,0.6549535697624955,0,2,3,0.9999930652534539,2105.7417923921616,2501.0577233886074
N[22],1.20075,1,0.6029430508602327,0,1,2,1.0004244483592624,2216.107725272587,2493.6692529588595
N[23],4.2675,4,0.6950284282883918,0,4,5,1.0015624497916378,2295.7421720190273,2180.8157391049263
N[24],4.27325,4,0.6816895280500965,0,4,5,1.0006164183134585,2129.0099696166917,2136.0064787070573
N[25],1.3285,1,0.7653327273453595,0,1,3,1.0009192161895157,2092.1327604041685,2423.024115648056
N[26],2.441,2,0.8289697206167574,0,2,4,1.002069524621953,2159.3691512622872,2400.458139945077
N[27],1.52375,1,0.9075471601861749,0,1,3,1.0010146002582334,1829.9431468740463,2335.553920793053
