variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,14.351250955,3.5132000000000003,103.68534586636366,2.4882846450000002,1.3306835000000001,35.338119999999996,1.0004624156376265,4069.631770220348,2188.685060812461
sigma,0.09162448275,0.07885365,0.05588556895189506,0.04952958884999999,0.0285193,0.19542539999999994,1.0616069003218547,73.08462246667945,114.23429777078796
N[1],2.055,2,0.260752752621137,0,2,2,1.0007641434482735,3197.692544456541,3445.2082159259176
N[2],1.069,1,0.2850601950969429,0,1,2,1.0006592953855316,2948.8566741024683,2961.842558831462
N[3],4.1035,4,0.34031853340075974,0,4,5,1.0002169126356961,2523.2684080163076,2796.75071157167
N[4],2.13075,2,0.4008673236281403,0,2,3,1.0020980606228564,2873.9391675506185,3037.453034134797
N[5],1.17825,1,0.4571971071635293,0,1,2,1.0014982929285952,2555.1357338684193,2534.1002935661836
N[6],1.20125,1,0.4967998993911017,0,1,2,1.0004782282518474,2471.156783352251,2727.585881538539
N[7],2.224,2,0.5141887761555877,0,2,3,1.0026370240233085,1417.836042706011,1614.9282201550673
N[8],4.20475,4,0.4933439819954661,0,4,5,1.0014128892213165,1866.8400928128003,2075.9716328119734
N[9],1.2975,1,0.6201531242155993,0,1,3,1.0024727903988218,1705.6506440667813,1683.9410289039874
N[10],3.324,3,0.6600249300042058,0,3,5,1.0010197878984777,1418.3925432324247,1997.4261522135903
N[11],3.40075,3,0.716084933445731,0,3,5,1.0016451579869634,1222.0079606931458,1888.6084153603872
N[12],3.35925,3,0.6876100925741655,0,3,5,1.0022329025975258,1188.6383796997661,1655.0287764980214
N[13],2.37475,2,0.7259092047517967,0,2,4,1.004073085211572,823.4376431096775,1207.5956894748288
N[14],4.43275,4,0.7969543409477038,0,4,6,1.005952090784898,706.5721643631656,957.3064015186272
N[15],3.4235,3,0.8023769078030248,0,3,5,1.002411622067633,879.0294418496254,1226.7109155309165
N[16],1.50475,1,0.8824239941923506,0,1,3,1.0045494899010163,693.837035058306,1097.3396509192812
N[17],5.474,5,0.8443946059530701,0,5,7,1.0022310990011074,656.5055217893649,930.2170668447661
N[18],4.56475,4,0.956575243537662,0,4,6,1.01035420328452,407.0881451066412,542.182271801016
N[19],2.533,2,0.9000630691135458,0,2,4,1.0068655062495795,522.7626657555489,836.9394416973817
N[20],3.5,3,0.8718887816183197,0,3,5,1.005617961863775,575.9074298313426,869.4924637888015
N[21],1.6055,1,0.9879847055722123,0,1,4,1.0027121489307798,666.3366732168739,998.0439555017439
N[22],2.64175,2,1.0191499419374157,0,2,5,1.0047434092847605,437.1131280038505,971.0383994401791
N[23],3.7965,3,1.1319929779046805,0,3,6,1.0067292117255326,511.51573096548725,893.4759066674927
N[24],1.7975,1,1.1444742047339143,0,1,4,1.007102161020322,513.512482519243,923.2129997522272
N[25],2.9815,3,1.2726203835630503,1.4826,2,5,1.0087711544379914,508.3295233106166,667.295464647357
N[26],1.99275,2,1.3069523589699643,1.4826,1,4,1.0095371859028228,474.3200332596767,790.2518287934165
N[27],3.25075,3,1.4553020007814081,1.4826,2,6,1.0062255475413502,527.2660571100107,1051.3725189521529
N[28],3.67075,3,1.7110161692932349,1.4826,2,7,1.0074347978380995,501.3202948702577,1151.3293239068848
N[29],3.93575,4,1.8286492082905748,1.4826,2,7,1.0073191717530579,483.574550722996,653.6119168245277
N[30],6.429,6,2.1332127529063505,1.4826,4,10,1.0053337294869835,543.4459595185292,663.2416214790026
N[31],4.87075,4,2.384001951304981,1.4826,2,9,1.0058473195687287,620.2119119014437,878.1263016346304
N[32],2.96775,3,2.315826137726026,1.4826,0,7,1.0062537237217528,542.3173871719605,762.6977726249659
N[33],4.693,4,2.2331586932946252,1.4826,2,9,1.0060044158238022,467.6472544714639,558.2882129512888
N[34],4.17525,4,2.520937567464685,1.4826,1,9,1.003150918723028,659.0555577112249,695.1307286282063
N[35],3.30225,3,2.549121307894269,1.4826,0,8,1.0049004939291875,572.6931034204674,736.049016502542
"p[1,1]",0.01273218581925,0.00872768,0.012700653976466792,0.007533742943999999,0.0015842685,0.03740117499999998,1.0033191813910156,511.0336235749113,988.553412477315
"p[2,1]",0.03175309054925,0.0276748,0.018986777526903007,0.015976349339999998,0.0091458285,0.06897610499999998,1.001418444608842,4063.095094845815,1851.297457789908
"p[3,1]",0,0,0,0,0,0,NA,NA,NA
"p[4,1]",0,0,0,0,0,0,NA,NA,NA
"p[5,1]",0,0,0,0,0,0,NA,NA,NA
"p[6,1]",0.0229920055075,0.02009205,0.013142794837064733,0.011198448449999999,0.0069116385,0.04838179499999999,1.0028346336747656,2646.5206542078517,1701.8041194457521
"p[7,1]",0.0581535697775,0.05151025,0.03218014496957838,0.02823797025,0.01811029,0.11983724999999988,1.002568449189421,3357.903642987846,2167.6150852583596
