variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,19.80342355,3.73583,453.19339883920384,2.8267696379999996,1.32312,38.072974999999936,1.000799105242646,7001.10759571076,2655.5564794887205
sigma,0.1815050556757,0.1608905,0.12644328814104838,0.13425795494999998,0.016187885000000003,0.41501819999999995,1.0006946824259455,2129.1432528640676,1963.8336224679133
N[1],1.004,1,0.06697104807541898,0,1,1,1.0001044976375613,4041.193559693309,4041.12483920848
N[2],3.01,3,0.10199314021130314,0,3,3,1.0005467378438093,3694.1721334602034,3681.91457207496
N[3],2.015,2,0.1275894579008856,0,2,2,0.9999056027395273,4117.055019311907,4103.958915226506
N[4],3.023,3,0.15961631916046548,0,3,3,1.000450166457406,3940.7977414407333,3997.632204012061
N[5],3.02725,3,0.16587439850386726,0,3,3,0.9991651086313278,2867.833218864472,2844.889435146524
N[6],2.031,2,0.18721047497532056,0,2,2,1.0010262632295561,3956.9621751571594,3945.0862467368165
N[7],0.0475,0,0.22968878778644966,0,0,0,1.0008420833896206,3849.314608816738,3860.3295422719793
N[8],0.04425,0,0.21634148564157177,0,0,0,0.9997359472709463,3969.7688608467815,3933.8256386057274
N[9],3.07225,3,0.28293099863305343,0,3,4,0.999796685692461,3864.1291883180265,3841.1850749400924
N[10],1.0565,1,0.2536214323706485,0,1,2,1.0000712320649368,4059.5499449163262,4051.444070890708
N[11],1.07175,1,0.2848196237173865,0,1,2,1.001051244661702,3824.358226933967,3787.996118392262
N[12],0.086,0,0.3018721280532932,0,0,1,1.0005874753865733,3495.169062735959,3476.1608636649084
N[13],3.11625,3,0.357446330894398,0,3,4,0.9994983004090938,4108.944297077306,4071.4827182911877
N[14],6.163,6,0.4375829860922718,0,6,7,0.999745948020855,3885.2257290807934,3617.229060701423
N[15],2.1265,2,0.39055842580975353,0,2,3,0.9995388769349908,3680.7809637417645,3680.8406439213672
N[16],2.13075,2,0.3836550994172073,0,2,3,1.0002854369758047,3827.0645988866277,3825.506981232629
N[17],3.15,3,0.42313681143372245,0,3,4,0.99964980360628,4283.015892607005,3899.8058192927742
N[18],1.17075,1,0.44118374661196286,0,1,2,0.9993265989762504,3927.65180093478,3890.208520817001
N[19],2.22675,2,0.5190392932591777,0,2,3,1.0002131168680561,3899.8624144688015,3839.9088477378323
N[20],1.267,1,0.5760155800732493,0,1,2,0.9994045749922227,3775.382403861855,3778.702983037182
N[21],2.315,2,0.641777196145495,0,2,4,1.000091716519459,4108.705269820905,3852.430132600633
N[22],1.25225,1,0.5405487820228962,0,1,2,0.9995707316632358,4092.5345653241566,3947.6923093425444
N[23],4.33075,4,0.6693029427002968,0,4,6,1.0001973724412172,3808.8288116875556,3705.5412837658455
