logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
1.05527,1.09454,1.05664,1.09844,1.16803,1.09943,1.07529,0.970308,1.02155,0.958641,0.949393,0.982126,1.0274,1.00982,1.02272,1.03329,1.05253,1.03146,1.01997,0.933839,1.00324,0.983161,0.960725,0.993422,0.952886,1.00129,1.07336,1.06832,1.02741,0.971685,1.00338,0.988038,1.02842,1.01615,1.08141,1.13319,1.2245,1.19573,1.23586,1.25886,1.27599,1.28952,1.27605,1.18854,1.18802,1.18629,1.16016,1.15493,1.15858,1.1435,1.1762,1.10457,1.13322,1.10829,1.05936,1.10987
1.00573,1.1108,1.04182,1.0119,0.971325,0.973809,1.03232,0.965205,0.998014,0.980756,0.976949,0.948361,0.952439,0.922332,0.894693,0.889798,0.900412,0.893117,0.945727,0.888739,0.931084,0.927135,0.917595,0.984515,0.927514,0.920972,0.871661,0.892653,0.963412,0.991787,1.06417,1.1288,1.19712,1.19404,1.22083,1.15762,1.19259,1.17827,1.21564,1.18414,1.26255,1.27205,1.3577,1.31957,1.3154,1.34834,1.39523,1.42887,1.48632,1.45925,1.46359,1.45735,1.30135,1.36945,1.35029,1.31588
1.16209,1.20273,1.22482,1.14687,1.08856,1.06882,1.06744,1.02264,1.01255,1.01125,0.976517,0.962081,1.0306,1.00331,1.01701,0.965492,0.967326,0.995198,1.04681,0.985805,1.03985,0.954012,0.982149,1.00145,0.988884,1.02228,1.05354,1.08814,1.18103,1.18552,1.22811,1.20341,1.18752,1.12987,1.18727,1.14131,1.20082,1.17195,1.18097,1.17583,1.23618,1.20839,1.24254,1.21527,1.24979,1.28746,1.3073,1.23585,1.31532,1.26927,1.28222,1.37638,1.34297,1.48449,1.51425,1.50219
1.06136,1.01462,1.02873,1.01247,1.02552,1.13959,1.12753,1.10614,1.07722,1.09838,1.12878,1.05582,1.06388,1.04998,1.03721,0.991918,0.972308,0.947198,0.946345,1.02564,1.0191,1.09563,1.05178,1.03488,1.03447,0.997697,1.00918,1.05161,1.11166,1.08401,1.12858,1.09052,1.07344,1.12224,1.10156,1.14928,1.19094,1.25663,1.24346,1.22635,1.22372,1.26346,1.33038,1.29657,1.26942,1.23667,1.21133,1.20118,1.18023,1.18139,1.22047,1.23232,1.32799,1.2813,1.24079,1.31544
0.980235,0.991797,0.897089,0.908771,0.969563,0.919212,0.930677,0.938039,0.904159,0.939524,0.972934,0.968699,0.945848,0.907319,0.892758,0.947378,0.955591,0.933154,0.951065,0.908989,0.959276,0.944383,0.979603,1.02869,1.06032,1.09631,1.1033,1.08581,1.03714,1.02859,1.02611,1.10221,1.07967,1.09526,1.08798,1.03794,1.06725,1.06596,1.14552,1.18588,1.15315,1.17897,1.16372,1.09748,1.14395,1.1542,1.14922,1.18359,1.1854,1.2021,1.19301,1.26256,1.25814,1.20198,1.1846,1.16515
0.856223,0.88721,0.841227,0.822757,0.840821,0.82595,0.842645,0.808326,0.834766,0.787284,0.827635,0.952122,0.959933,0.982037,1.00529,0.991364,0.994986,0.980571,1.01531,0.989599,0.989384,0.983622,1.01892,1.02272,1.01722,1.0303,1.07435,1.09945,1.10084,1.09061,1.04509,1.04609,1.08945,1.09111,1.1169,1.15757,1.15506,1.21936,1.1973,1.14143,1.14879,1.18504,1.13912,1.16005,1.17402,1.16069,1.18015,1.13685,1.11045,1.09363,1.06278,1.07783,1.07589,1.10484,1.08803,1.00882
1.01347,1.04419,1.03471,1.00527,1.03019,1.02732,1.03136,0.947176,0.908649,0.920843,0.860728,0.842342,0.815837,0.826899,0.852309,0.871066,0.931627,0.938862,1.00813,1.02513,1.04964,1.03154,1.06748,1.03237,1.13365,1.13666,1.15658,1.12533,1.17049,1.18264,1.2262,1.24302,1.24473,1.22677,1.22261,1.23235,1.28715,1.25768,1.33451,1.34939,1.30387,1.3673,1.38326,1.36086,1.40448,1.44054,1.50169,1.47465,1.41281,1.38565,1.35652,1.35764,1.30868,1.34318,1.34333,1.31604
0.963035,0.928833,0.97931,0.959545,0.972854,1.03888,1.06054,1.0631,1.09084,1.07924,1.03588,0.983425,0.984129,0.980316,0.947832,0.930468,0.864081,0.876539,0.863684,0.857062,0.884662,0.852455,0.851086,0.80352,0.898768,0.917069,1.00721,1.01417,1.02871,1.03494,1.06786,1.05895,1.13817,1.16065,1.17531,1.25363,1.24447,1.22138,1.20942,1.22868,1.2384,1.23321,1.26703,1.2093,1.22703,1.24031,1.1937,1.17015,1.12236,1.10644,1.1271,1.13236,1.16632,1.1914,1.16109,1.14145
0.848867,0.843905,0.819172,0.830367,0.846771,0.790071,0.752629,0.766796,0.794558,0.792946,0.785812,0.808321,0.826098,0.823892,0.891702,0.939548,0.936333,0.948355,0.997587,1.00729,1.00419,1.05133,1.06502,1.07156,1.06892,1.05514,1.07768,1.08898,1.02429,1.04904,1.06486,1.05932,1.07042,1.06191,1.01839,1.06537,1.09387,1.08661,1.11419,1.09546,1.09551,1.12883,1.12892,1.11415,1.17588,1.22155,1.26868,1.33428,1.32927,1.28933,1.28654,1.24036,1.30872,1.33778,1.32363,1.33968
0.920702,0.864428,0.839837,0.844608,0.867393,0.889204,0.868111,0.840247,0.819034,0.781219,0.78457,0.799237,0.784814,0.80192,0.805756,0.795129,0.816842,0.849349,0.898164,0.922344,0.91369,0.927469,0.974615,0.947389,0.955402,0.995804,1.01797,1.01421,1.05314,1.00947,1.00184,1.04549,1.05146,1.04736,1.0755,1.07227,1.04819,1.044,1.00858,0.992803,1.01016,1.07018,1.07818,1.05371,1.05171,1.07937,1.09354,1.1107,1.09338,1.12311,1.11976,1.09572,1.05923,1.11374,1.17291,1.16304
