logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.448593,0.586346,0.780009,0.682963,0.723237,0.800709,0.871206,0.604583,0.798067,0.840165,0.949726,0.807659,0.882047,1.03434,1.0085,0.865102,0.935552,0.861632,0.96188,1.0442,1.00824,0.978235,0.922865,0.901679,0.894227,0.920843,0.973097,0.853084,1.10096,1.1198,0.802156,0.745118,0.738253,0.919375,0.768564,0.731468,0.949768,1.02178,0.925019,1.1032,0.913214,0.983024,0.996845,0.867889,0.893734,0.95507,0.903921,0.806844,0.909953,0.886217,0.963655,0.822444,0.731402,0.697191,0.674973,0.735842
-0.106654,0.0725117,0.476587,0.425642,0.334703,0.454921,0.565624,0.412599,0.538484,0.613698,0.942984,0.667691,0.808694,0.900091,0.819159,0.716556,0.852349,0.978217,1.02679,1.11285,1.1632,0.887116,0.90583,0.846865,0.911665,0.978558,1.03002,0.682096,1.25795,1.12809,0.945385,0.442259,0.552499,0.581233,0.48623,0.48192,0.952403,0.755949,0.794595,1.21964,1.07392,0.84205,0.807851,0.802695,0.642998,0.977185,0.596715,0.614514,0.766677,0.741515,0.687506,0.695175,0.430775,0.328614,0.696782,0.428505
0.770041,0.757162,0.689477,0.693237,0.697874,0.676043,0.673299,0.659751,0.651307,0.635824,0.610014,0.640186,0.624412,0.604564,0.614527,0.622986,0.602818,0.599809,0.565416,0.562733,0.56103,0.601502,0.603468,0.613697,0.602328,0.593971,0.591909,0.61761,0.553651,0.574278,0.617387,0.655927,0.658326,0.662439,0.677025,0.671235,0.619164,0.621301,0.617275,0.569863,0.575569,0.616594,0.631744,0.635022,0.627619,0.600722,0.657149,0.636784,0.625861,0.633228,0.629073,0.649733,0.676665,0.678663,0.680794,0.692315
0.317747,0.389645,0.786,0.536988,0.577944,0.721573,0.660664,0.765808,0.650222,0.722688,0.955553,0.75448,0.902797,0.969355,0.84034,0.78181,0.81194,0.87757,0.945121,1.08321,0.901368,0.851274,0.974155,1.07758,0.785606,0.886551,0.918485,0.833445,1.06304,1.01295,0.912963,0.779733,0.829363,0.535991,0.606548,0.704689,0.818214,0.8141,0.672783,1.13091,1.09814,0.890022,0.869,0.74756,0.901964,0.833001,0.671097,0.746338,0.611416,0.826909,0.867477,0.727996,0.621771,0.655185,0.718835,0.636642
0.746152,0.478207,0.125043,1.60266,0.634583,0.297776,0.80417,0.527356,0.673762,0.46956,0.744904,0.81994,0.495033,0.122493,0.484473,0.752281,0.623703,0.836511,0.898948,0.388813,0.82708,0.825811,0.715731,-0.26496,0.85233,0.446974,0.294991,1.25799,0.660198,0.462329,0.476269,0.249894,0.415338,0.451437,0.698218,0.63727,0.428773,0.258446,0.917455,0.859652,0.161591,0.960902,0.452869,0.571475,0.537591,0.570734,0.621357,0.605736,0.574291,0.416873,0.218804,0.0250882,0.628798,0.79978,0.380054,0.440322
0.212517,0.259315,0.499864,0.409088,0.496904,0.62544,0.604443,0.681704,0.77746,0.673102,0.826768,0.668423,0.739339,0.715338,0.589275,0.710752,0.939877,0.784571,0.728678,0.942482,0.809515,0.697188,0.794326,0.687957,0.79727,0.80986,0.798071,0.834898,0.956746,0.845979,0.679543,0.589437,0.461117,0.490413,0.53804,0.38891,0.612045,0.643567,0.852016,0.715109,0.872263,0.69317,0.644743,0.615763,0.710769,0.798329,0.757249,0.652778,0.725134,0.719236,0.636895,0.637687,0.535329,0.489235,0.550638,0.422682
0.861777,0.634805,0.910206,0.88474,0.900811,0.259061,0.728619,0.557087,0.225147,0.771142,0.439294,0.748811,0.534723,0.661216,0.725256,0.440062,0.283681,0.60832,0.905811,0.534126,0.297902,0.606038,0.664823,0.612908,0.352198,0.486202,0.633642,0.528467,0.650008,0.512466,0.493239,0.815767,0.870885,0.899203,0.83347,0.899524,0.44935,0.934384,0.428807,0.582827,0.394023,0.651408,0.653658,0.518934,0.562504,0.329653,0.28249,0.415651,0.815149,0.729667,0.754315,0.621945,0.547349,0.580214,0.55226,1.05048
-0.069997,0.368894,-0.0596268,0.940518,0.152278,0.868544,0.829309,0.120894,1.2581,-0.141005,0.516258,0.3894,0.746685,0.351485,-0.0776215,1.10229,0.643493,1.11072,-0.03466,0.217201,0.498891,0.324203,0.815095,-0.0103712,0.35535,0.451661,-0.0345432,1.19749,0.684548,0.59694,0.586508,0.512522,0.460487,0.437711,0.925844,0.71644,1.33045,0.985142,0.703294,0.282779,0.0103158,1.20299,0.954684,0.727849,0.350781,0.693216,0.823269,0.677639,-0.146456,0.265719,0.779545,0.576253,0.321384,-0.19223,0.239171,1.27486
1.13847,0.931539,1.47743,1.22153,0.639501,0.614656,0.932396,0.46547,0.137383,0.323029,0.822898,0.692784,0.206422,0.197095,0.0183705,0.0797249,0.585447,0.704762,0.563212,-0.0118236,0.199444,0.516336,0.467856,0.619512,0.516912,0.0549408,1.13991,0.615063,0.545191,0.365898,0.734245,0.476229,0.52630999999999994,-0.145392,0.461918,0.912333,0.646136,0.261953,0.17888,0.951141,0.234541,0.19132,0.435004,0.468592,0.532778,-0.379141,0.403098,0.470402,0.294455,-0.134666,0.367752,0.968344,0.538781,0.93882,0.834967,0.803625
1.1816,0.897701,1.09027,0.957398,0.817903,1.13374,0.878113,0.76872,0.416462,0.507486,0.897698,0.749339,0.554013,0.387859,0.713931,0.471252,1.04367,0.332561,0.592007,0.422744,0.557877,0.672404,0.534667,0.553083,0.885963,0.653784,0.939549,0.564391,0.451101,0.848299,0.692906,0.753969,0.96513,0.355339,0.846414,0.955265,0.873895,0.789525,0.703759,0.673886,0.43174,0.426606,0.436324,0.831024,0.436415,0.314643,0.98896,0.681627,0.401758,0.382789,0.816347,1.04688,1.06043,0.743636,0.977712,1.27691
