logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.640159,0.690554,0.672638,0.717631,0.715364,0.648662,0.660438,0.659898,0.641995,0.654235,0.650703,0.682614,0.708317,0.769646,0.798951,0.783578,0.832815,0.831942,0.810134,0.813763,0.782561,0.78722,0.834919,0.803071,0.785035,0.745379,0.748455,0.734295,0.782096,0.759066,0.715007,0.738209,0.761334,0.80133,0.816547,0.779791,0.788052,0.761236,0.717019,0.767024,0.81105,0.880195,0.872089,0.894524,0.922657,0.937184,0.961194,0.98956,0.960336,0.930955,0.975527,0.96212,0.939143,0.860461,0.823963,0.799304
0.601594,0.64681,0.578034,0.573577,0.607756,0.592576,0.612567,0.604509,0.665859,0.680806,0.691529,0.71966,0.698023,0.657897,0.664462,0.697469,0.694748,0.720796,0.739633,0.699323,0.725415,0.765522,0.747838,0.803222,0.778805,0.825394,0.856601,0.924598,0.952594,1.02791,1.05583,1.03707,1.09159,1.07279,1.0974,1.09965,1.04766,0.995268,1.03538,1.03525,1.02257,0.941981,0.962358,1.01546,1.02586,1.07424,1.07906,1.03587,0.991649,0.967516,0.942327,0.922824,0.907075,0.956041,0.907575,0.912064
0.558124,0.533477,0.487598,0.519658,0.491933,0.517148,0.416624,0.445181,0.478499,0.499494,0.496715,0.565854,0.599804,0.573908,0.591038,0.610752,0.61051,0.654907,0.664977,0.700573,0.767128,0.850324,0.866707,0.910182,0.898784,0.868736,0.849626,0.82287,0.830468,0.877828,0.824173,0.842837,0.914924,0.894495,0.844728,0.918639,0.977398,1.03404,1.07913,1.13745,1.11766,1.15655,1.12711,1.15486,1.09102,1.08522,1.13011,0.999068,0.946412,0.953476,0.932614,0.940058,0.932708,0.962559,1.02999,1.04062
0.540343,0.619701,0.640916,0.660874,0.682919,0.674308,0.730476,0.664506,0.636815,0.553004,0.541495,0.674226,0.754906,0.718781,0.854585,0.775255,0.719423,0.749975,0.812212,0.737664,0.762161,0.881169,0.910594,0.989292,0.921983,0.968152,0.904272,0.827161,0.904698,0.974368,1.00376,0.9648,1.0111,1.01691,0.990878,0.94671400000000006,0.960946,0.949494,0.984185,0.997052,0.956911,0.926947,0.892479,0.998786,1.07855,1.117,1.12969,1.14351,1.06531,1.10826,1.09141,1.06672,1.11712,1.11429,1.14252,1.08534
0.625247,0.626918,0.567706,0.617395,0.608057,0.705829,0.685629,0.63666,0.626923,0.724066,0.623524,0.7663,0.799377,0.845914,0.900842,0.832597,0.879431,0.917083,0.89578,0.839473,0.842859,0.840702,0.689895,0.855018,0.800087,0.818477,0.73053,0.776617,0.80348,0.771445,0.761232,0.815813,0.784415,0.772421,0.833359,0.917371,0.981132,1.04927,1.09853,1.07351,1.08326,1.03482,0.942824,0.947944,0.974431,0.998904,1.0662,1.01621,1.00663,0.946327,1.03947,1.02871,1.1339,1.11776,1.11124,1.10637
0.757257,0.840873,0.821948,0.785029,0.635182,0.632575,0.582369,0.579105,0.575034,0.730518,0.692401,0.759879,0.697563,0.697629,0.792279,0.756729,0.801992,0.807977,0.80944,0.859487,0.872978,0.973311,0.90989,0.929051,0.844749,0.855591,0.853279,0.830698,0.683794,0.712114,0.627797,0.627578,0.762539,0.891241,0.913185,0.98642,1.04038,1.02553,1.08034,1.06994,1.14096,1.10127,1.10858,1.16883,1.03797,0.957998,1.07431,1.04951,1.10433,1.14172,1.132,1.01875,0.995233,1.0411,1.06903,1.06955
0.324796,0.358583,0.457615,0.553266,0.465308,0.541529,0.586773,0.604398,0.565198,0.514563,0.426618,0.662655,0.755218,0.836829,0.858773,0.874041,0.913392,0.934706,0.927781,0.938436,0.885183,0.950471,0.956262,1.02393,0.948357,0.920406,0.876893,0.839718,0.697884,0.85809,0.936168,0.954109,0.907505,0.86227,0.855268,0.969731,1.08041,1.03443,1.07709,1.12709,1.14785,0.999767,1.02941,1.20601,1.27998,1.32243,1.45476,1.30872,1.20662,1.19643,1.07657,1.02841,0.892029,0.875819,0.933978,0.924647
0.640547,0.576047,0.685445,0.641706,0.529891,0.510655,0.534139,0.51482000000000006,0.61175,0.693223,0.63968,0.717936,0.614571,0.636916,0.776638,0.827497,0.827561,0.949292,1.03114,1.02446,0.975627,1.08281,1.0241,0.960242,0.877976,0.927517,0.935416,0.948413,0.776997,0.841149,0.772594,0.748746,0.837993,1.00323,1.0194,0.95767,0.989341,0.984606,1.02934,0.936057,1.04557,1.09506,1.14368,1.13142,0.989408,0.987464,1.08736,1.05007,0.98918,1.06457,1.06056,1.09169,1.09075,1.08768,1.05572,0.984018
0.665624,0.715949,0.763815,0.692105,0.737719,0.75965800000000006,0.684693,0.614431,0.570861,0.571781,0.672474,0.696878,0.866022,0.862046,0.893749,1.01127,0.854925,0.825184,0.820401,0.694665,0.658117,0.687178,0.795296,0.741363,0.74803,0.77734,0.789505,0.778684,0.892876,0.930198,1.05634,0.964513,1.01849,1.06318,0.890214,0.944599,0.894711,1.06052,1.1234,1.05186,0.960023,0.978911,1.07604,1.04763,1.14985,1.22761,1.23446,1.28482,1.15935,1.05154,1.03589,1.05485,0.93309,0.959973,0.935931,0.907254
0.929565,0.968366,0.89479,0.881719,0.670049,0.703878,0.769376,0.710364,0.784209,0.841833,0.726069,0.76832,0.823935,0.736448,0.756368,0.779435,0.678822,0.69309,0.820743,0.804575,0.848474,0.922463,0.862153,0.837401,0.8443,0.896383,0.959288,0.90291,0.887778,0.973651,0.954032,0.940546,1.04472,1.08546,1.19027,1.07383,1.08726,1.09978,1.07494,1.04563,1.1157300000000001,1.31253,1.29481,1.22168,1.1142,1.06102,1.07336,1.16674,1.16036,1.09061,1.10623,1.05802,1.14454,1.04076,1.04061,1.14234
0.806288,0.809686,0.76665,0.749132,0.845343,0.693231,0.628938,0.723703,0.745334,0.722253,0.857018,0.818072,0.79558,0.858298,0.7306,0.663981,0.710029,0.763821,0.649174,0.710274,0.730697,0.759436,0.956136,1.03189,1.05017,1.0104,0.91178,0.914114,0.876377,0.772021,0.807694,0.909394,0.964759,1.02145,0.947719,1.03123,1.04726,1.06116,1.10681,1.14931,1.15439,1.11106,1.19224,1.25197,1.24994,1.17414,1.17613,1.07123,1.07711,1.05695,0.944753,0.906686,0.95691,1.07962,1.20772,1.19097
0.436226,0.272188,0.367524,0.540715,0.57205,0.509523,0.553447,0.613279,0.633669,0.749711,0.769221,0.735908,0.770638,0.803599,0.912315,0.850499,0.948989,0.960575,0.929864,0.975101,1.01178,0.92646,0.875392,0.888047,0.81556,0.840616,0.88186,0.943897,1.05675,1.07853,1.03257,1.09471,1.19753,1.06787,1.08665,1.04435,1.09408,1.09519,1.0933,1.08753,1.10927,1.03389,1.07712,1.11401,1.04804,1.06232,1.09058,1.20794,1.22188,1.23552,1.27815,1.28563,1.24457,1.23988,1.22594,1.29034
0.57317,0.452421,0.514168,0.645098,0.594946,0.532645,0.676229,0.717082,0.642903,0.650441,0.638442,0.726877,0.744417,0.764043,0.899778,0.854627,0.856924,0.914117,0.974474,1.04191,1.02428,1.00422,0.980096,1.03773,1.0431,1.06681,1.04634,0.991771,1.08412,1.15951,1.13735,1.11443,1.16156,1.10686,1.23475,1.17346,1.14952,1.18714,1.22099,1.15842,1.21035,1.16901,1.17053,1.09928,1.03337,1.04348,0.963572,0.92856,0.820804,0.848571,0.901481,0.974577,1.01158,1.02136,1.12013,1.15423
0.590675,0.657963,0.618917,0.508668,0.504081,0.543642,0.489505,0.526904,0.710192,0.734331,0.780704,0.772655,0.862395,0.905677,0.867399,0.897013,0.968235,0.955318,0.916337,0.879657,0.891474,0.96193,1.03011,1.02668,1.05096,1.07499,1.08555,1.13632,1.0595,1.04533,1.16669,1.21215,1.2229,1.22512,1.17499,1.26215,1.32179,1.27048,1.22403,1.2171,1.18045,1.14091,1.15911,1.131,1.15924,1.07325,1.05626,1.02953,1.03266,1.02657,0.969293,0.930546,0.996061,1.03872,1.09669,1.07549
0.499196,0.55805,0.597583,0.592223,0.616109,0.638944,0.637413,0.579413,0.577342,0.591824,0.674694,0.728908,0.766552,0.794862,0.884609,0.874339,0.841022,0.906862,0.959153,1.02694,1.00637,1.00986,1.01031,0.974931,0.974074,1.04883,1.02773,1.02693,1.14677,1.16166,1.15118,1.14081,1.14349,1.24497,1.20774,1.19526,1.17914,1.1909,1.28859,1.28334,1.25848,1.21626,1.19743,1.08122,1.08071,1.01772,1.02882,0.999259,0.937875,0.968668,1.01768,0.990324,1.00506,0.992832,0.97975,0.920172
0.702753,0.771545,0.798334,0.806189,0.83631,0.826067,0.855751,0.827383,0.751676,0.786459,0.827668,0.887296,0.876442,0.898833,0.872657,0.89887,0.810907,0.768786,0.837651,0.839687,0.789398,0.907758,0.954787,0.91535,0.932184,0.907543,0.91297,0.972389,0.948259,0.99495,0.997093,1.02243,0.982273,0.9175,0.87058,0.907801,0.985138,1.01258,0.919276,0.985718,0.977833,1.05156,1.06378,1.0025,0.976881,1.04794,1.03422,1.05989,1.13606,1.12198,1.17521,1.07914,0.973858,0.994802,1.02557,1.10302
0.724564,0.64639,0.63313,0.533295,0.445242,0.480351,0.45979,0.468506,0.519371,0.545938,0.547744,0.5726,0.70069,0.699415,0.703048,0.719082,0.795969,0.841345,0.907822,0.816097,0.777938,0.708888,0.730023,0.741401,0.790489,0.79801,0.837213,0.851695,0.87069,0.841447,0.929823,0.981576,0.945263,0.946379,0.974939,0.947615,1.0303,1.0314,1.03601,1.1217,1.07699,1.09975,1.09749,1.01704,1.04659,0.990609,1.07659,1.10654,1.15528,1.12675,1.05785,1.02589,0.970275,0.969156,1.01478,0.976905
0.462469,0.472699,0.535543,0.514285,0.559155,0.479419,0.600421,0.691713,0.780847,0.799776,0.886957,0.88664,0.815959,0.82945,0.88423,0.835901,0.825541,0.82736,0.849459,0.814064,0.871681,0.889826,0.911538,0.880643,0.817611,0.755779,0.814028,0.863932,0.83613,0.818044,0.805584,0.808766,0.868837,0.834742,0.862878,0.93567,0.92335,0.861411,0.98594,1.046,0.999173,0.931802,0.884258,0.937531,0.970355,0.904673,0.909817,0.93902,0.898608,0.905853,0.873726,0.881466,0.958333,0.814009,0.844755,0.714775
