logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.717456,0.674365,0.67636,0.673629,0.695889,0.684179,0.690888,0.685526,0.696009,0.736151,0.76662,0.752068,0.752271,0.72845,0.691658,0.698311,0.709173,0.704542,0.67664,0.659368,0.672911,0.686472,0.668065,0.640227,0.618881,0.633256,0.636259,0.632443,0.675364,0.640836,0.654597,0.645342,0.637581,0.64831,0.634157,0.699565,0.669081,0.70778,0.728687,0.718828,0.711471,0.736533,0.725564,0.698834,0.705448,0.703908,0.6973,0.73604,0.737948,0.71991,0.713041,0.683135,0.66181,0.661724,0.689813,0.67879
0.744536,0.729813,0.714245,0.681968,0.718068,0.750228,0.777876,0.754515,0.715411,0.654473,0.644036,0.672717,0.633494,0.626051,0.66622,0.666648,0.645341,0.639592,0.657017,0.669206,0.687165,0.670889,0.669542,0.648966,0.67532,0.697591,0.721396,0.717214,0.691645,0.674831,0.700487,0.665832,0.653118,0.687767,0.661415,0.681746,0.661988,0.646666,0.642887,0.638799,0.670272,0.660613,0.686634,0.70117,0.676508,0.681159,0.671538,0.669781,0.705735,0.734431,0.748976,0.736283,0.7428,0.76238,0.745702,0.719968
0.653607,0.648163,0.60606,0.632198,0.650732,0.661344,0.632108,0.62513,0.643144,0.647448,0.649254,0.650988,0.660468,0.691882,0.700004,0.688928,0.689642,0.645168,0.664288,0.694682,0.692721,0.678521,0.674155,0.714032,0.721011,0.720137,0.729373,0.722867,0.740905,0.743162,0.749088,0.754868,0.743668,0.747322,0.758188,0.790514,0.774995,0.777111,0.770829,0.768129,0.797649,0.782503,0.745936,0.727851,0.739878,0.751945,0.72312,0.730884,0.723833,0.71412,0.734909,0.730143,0.705936,0.730312,0.749773,0.746725
0.677234,0.694503,0.690541,0.703976,0.684613,0.703585,0.694331,0.695768,0.684148,0.674395,0.717417,0.717731,0.691883,0.702749,0.697216,0.681331,0.697532,0.678033,0.666757,0.645977,0.658592,0.686736,0.711249,0.699372,0.704274,0.717393,0.678649,0.704423,0.714508,0.697984,0.70027,0.699162,0.698356,0.671442,0.663145,0.651742,0.604533,0.58731,0.595184,0.571042,0.527436,0.543085,0.555102,0.561517,0.563785,0.541235,0.548715,0.53476,0.531571,0.55717,0.55035,0.545475,0.554693,0.535397,0.527552,0.53498
0.693463,0.684843,0.676869,0.683498,0.666408,0.673563,0.660872,0.654938,0.668774,0.67872,0.662311,0.675966,0.670529,0.635846,0.62905,0.61437,0.641955,0.6399,0.670501,0.643452,0.664139,0.689059,0.710804,0.700933,0.7124,0.669771,0.681628,0.692116,0.692835,0.697325,0.704955,0.706513,0.712184,0.720063,0.716839,0.721055,0.697713,0.721611,0.74395,0.751504,0.764748,0.776198,0.814397,0.818183,0.833807,0.798061,0.79978,0.814659,0.824772,0.804021,0.801504,0.807708,0.813215,0.806936,0.78602,0.763621
0.72973,0.740239,0.739324,0.754234,0.735577,0.750129,0.775769,0.790152,0.799059,0.783199,0.76463,0.75719,0.756192,0.745046,0.747619,0.763474,0.743282,0.756812,0.723871,0.731346,0.706688,0.696105,0.698581,0.694885,0.700311,0.6981,0.710696,0.692154,0.699527,0.703643,0.720644,0.744656,0.730819,0.726518,0.74358,0.754526,0.742523,0.72245,0.696153,0.685751,0.666026,0.654891,0.679936,0.674148,0.668093,0.687335,0.719027,0.689641,0.688272,0.666017,0.67272,0.67795,0.66347,0.656689,0.648197,0.660191
0.829862,0.822537,0.813694,0.819396,0.805988,0.803149,0.821994,0.817583,0.815179,0.79942,0.790503,0.761486,0.768605,0.773606,0.781544,0.750972,0.732819,0.731404,0.736995,0.718796,0.731625,0.744895,0.757726,0.75627,0.732694,0.750998,0.759668,0.779732,0.776449,0.77175,0.804441,0.791863,0.780069,0.793769,0.775184,0.786353,0.792778,0.786342,0.78681,0.783815,0.805712,0.815479,0.803505,0.81148,0.81823,0.823215,0.84103000000000006,0.864145,0.880907,0.91308,0.923508,0.92129,0.916422,0.923635,0.924279,0.896689
0.756601,0.732436,0.721999,0.764277,0.749413,0.760418,0.750113,0.741036,0.752505,0.768052,0.765979,0.745198,0.721937,0.73273,0.736893,0.727487,0.722389,0.717236,0.723336,0.702493,0.715042,0.701186,0.68407,0.677491,0.697942,0.71652,0.710588,0.686295,0.699844,0.71695,0.730594,0.719728,0.728863,0.733386,0.742265,0.762821,0.747608,0.728191,0.717437,0.703092,0.694311,0.708201,0.659863,0.668882,0.701372,0.697563,0.707874,0.721361,0.727432,0.73309,0.709218,0.719176,0.730678,0.75075,0.776007,0.777528
0.658381,0.625492,0.659191,0.646451,0.674219,0.65877,0.641754,0.637,0.664328,0.655842,0.639935,0.640301,0.64117,0.643711,0.645406,0.678169,0.699426,0.672569,0.662222,0.676032,0.71881,0.714555,0.703317,0.709781,0.723938,0.7284,0.741868,0.763046,0.767182,0.765157,0.760703,0.765258,0.813934,0.827092,0.822083,0.813646,0.814584,0.802116,0.798689,0.792065,0.81589,0.78852,0.833512,0.878097,0.870172,0.86323,0.813247,0.803201,0.807234,0.831387,0.837168,0.843641,0.826762,0.851226,0.83748,0.825762
0.946611,0.9294,0.961609,0.946484,0.942623,0.91913,0.889086,0.868682,0.854381,0.851172,0.846052,0.861708,0.883718,0.892873,0.889291,0.876036,0.898666,0.892645,0.878969,0.836769,0.793869,0.749132,0.751219,0.753837,0.729803,0.720799,0.729054,0.72355,0.717359,0.687639,0.69093,0.722222,0.738035,0.765336,0.762351,0.74303,0.747334,0.765937,0.765069,0.754992,0.783696,0.784585,0.775509,0.760506,0.719759,0.718103,0.697469,0.685755,0.669904,0.695786,0.69111,0.719897,0.740958,0.757675,0.735017,0.728055
