logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
3.03466,2.88367,2.75558,2.80216,2.95887,2.85432,2.93474,2.81769,2.91285,2.92901,2.99377,2.84415,2.97768,2.94084,3.10825,2.99035,3.02375,2.93037,2.8649,2.99597,3.00465,2.96381,2.93725,2.95336,3.02972,3.01634,3.03582,2.86979,3.04465,2.93601,2.79899,2.99125,2.97665,2.92962,2.80557,2.92268,2.92962,2.88573,2.80372,2.94801,2.93589,2.95112,2.86819,2.84208,2.95181,3.03272,2.93244,2.80056,2.9788,2.8021,2.87909,2.97873,2.74865,2.57116,2.70295,2.64156
2.42515,2.62861,2.88513,2.8005,2.55435,2.66094,2.69748,2.68674,2.90345,2.54089,2.59871,2.67427,2.82791,2.83316,2.80365,2.74918,2.75264,2.79726,3.25206,3.08648,3.15605,3.01737,2.94398,2.98723,3.20803,3.0215,2.81246,2.81847,2.80267,2.78648,3.05138,2.63091,2.76515,2.92956,2.9681,2.6561,2.58959,2.60119,2.93199,2.58422,2.58624,2.63684,2.82307,2.76,2.57888,2.65645,2.24833,2.69767,2.30027,2.36649,2.30924,1.9752,2.28777,2.54593,2.21,2.19859
2.98552,2.9559,2.70694,2.73708,2.89501,2.91451,3.00029,2.84624,2.67275,2.946,3.09804,2.93445,3.1616,3.01798,3.16145,3.00324,3.06372,3.14973,2.8244,3.03772,3.11307,2.98166,3.25941,2.93289,2.67315,3.06693,3.2907,2.96968,3.08043,2.96382,2.76214,2.85472,2.99987,2.81874,2.77685,2.868,2.78799,2.90443,2.74071,2.90867,2.94697,2.8531,2.77199,2.83353,2.91667,2.72711,2.89192,2.66083,2.90693,2.74874,2.6869,2.88404,2.57501,2.31273,2.47151,2.37754
2.70661,2.74426,2.6774,2.74628,2.77982,2.76114,2.85367,2.74875,2.62278,2.91313,2.95339,2.77181,3.06571,2.87716,3.03428,2.94989,2.84647,2.9639,2.88501,2.98151,3.026,2.97752,3.16768,2.8698,2.67334,2.98979,3.14847,2.80934,2.95041,2.89272,2.796,2.7628,3.00246,2.7588,2.73775,2.75775,2.73506,2.79765,2.76486,2.7794,2.91282,2.81691,2.7192,2.7952,2.79342,2.71588,2.76762,2.56045,2.8481,2.61283,2.537,2.75621,2.55564,2.27967,2.38773,2.33378
2.87503,2.81589,2.73745,2.80131,2.82463,2.71464,2.93776,2.81604,2.74808,3.03786,3.0774,2.63942,2.94959,2.91442,3.06095,2.8508,2.96621,3.01895,2.91829,2.98519,2.99309,3.09289,3.16863,3.00658,2.73224,2.92914,3.0767,2.93261,3.05135,2.98018,2.84601,2.93385,3.14314,2.94205,2.70064,2.90277,2.63573,2.83257,2.73756,2.77568,2.97643,2.65126,3.00467,2.75803,2.83753,2.78117,3.02643,2.72106,2.80825,2.68549,2.45672,2.72006,2.64975,2.4025,2.47157,2.54034
2.90074,2.94594,2.86534,3.02401,2.86342,2.85687,2.96058,2.80788,2.79804,2.98063,2.87449,2.83676,2.96445,2.96693,2.92073,2.90537,2.95804,2.96073,2.81952,2.8788,2.90643,2.91124,2.86183,2.7995,2.82912,3.02478,2.91624,2.83856,2.89291,3.01305,2.85727,2.87354,2.89839,2.80745,2.92054,2.90276,2.9763,2.69394,2.86632,3.01968,2.94688,2.93546,3.04384,2.82879,2.99297,3.09785,2.78191,2.78235,2.69274,2.87858,2.81527,3.02421,2.76898,2.76571,2.84983,2.87599
2.8752,2.69561,2.86817,2.59,2.97463,2.63125,2.86399,2.7681,2.6891,2.6158,2.82543,2.82311,3.08188,2.8417,2.98441,2.95261,2.8727,2.80746,2.84743,3.07997,3.21218,2.80871,3.06049,2.88647,3.04385,2.72693,2.9055,2.69588,2.80017,2.97862,2.97621,2.73076,2.84591,2.77138,2.79009,2.9167,3.02616,2.6731,2.78138,2.96471,2.58422,2.51187,2.61379,2.71641,2.75104,2.76649,2.43524,2.77334,2.58707,2.42051,2.379,2.21037,2.30427,2.29159,2.48932,2.26455
2.89714,2.9722,2.69705,2.9172,2.47709,3.01951,3.06546,2.9951,2.8233,2.72951,2.90106,2.80255,2.96761,2.88308,2.92246,2.70528,2.85227,3.06762,2.90919,3.04233,2.89408,3.19724,2.88618,2.92469,2.91894,3.14662,3.1184,3.19279,3.05943,2.70601,2.86478,2.88076,2.91468,2.84042,2.78872,2.60368,2.52045,2.77547,2.87837,2.72619,2.95572,2.87641,2.85605,2.8697,2.75946,2.86413,2.87552,2.66103,2.72387,2.60885,2.62759,2.81338,2.64771,2.63603,2.46485,2.72628
2.82681,2.90067,2.67721,2.89416,2.65527,2.93906,2.97951,2.87642,2.82938,2.77942,2.90082,2.83565,2.94997,2.90594,2.9013,2.81064,2.9149,3.02212,2.93024,3.07137,2.95344,3.15072,2.91386,2.98956,2.95426,3.06941,3.08511,3.06361,3.03653,2.79658,2.90496,2.88278,2.87608,2.8418,2.87884,2.77731,2.72681,2.7841,2.92749,2.89459,2.89876,2.83712,2.79079,2.88493,2.82008,2.82946,2.82752,2.74985,2.75975,2.72381,2.66015,2.77152,2.72673,2.61169,2.53839,2.6294400000000002
2.56874,2.61426,2.95325,2.80956,2.76066,2.56909,2.69884,2.76254,2.79495,2.68473,2.91739,2.85287,2.92888,2.91638,3.02816,2.9302,2.89078,2.91767,2.96389,2.96818,3.03534,2.74311,3.04384,3.03828,3.03467,3.06951,2.88757,2.81933,2.89076,2.97143,2.82133,2.66094,2.93628,2.83886,2.80441,2.6709,2.6559,2.74865,2.85119,2.65228,2.69055,2.69474,2.78133,2.81151,2.58659,2.732,2.63379,2.61845,2.70768,2.58737,2.51092,2.58929,2.43739,2.37081,2.28782,2.41075
