logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.790727,0.727837,0.711696,0.687988,0.564158,0.728859,0.696897,0.553231,0.54716,0.725769,0.705172,0.589705,0.630604,0.733846,0.692232,0.687442,0.684986,0.615354,0.749449,0.840765,0.750696,0.806234,0.862137,0.972471,0.945868,0.882789,0.813613,1.00071,1.00382,0.926586,0.722403,0.829395,0.790637,0.84453,0.885164,0.837206,0.901975,0.971897,0.95842,1.03067,0.997696,0.811711,0.872871,0.819389,1.0323,0.978925,0.910416,0.878435,0.945409,0.926728,0.837024,0.811939,0.707517,0.536572,0.707145,0.753306
0.633775,0.677465,0.662369,0.529724,0.701846,0.723793,0.670387,0.501887,0.484056,0.617227,0.747835,0.679517,0.657696,0.679609,0.71732,0.880289,0.911484,0.882108,0.702825,0.824837,0.979831,0.963986,0.966631,0.965868,1.03625,1.07846,0.834612,0.780674,0.772542,0.79419,0.809564,0.787788,0.845843,0.876937,0.82685,0.708865,0.736818,0.744601,0.671624,0.601518,0.669156,0.81723,0.72661,0.764538,0.817614,0.837996,0.830988,0.851626,0.697593,0.642363,0.679093,0.745672,0.741784,0.941827,0.781604,0.788389
0.520164,0.355784,0.373672,0.452478,0.526064,0.633693,0.611523,0.573876,0.57272,0.651217,0.613753,0.606736,0.565956,0.539944,0.617354,0.626912,0.52702,0.598162,0.682101,0.670295,0.686644,0.760027,0.759423,0.750514,0.868783,0.877452,0.765302,0.812616,0.873077,0.806471,0.699619,0.60955,0.677961,0.752115,0.875492,0.889078,0.856448,0.878763,0.980711,0.891526,0.754793,0.7096,0.796267,0.828521,0.779148,0.872896,0.830626,0.786371,0.7124,0.598285,0.487227,0.573666,0.535342,0.531213,0.552298,0.622268
0.520164,0.355784,0.373672,0.452478,0.526064,0.633693,0.611523,0.573876,0.57272,0.651217,0.613753,0.606736,0.565956,0.539944,0.617354,0.626912,0.52702,0.598162,0.682101,0.670295,0.686644,0.760027,0.759423,0.750514,0.868783,0.877452,0.765302,0.812616,0.873077,0.806471,0.699619,0.60955,0.677961,0.752115,0.875492,0.889078,0.856448,0.878763,0.980711,0.891526,0.754793,0.7096,0.796267,0.828521,0.779148,0.872896,0.830626,0.786371,0.7124,0.598285,0.487227,0.573666,0.535342,0.531213,0.552298,0.622268
0.708428,0.694845,0.666305,0.538046,0.655333,0.610284,0.555178,0.482591,0.365487,0.532891,0.665133,0.649457,0.620028,0.702957,0.830072,1.08806,1.07125,0.961857,0.90897,0.945187,0.938926,0.858139,0.783411,1.01097,1.0279,1.22831,0.899167,0.863189,0.819018,0.822121,0.762268,0.695754,0.744721,0.906088,0.89363,0.872864,0.908615,0.912185,0.866094,0.832717,0.873662,0.947253,0.835203,0.794938,0.956946,1.02741,0.808729,0.794347,0.717466,0.786649,0.706268,0.68323,0.63496,0.66885,0.719863,0.670435
0.762676,0.703404,0.686192,0.509066,0.628511,0.568749,0.558582,0.495157,0.389763,0.49805,0.690727,0.641021,0.650264,0.740608,0.799074,1.09181,1.11326,0.936915,0.903424,0.934771,0.960957,0.827028,0.806643,1.02636,1.0505,1.23554,0.896488,0.886657,0.805253,0.8693,0.692219,0.731386,0.767548,0.896439,0.859958,0.856407,0.904059,0.878261,0.884676,0.834999,0.902962,0.953076,0.922017,0.791533,0.939328,1.00289,0.772181,0.817813,0.729512,0.768329,0.700357,0.736541,0.665608,0.651035,0.687576,0.744998
1.19783,1.08876,1.11493,0.98905,0.781614,0.786001,0.773014,0.812478,1.0435,1.09682,0.926687,0.869922,0.82113100000000006,0.731032,0.65372,0.260973,0.196672,0.400774,0.647746,0.72452,0.77128,0.574219,0.798971,0.935312,0.86272,0.571068,0.767052,0.948271,0.993819,1.01535,0.968517,1.15285,1.22872,1.1722,0.782143,0.761122,0.721505,0.688246,0.774466,0.915412,1.01,0.685167,0.794559,1.05424,0.985879,0.701478,0.79841,0.706019,0.892611,0.764083,0.839827,0.952596,1.02773,1.02071,0.964987,0.727072
0.670662,0.681939,0.534954,0.617831,0.620039,0.579339,0.597326,0.617903,0.721232,0.603808,0.55736,0.693422,0.723507,0.722296,0.848863,0.858092,0.87269,1.04632,1.14848,1.05769,0.796404,0.776344,0.789223,0.776206,0.732351,0.51928,0.748073,0.703131,0.754777,0.712819,0.850585,0.849232,0.95228,0.869691,0.732951,0.756762,0.8598,0.868521,1.04677,1.26176,1.04686,0.903263,0.880232,1.1867,1.17531,1.05989,1.11379,1.04733,1.21829,1.17484,1.29733,1.36582,1.38736,1.4218,1.4696,1.45278
0.716958,0.678146,0.72116,0.836389,0.944624,0.914691,0.800487,0.819774,0.724005,0.782262,0.890189,0.996559,0.999005,0.676661,0.511375,0.545218,0.495015,0.525688,0.564122,0.56371,0.674813,0.636109,0.712473,0.722997,0.767747,0.941225,0.758393,0.600224,0.5267,0.588015,0.621092,0.749722,0.944993,0.924714,0.939024,1.00285,0.925578,0.926825,0.929494,0.845067,0.845073,0.861744,0.934967,0.975272,1.13895,1.15824,1.10904,1.12098,1.12994,1.27119,1.25471,1.31632,1.41921,1.40234,1.36704,1.40105
1.27738,1.12802,1.04275,0.976884,0.770551,0.704628,0.635859,0.803259,0.819244,0.657796,0.556313,0.496391,0.646668,0.694936,0.845567,0.807776,0.834127,0.716878,0.721504,0.76899,0.696286,0.72203,0.743856,0.764282,0.702688,0.769523,0.771466,0.75247,0.912864,0.928035,0.85694,0.858872,0.864979,0.803599,0.879486,1.03816,1.00791,1.16505,1.22187,1.30983,1.28673,1.30668,1.25347,1.33881,1.19122,1.12173,1.06684,1.00693,0.921139,0.995621,0.891878,0.841417,0.771028,0.532066,0.582452,0.454997
0.83692,0.824341,0.903153,1.01046,1.01623,0.805131,0.687513,0.620762,0.60941,0.582618,0.655984,0.707876,0.745272,0.623912,0.576101,0.760624,0.69669,0.718115,0.844225,0.829571,0.927844,1.07375,1.10627,1.1789,1.11964,1.05399,1.11514,1.09516,0.825142,0.731442,0.85011,0.936084,1.02054,1.10129,1.10831,1.01805,0.992179,0.841421,1.0238,1.0061,0.983233,1.0335,1.14417,1.21956,1.36436,1.38572,1.27921,1.35122,1.28954,1.21141,1.40278,1.32299,1.31893,1.18896,1.19477,1.05813
0.657319,0.590332,0.547469,0.557148,0.697421,0.67687,0.701756,0.768525,0.872261,0.817049,0.922075,0.970693,0.98337,0.973593,0.937384,0.80899,0.782202,0.796299,0.912688,0.843809,0.984261,1.11373,1.06662,1.08083,1.13861,1.08759,1.13117,1.10911,1.18768,1.36787,1.39574,1.37664,1.45521,1.37126,1.30278,1.17285,1.22974,1.05346,0.979966,0.936417,0.910638,0.926845,0.791256,0.641048,0.513074,0.429939,0.301067,0.239062,0.270034,0.308034,0.316201,0.286186,0.376218,0.498705,0.496617,0.329226
0.980733,0.940204,0.97221,0.837498,0.958402,0.923151,1.14142,0.892221,0.745802,0.729868,0.734357,0.829548,0.738052,0.803171,0.703278,1.06692,0.991277,0.683533,0.746963,0.994633,1.08683,1.13999,1.01216,1.01481,1.12877,1.40975,1.1089,1.05081,0.962635,0.920154,0.996367,0.960785,0.872371,0.97844,1.18654,1.24611,1.33657,1.13223,0.969896,0.879372,0.733323,0.837148,1.00252,0.759069,0.843688,0.908033,0.669721,0.731722,0.627658,0.508093,0.322919,0.273109,0.239911,0.352347,0.353514,0.247392
0.908804,0.917693,1.14239,1.09147,1.11258,0.920154,0.96837,0.763905,0.90698,0.852438,0.781588,0.795058,0.708837,0.919908,0.931486,1.07758,1.15672,1.07405,1.15754,1.02037,0.958332,1.02533,1.1897,1.30355,1.26137,1.12976,1.11904,1.03416,0.928607,0.899569,0.846045,0.863087,0.985849,1.05883,0.992338,0.945112,1.14118,1.03963,1.05363,1.13027,1.01757,0.8355,0.835279,0.605858,0.593457,0.620473,0.666326,0.598588,0.631749,0.543184,0.309679,0.395414,0.43052,0.532266,0.516845,0.427859
0.903864,1.07979,0.965642,0.934108,0.798504,0.755353,0.647532,0.731654,0.766981,0.883448,0.769645,0.705641,0.764543,0.665862,0.669481,0.351255,0.3441,0.689955,0.83317,0.97543,1.0261,1.03039,1.0766,1.08451,0.770249,0.484584,0.791993,1.06286,1.22796,1.20828,1.27546,1.25596,1.18476,1.04444,0.799004,0.834377,0.839039,0.79968,0.675677,0.767787,0.792485,0.691755,0.717183,1.01975,0.732527,0.556457,0.575718,0.503609,0.459937,0.363268,0.504228,0.452315,0.324265,0.391963,0.513909,0.623599
0.908647,0.841377,0.97013,0.843634,0.535844,0.562484,0.748203,0.654929,0.813042,0.592477,0.686689,0.888233,0.71803,0.660928,0.592324,0.390232,0.482711,0.682587,0.980847,0.872828,1.06384,1.15301,1.14953,1.09018,1.0002,0.611202,0.918934,0.972852,1.06081,1.21971,1.25868,1.20125,1.13222,1.01289,0.902466,0.749407,0.581203,0.484155,0.69404,0.631731,0.541028,0.494391,0.645498,0.652273,0.633348,0.557861,0.559692,0.436696,0.603591,0.617098,0.653994,0.610762,0.583679,0.358277,0.149582,0.0560736
0.998831,1.07006,0.95652,0.983089,0.83798,0.663098,0.507167,0.745983,0.838109,0.890996,0.779002,0.754615,0.788909,0.70591,0.711091,0.407242,0.373099,0.654121,0.778601,1.01728,1.04272,0.94857,1.00218,1.05117,0.99141,0.854549,0.990575,1.07176,1.11263,1.18663,1.21112,1.15535,1.12626,1.0155,0.911167,0.937441,0.850496,0.791027,0.623452,0.643469,0.632779,0.54101,0.522223,0.702613,0.607986,0.53562,0.621551,0.593533,0.625909,0.732208,0.778012,0.692835,0.630918,0.632617,0.658085,0.695758
0.796541,0.849563,0.831326,1.06856,0.996746,1.0570600000000001,0.952321,0.944076,0.939602,0.856256,0.71251,0.722334,0.782456,0.81074,0.760501,0.665044,0.556852,0.518396,0.483179,0.576486,0.625342,0.717808,0.658254,0.801689,0.899992,0.993007,0.841023,0.936653,0.922054,0.938418,0.967942,0.943764,0.897939,0.789924,0.675989,0.800261,0.671596,0.74557,0.630162,0.67322,0.742077,0.872116,0.936053,0.852022,0.720148,0.744953,0.71882,0.783883,0.722253,0.782968,0.738713,0.737126,0.633081,0.53177,0.700462,0.733723
