logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.267618,0.714031,0.700493,0.711758,-0.113081,0.753862,0.940366,0.359331,0.699204,0.594196,1.08176,0.883166,0.977351,1.25736,0.912666,0.594185,0.968617,0.987704,1.05835,1.23227,0.395146,0.654669,0.77895,0.786946,0.730324,0.749643,0.721218,0.116367,0.888705,1.06581,1.12186,0.859526,0.560298,1.07669,0.523869,0.636791,0.756129,0.829614,0.507976,1.48236,1.10844,0.707592,0.836882,0.302089,1.11214,0.653904,0.469482,0.828959,0.726538,0.539286,0.499672,-0.0355968,0.0700686,0.735768,0.060029,0.423165
0.930417,0.859218,0.816208,0.895655,0.901968,0.874413,0.857929,0.728536,0.710612,0.848797,0.789545,0.769531,0.749087,0.782807,0.825548,0.770647,0.805531,0.786098,0.812169,0.781877,0.88388,0.785436,0.784137,0.898301,0.837949,0.884059,0.79421,0.942384,0.814782,0.782591,0.862488,0.715016,0.726826,0.778085,0.903347,0.772655,0.824463,0.846977,0.842257,0.795421,0.725084,0.779391,0.750616,0.839821,0.730486,0.775807,0.728278,0.735093,0.756077,0.765773,0.706723,0.794102,0.776707,0.693363,0.718473,0.756159
0.696833,0.988056,1.04407,0.867555,0.796648,0.817201,0.83504,1.15099,1.14889,0.836232,0.890446,0.918243,0.896336,0.858097,0.784516,0.90402,0.754797,0.795268,0.703033,0.749243,0.51575,0.691128,0.693766,0.409497,0.658827,0.532846,0.796532,0.361824,0.713901,0.809688,0.659893,0.849457,0.930002,0.883233,0.569735,0.966095,0.804473,0.814606,0.801984,0.911484,1.02925,0.846449,0.895829,0.662542,1.05623,0.956462,1.10921,1.06549,0.954932,1.04877,1.16563,0.926831,0.963799,1.16427,1.19548,1.11788
0.895876,0.926151,0.937832,0.925184,0.881208,0.812225,0.817243,0.918111,0.895298,0.859678,0.810008,0.847239,0.874268,0.825499,0.857178,0.911947,0.85724,0.900009,0.929139,0.924398,0.879654,0.878886,0.859953,0.880742,0.94452,0.855407,0.907721,0.877015,0.857908,0.904078,0.795512,0.763375,0.872098,0.862038,0.90182,0.880597,0.882319,0.872332,0.822767,0.814422,0.790256,0.721479,0.733184,0.729896,0.680091,0.715996,0.634329,0.614079,0.594175,0.66048,0.603943,0.481945,0.506667,0.504897,0.50263,0.458652
0.851905,0.531128,0.308397,0.447748,0.747794,1.14581,1.42675,0.0301602,0.326343,0.980635,1.17988,0.859603,0.413297,0.974266,0.754453,0.270578,0.396977,0.489598,0.751186,0.373919,0.709923,0.803118,1.20373,0.705547,0.20694100000000001,1.07906,0.586131,0.812352,0.96133,0.429432,1.56898,1.08214,0.630464,0.813738,0.616106,1.04119,1.2187,1.08606,1.26662,1.17755,0.931434,1.43539,0.890568,0.83049,1.27641,0.968994,1.46955,1.38522,1.49572,1.08106,1.07927,2.10818,1.89348,1.79978,1.94336,2.0841
0.975755,1.63307,1.54619,1.31422,0.607828,0.699142,0.893118,1.58527,1.24972,1.28922,0.0564443,0.559129,1.08245,0.681865,0.793939,1.12745,0.338135,0.852114,0.749074,1.2937,0.983642,0.639316,0.396309,0.1519,0.980018,0.585628,0.759753,0.625269,0.670104,1.33784,0.535537,0.468289,0.948026,1.01042,0.883498,0.627266,0.546754,0.921875,0.366798,1.04448,0.926117,0.160114,0.673504,0.45416,0.537045,1.02326,0.0418463,-0.174973,-0.194605,0.909032,0.30268,-0.131598,-0.261747,-0.0328447,-0.495011,-0.335355
1.17461,0.890152,0.623685,0.241422,0.588634,1.02775,1.42986,-0.273685,0.021381,1.07536,1.08219,0.347628,-0.306441,0.370918,0.720639,0.00552812,0.758447,0.127451,0.66962,-0.183263,0.361265,0.812476,0.696689,0.341214,-0.473337,1.03988,0.355133,0.29259,0.625168,-0.0284256,0.73774,0.379748,0.146737,0.547625,0.238296,1.03782,0.817452,0.558553,0.631784,0.729858,0.720047,1.29373,0.250038,0.153165,1.11785,0.149236,0.948956,1.13361,0.695615,0.0697758,0.627185,1.21567,1.19443,1.16686,1.56322,1.58544
0.353314,1.27925,1.03089,0.177324,-0.0210172,0.129171,0.861534,0.87606,0.505165,0.973964,-0.530361,0.590533,0.630092,0.510653,0.0850138,0.499427,0.01818,-0.176875,0.399171,0.923481,0.867311,0.23729,0.500429,-0.828105,0.538671,0.279491,0.357485,0.112426,0.411121,0.974659,1.07846,0.166949,0.489764,0.751792,-0.0443391,0.116933,0.418542,0.458001,0.399991,1.06925,0.971764,-0.435738,0.857217,-0.0559524,0.71281,1.14697,0.177745,-0.235708,0.295204,0.87344,0.636189,0.416966,-0.213821,0.561318,-0.108735,0.476154
1.40622,1.17746,1.06847,1.33951,1.17134,1.29105,1.43611,0.609387,0.840329,1.18741,1.13134,0.819692,0.462622,0.841638,1.11336,0.944651,0.693552,0.974252,0.712301,0.563698,0.581135,0.980193,0.654464,0.821366,0.24494,1.08301,0.674988,0.702171,0.86338,0.565566,0.999692,0.791481,0.728718,0.886983,1.13182,1.2614,0.804781,1.07448,0.953559,0.938984,0.94835,1.24032,0.557715,0.991907,1.28799,0.769325,1.22722,1.12426,0.749004,0.913897,0.895216,1.25417,1.07998,1.03724,1.5868,1.27855
0.652719,0.697883,0.588872,0.642607,0.32182,0.704916,1.24951,0.665668,0.547383,0.607879,0.686978,1.04053,0.619849,1.29376,1.02533,1.33073,0.641746,1.12754,1.14897,0.878593,0.775029,1.20199,1.25375,0.933936,0.957293,0.770106,0.784362,1.23451,1.31508,0.972665,1.17079,0.871285,0.429626,0.891599,0.596987,1.18541,0.62961,0.965935,0.633317,1.08773,1.45161,1.03146,0.798272,0.320443,1.07584,0.624085,0.959526,1.07587,0.84498,0.252731,1.13415,1.03783,0.512495,0.746737,0.457382,0.589413
0.69533,0.486493,0.590307,0.774439,0.319253,0.389057,0.884804,0.856816,0.691496,0.846783,0.599521,0.659799,0.391811,0.499676,0.813592,1.09879,0.500141,0.567331,0.397704,0.565717,0.476253,0.838076,0.581629,0.424617,0.49511,0.49897,0.275674,0.301867,0.56928,0.96231,0.707285,0.937494,0.555925,0.627064,0.59265,0.796643,0.293407,0.822229,0.866523,1.02721,0.93967,0.595966,1.0072,0.925663,1.08157,0.781964,1.37189,0.751471,0.884225,0.839428,1.14975,1.13599,1.26238,1.48937,0.947691,1.20499
0.899582,1.14323,1.03617,0.782547,0.919904,1.0199,1.076,0.917403,0.717622,0.910835,0.680895,0.724253,0.911354,0.830288,0.737256,0.314856,0.766485,0.877553,0.85536,0.786386,0.847078,0.614579,0.737269,0.787357,0.623481,0.934449,0.899883,0.841025,0.897801,0.778412,0.832891,0.531734,0.829515,0.856876,0.924138,0.647456,1.08844,0.724932,0.675612,0.68552,0.811758,0.887159,0.492676,0.543604,0.823792,0.84542,0.385,0.739205,0.662827,1.10909,0.581398,0.701812,0.485299,0.613439,0.787497,0.600784
0.93734,0.974782,0.942609,1.0224,0.955724,0.880657,0.868348,0.879481,0.873434,0.878963,0.818591,0.826596,0.780541,0.797519,0.835584,0.893456,0.829731,0.85082,0.865885,0.847384,0.852763,0.788753,0.784642,0.803779,0.832926,0.828591,0.84931,0.819901,0.817654,0.819483,0.779872,0.725073,0.772541,0.855151,0.856029,0.906774,0.875638,0.91546400000000006,0.898188,0.824,0.736496,0.692337,0.70509,0.666844,0.664343,0.690208,0.692879,0.607447,0.61667400000000006,0.62891,0.602551,0.536588,0.569764,0.520643,0.528932,0.551235
0.875329,0.901756,0.917839,0.683209,0.861188,0.874683,0.78142,0.703205,0.687928,0.812288,0.662575,0.646629,0.93237,0.707854,0.906485,0.357473,0.825259,0.803696,0.852019,0.820319,0.83441,0.697229,0.775801,0.909944,0.978601,0.903653,0.881844,0.880728,0.880202,0.764701,0.745561,0.50949,0.769493,0.715224,0.868557,0.619037,1.10984,0.674162,0.610357,0.536182,0.746808,0.840019,0.406113,0.52319,0.75658,0.660153,0.363176,0.561219,0.403423,0.846629,0.372219,0.468485,0.2872,0.352642,0.538736,0.304822
1.13075,1.37439,1.09011,1.42315,0.803129,0.861786,1.42972,0.936144,0.96932,1.21306,0.854706,0.97434,0.287131,0.837279,0.559821,1.47865,0.564077,0.592566,0.650575,0.635981,0.741005,0.762432,0.550704,0.040494,0.297516,0.627193,0.458677,0.385295,0.531684,0.85672,1.18129,0.893952,0.641179,1.00899,0.626682,1.13501,0.291376,1.20733,1.13117,1.44487,0.998834,0.495501,1.1774,0.876491,0.897358,0.965811,1.22207,0.748041,1.1226,0.544629,1.13796,1.02077,1.28032,1.21138,0.889798,1.49229
0.965298,0.93824,0.97502200000000006,0.851169,0.791463,0.750938,0.704559,0.538851,0.598584,0.748982,0.643991,0.953354,0.733814,0.760452,0.803475,0.78034,0.758096,1.07585,1.04197,0.883178,1.06043,0.764745,1.02391,1.0177,0.94985,0.995264,1.00649,1.12699,0.762598,0.795003,0.671118,0.439528,0.894633,0.776858,0.9722,0.916044,1.03826,0.839841,0.832286,0.630081,0.406259,0.615966,0.318759,0.28132,0.468263,0.148597,0.0907271,0.252697,0.0282362,0.370179,-0.116908,-0.0288449,-0.434532,-0.109507,-0.217442,-0.441596
0.514173,1.17651,0.4468,0.687051,0.417917,0.795731,1.7873000000000001,1.2441,1.07417,1.66446,0.782413,-0.116321,0.3662,0.405588,0.665438,0.836759,0.686866,-0.254274,0.464743,0.887512,0.499056,1.08488,0.361611,-0.249061,0.187726,0.612995,0.0514472,-0.575088,1.15689,1.11973,2.09587,1.569,0.415406,1.26689,-0.0216915,0.715136,-0.301466,0.746623,0.410894,1.47258,2.01073,0.532473,1.18853,1.17608,1.12784,1.8521,1.39899,0.0714565,1.01912,0.0847493,1.27671,1.25309,2.13478,1.26748,1.26157,1.61671
