logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
1.07553,1.05864,1.07811,1.05358,1.06664,1.1071,1.079,1.06745,1.05042,1.02265,1.03245,1.00541,1.0113,0.978043,1.01165,1.01524,1.01398,0.990521,0.935633,0.923027,0.919523,0.931714,0.945629,0.96958,0.972907,0.972318,0.947223,0.95825,0.931307,0.935087,0.953236,0.936093,0.948937,0.930573,0.908243,0.916991,0.941479,0.916008,0.902109,0.880416,0.903445,0.930273,0.935808,0.910613,0.876065,0.889717,0.844501,0.822099,0.832358,0.855321,0.86395,0.871264,0.875157,0.84082,0.854414,0.798926
1.05319,1.06429,1.02716,1.05114,1.08127,1.08421,1.08925,1.11866,1.08159,1.08071,1.03469,1.01878,1.02484,1.03664,1.0447,1.04221,1.03675,1.03336,1.07098,1.06516,1.03185,1.02315,1.02068,1.03075,1.04943,1.01261,0.976725,0.931659,0.953467,0.948222,0.946918,0.98323,0.984828,0.985992,0.947719,0.936007,0.945198,0.938246,0.942973,0.915508,0.942864,0.959019,0.943895,0.958831,0.963569,1.00545,1.02151,1.00897,0.994116,0.985587,0.998354,1.01565,1.01977,1.01354,1.03802,1.01667
0.796046,0.816192,0.813017,0.812734,0.820413,0.849462,0.837059,0.853845,0.882875,0.888234,0.876678,0.890928,0.895634,0.864003,0.869283,0.908328,0.92874,0.936624,0.944776,0.957985,0.929261,0.945722,0.936935,0.942813,0.941263,0.922781,0.92982,0.942243,0.953202,0.981513,0.990093,1.00445,0.978333,0.965441,0.962266,0.957363,0.954141,0.930776,0.918924,0.908775,0.907741,0.92838,0.925966,0.906986,0.922152,0.957583,0.972858,0.975612,0.974025,0.971007,0.965994,0.95999,0.905696,0.878617,0.885037,0.868514
0.921187,0.931824,0.960005,0.966938,0.959696,0.957211,0.946778,0.949629,0.94014,0.937757,0.946322,0.938854,0.933969,0.921495,0.931237,0.910541,0.926669,0.902973,0.940587,0.925186,0.926649,0.932516,0.953453,0.961712,0.948758,0.939319,0.934226,0.94073,0.922514,0.924165,0.897994,0.915954,0.948268,0.963449,0.952143,0.93392,0.924063,0.912237,0.872688,0.859478,0.876637,0.90414,0.922225,0.932508,0.905356,0.904323,0.88284,0.854705,0.864378,0.84094,0.814683,0.819943,0.816222,0.809318,0.780094,0.762608
0.87332,0.878356,0.880614,0.867263,0.892777,0.898567,0.915368,0.90895,0.926392,0.897141,0.875818,0.869386,0.888462,0.857602,0.875564,0.87986,0.911907,0.888345,0.893211,0.879253,0.899261,0.893729,0.890562,0.890887,0.894309,0.897368,0.893361,0.901776,0.90936,0.91873,0.929592,0.963636,0.978187,0.95707,0.97755,0.98552,0.96554,0.965463,0.964385,0.969286,0.995362,1.02191,1.00814,1.01237,0.997009,1.0115,0.996284,1.00769,1.01041,1.02127,1.04798,1.05158,1.0849,1.07867,1.06039,1.08806
0.746323,0.769549,0.756193,0.769862,0.805562,0.82695,0.842047,0.832025,0.865175,0.858448,0.864837,0.861132,0.877486,0.889176,0.872076,0.886465,0.92922,0.918902,0.93499,0.924887,0.934961,0.944991,0.933915,0.931722,0.940137,0.951391,0.959758,0.948498,0.930908,0.894592,0.950658,0.930984,0.909318,0.899902,0.894697,0.932141,0.912835,0.905857,0.890374,0.903612,0.916531,0.918107,0.93173,0.939552,0.935195,0.948239,0.933474,0.942663,0.934735,0.942672,0.970572,0.970354,0.946107,0.935804,0.971867,0.973532
0.885366,0.874396,0.863011,0.873496,0.882196,0.904298,0.869681,0.882008,0.877522,0.880263,0.865836,0.861378,0.847571,0.85164,0.827732,0.796344,0.803511,0.811012,0.842987,0.832943,0.841153,0.843659,0.872175,0.888338,0.882737,0.848579,0.858152,0.867083,0.918058,0.8947,0.912073,0.916469,0.941819,0.911584,0.939922,0.937023,0.938281,0.938954,0.969297,0.965924,0.965666,0.955982,0.951848,0.961779,0.962891,0.938707,0.9374,0.918466,0.916616,0.919698,0.893348,0.885509,0.890481,0.903644,0.851611,0.849158
0.815012,0.76445,0.750085,0.717867,0.728247,0.770701,0.77499,0.76933,0.741412,0.723326,0.754539,0.770218,0.769245,0.802451,0.846236,0.84748,0.829132,0.854615,0.890205,0.854001,0.843759,0.889707,0.879669,0.854118,0.846381,0.857093,0.866105,0.870698,0.904633,0.912278,0.952845,0.961747,0.979054,0.964335,0.975214,0.998136,0.991878,0.984672,0.980457,0.998145,0.96764,0.999736,1.02725,1.01386,1.04846,0.98542,1.01352,1.00694,0.967784,0.969987,0.966726,0.941221,0.932165,0.938182,0.921953,0.912526
0.817038,0.829033,0.852847,0.847827,0.848843,0.859567,0.840831,0.850001,0.878372,0.881803,0.872573,0.898024,0.922853,0.951806,0.974328,0.962408,0.923125,0.911067,0.937289,0.949457,0.924071,0.904984,0.888365,0.893355,0.931724,0.898789,0.874708,0.850149,0.874275,0.819036,0.848395,0.889124,0.896916,0.91129,0.916954,0.939678,0.920884,0.916245,0.930091,0.939188,0.928649,0.944857,0.921339,0.918278,0.886616,0.821082,0.804679,0.786391,0.796141,0.814337,0.832879,0.830736,0.834023,0.831652,0.81545,0.823964
0.820108,0.806851,0.784818,0.775716,0.794018,0.83467,0.867312,0.86589,0.865339,0.87498,0.855523,0.845151,0.875628,0.854509,0.851791,0.844912,0.839501,0.851834,0.819302,0.822952,0.797949,0.7959,0.781027,0.784942,0.799352,0.796453,0.776825,0.765389,0.755892,0.742249,0.736696,0.746401,0.741422,0.747294,0.764588,0.76861,0.795902,0.837088,0.844636,0.829097,0.815267,0.80829,0.785148,0.777322,0.785172,0.753424,0.740238,0.741383,0.712922,0.722311,0.738317,0.733603,0.731749,0.731269,0.755918,0.768184
