logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.325722,0.330603,0.412219,0.549366,0.439851,0.600477,0.598836,0.415738,0.518837,0.532383,0.247772,0.408911,0.823369,0.703045,0.938721,1.14725,0.90638,0.675468,0.523956,0.349566,0.644031,0.450886,0.326559,0.292114,0.549629,0.600876,0.984576,0.791967,0.739785,0.670993,0.544605,0.767203,0.908669,0.640431,0.921666,1.40158,1.1325,1.17715,1.04349,1.02954,0.875891,1.01279,0.793665,1.01417,0.87419,0.788693,0.650452,0.651888,0.307505,0.20505,0.113811,0.155579,0.306128,-0.113433,-0.151763,-0.141911
0.634923,0.605304,0.508868,0.560248,0.702185,0.88244,0.722784,0.258192,-0.0641114,-0.0134436,0.211424,0.56203,0.515195,0.776431,1.16669,1.34945,0.941,0.818551,0.830265,0.691905,0.622483,0.525547,0.946329,1.09857,0.901845,0.52238,0.866069,0.638024,0.362891,0.272747,0.367144,0.511327,0.337293,0.406675,0.600315,0.467912,0.632967,1.11447,1.14633,0.946077,0.955371,1.17821,0.814666,0.910224,0.662675,0.703998,0.932275,1.17666,1.06562,0.897584,0.847163,0.621546,0.811653,0.533446,0.479642,0.665853
0.837171,0.928743,0.500792,0.567638,0.551112,0.83587,0.738859,0.239011,0.316743,0.112728,0.231666,0.319507,0.592386,0.667411,1.18856,1.37174,1.04881,0.920592,0.70943,0.734742,0.484547,0.81623,0.738578,0.963376,0.911109,0.806686,0.865262,0.85786,0.390474,0.324239,0.465732,0.642614,0.518945,0.453023,0.473694,0.845435,0.566035,1.04178,1.11462,1.03172,0.934735,1.09802,1.04728,0.781606,0.705254,0.95325,0.970267,1.02814,0.949156,0.812442,0.87207,0.774284,0.554409,0.546965,0.545584,0.624895
0.901547,0.864176,0.737174,0.631483,0.729654,0.809487,0.443127,0.266407,0.0669686,0.419259,0.327961,0.447084,0.548922,0.788406,1.0684,1.17256,1.09679,0.931526,0.950326,0.722228,0.599724,0.83125,1.03164,0.845557,0.753339,0.863002,0.983543,0.769253,0.353969,0.328849,0.487788,0.736605,0.626024,0.370515,0.526706,1.0035,0.767615,1.10336,1.1782,0.872888,0.959898,0.978739,0.865802,0.935238,1.06686,0.976917,1.01139,0.80775,1.04368,0.905509,1.01918,0.83931,0.591504,0.408007,0.544953,0.489268
1.67845,1.355,1.37314,1.00213,0.64787,0.380978,0.190657,0.191843,0.158278,0.0470852,0.357348,0.550634,0.907816,1.0257,0.908705,0.799199,1.04869,0.813989,0.900523,0.765933,1.08801,0.721258,0.785486,1.09658,0.946723,0.729141,0.755487,0.515397,0.860446,0.825807,0.515411,0.3624,0.709251,1.01043,0.783543,0.814455,1.076,0.648918,0.85734,0.954028,1.10438,1.18707,1.06102,0.877214,0.903441,0.484525,0.600968,0.561812,0.728961,0.420884,0.535658,0.722867,0.863834,1.07829,1.17528,1.19982
1.12237,1.35812,1.15807,1.008,0.902528,0.587666,0.342394,0.186746,0.259965,0.0534633,0.112351,0.718949,1.13192,1.22004,0.862382,0.859552,0.895372,0.809649,0.940439,1.02691,0.786481,0.872035,0.768499,0.83067,0.887426,0.746649,0.621494,0.882905,0.776169,0.872572,0.606463,0.818145,0.849588,0.816583,0.951115,0.952076,0.723142,0.977103,0.939543,0.865211,1.06641,1.20196,1.05599,0.870451,0.771433,0.773433,0.647151,0.580713,0.378175,0.725501,0.723549,0.708724,0.544359,0.722797,0.801797,0.83964
0.871418,0.780223,0.956395,1.02385,1.00063,0.580992,0.671591,0.55415,0.66635,0.702791,0.911275,0.772418,0.679543,1.06117,0.96486,0.936013,0.805601,0.84562,0.840228,0.67329,0.635541,0.493985,0.552878,0.726581,0.62964,0.949406,1.09854,1.1825,1.18943,0.887856,1.12695,0.792315,0.92017,0.85889,0.896308,0.968825,1.13862,0.835379,1.01595,1.34315,1.06761,1.18107,1.25054,1.19256,1.18353,1.03521,0.89044,0.674091,0.447564,0.323631,0.284313,0.438891,0.597122,0.734686,0.818721,0.670306
0.933656,0.635884,0.539694,0.60667,0.485188,1.07261,0.839042,0.690311,0.413643,0.444951,0.62955,0.711274,0.74766,1.04093,0.965966,1.11054,0.969317,0.450157,0.422601,0.449499,0.649774,0.666033,0.84746,1.05742,0.951949,1.0187,0.857193,0.739825,0.684906,0.486399,0.884332,1.03732,1.46207,1.11975,1.27038,1.19459,1.33531,1.24906,0.983266,1.0863,0.82246,0.792445,0.93361,0.721335,0.477306,0.57226,0.738465,1.2084,1.18072,0.869047,0.824084,0.655095,0.758787,0.564914,0.330023,0.512466
0.135433,0.484866,0.642525,0.876425,0.93167,0.977919,0.806313,0.39402,0.357364,0.507098,0.384006,0.567155,0.735355,0.775745,1.16071,1.5179,0.620073,0.326693,0.428412,0.452459,0.420006,0.807951,0.96025,0.781523,0.908728,0.748461,0.925224,0.913924,0.582784,0.764415,0.801957,1.35466,1.22353,1.11543,1.37517,1.93702,1.74878,1.78979,1.36642,1.02889,1.20824,1.21428,0.991689,1.02379,0.786,0.731327,0.972075,1.156,0.996044,1.06564,1.1141,0.896672,1.13154,1.0352,1.08754,1.30857
0.843917,0.68513,0.731477,0.686981,0.565137,0.852739,0.745102,0.647108,0.503635,0.427456,0.50105,0.657398,0.767964,0.845266,0.571726,0.765931,0.695935,0.497909,0.595467,0.578766,0.764245,0.72927,0.790864,0.766988,0.556856,0.611328,0.574243,0.601778,0.6557,0.603453,0.995353,1.08857,1.38692,1.24559,1.58527,1.60724,1.57534,1.32654,1.23719,1.40017,1.32107,1.26456,1.35913,1.05733,0.853443,0.706481,0.443114,0.691747,0.747984,0.960485,0.858593,1.05222,1.06842,0.972487,0.966193,1.03282
