logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
1.12809,1.06056,0.955898,0.894771,0.768119,0.719815,0.609334,0.640515,0.640661,0.715327,0.791626,0.725619,0.677688,0.815782,0.76131,0.716023,0.405176,0.829088,0.846313,0.797428,0.751005,0.770701,0.959475,1.15376,1.07177,1.07841,1.08034,1.03801,1.0533,1.11668,1.07345,0.924957,0.921928,1.05746,1.2998,1.02621,1.13977,1.06839,1.02738,1.08316,1.1799,1.02996,0.858274,0.796711,0.69531,0.631903,0.67129,0.695548,0.633813,0.744559,0.741897,0.777414,0.783432,0.720213,0.744493,0.788866
1.09102,1.07686,1.072,0.900067,0.672697,0.5387,0.34135,0.370776,0.510569,0.685129,0.753032,0.895329,0.889155,0.843016,0.899006,0.850498,0.614738,0.674754,0.827242,0.880623,0.890753,0.935742,0.803547,0.758486,0.87668,0.992859,1.0085,0.951996,0.936513,0.967587,1.01603,1.06975,0.961448,0.873228,0.805193,1.00076,0.914149,0.943505,0.942385,1.04702,0.846057,0.789837,0.879266,0.806176,0.794248,0.794421,0.828136,0.703149,0.669755,0.594629,0.404061,0.403306,0.421131,0.37572,0.458985,0.536462
0.832142,0.788348,0.764498,0.756146,0.714121,0.624215,0.516448,0.487969,0.547564,0.69675,0.760065,0.797786,0.88704,0.967053,0.841202,0.67365,0.444537,0.751072,0.758796,0.684659,0.673452,0.755829,1.0063,1.16798,1.13385,1.05848,0.981679,0.898966,0.828393,0.825706,0.78195,0.735806,0.774327,0.889954,0.974813,0.716414,0.830852,0.964564,0.865906,0.841534,0.899119,0.941669,0.946005,0.959948,0.881266,0.81993,0.824028,0.572653,0.466702,0.494767,0.505014,0.495169,0.458795,0.39897,0.394349,0.425801
0.55438,0.667247,0.606072,0.573735,0.509993,0.52089,0.578142,0.580708,0.658254,0.793408,0.738172,0.760984,0.726471,0.619065,0.807095,0.880511,0.609906,0.522323,0.499812,0.555593,0.701744,0.975139,1.07327,1.13715,1.1806,1.0649,0.929514,0.737998,0.703463,0.731687,0.897196,1.01059,0.87007,0.682077,0.656772,0.888279,0.846754,0.669875,0.714917,0.768068,0.654721,0.737379,0.888329,0.977662,0.880934,0.906697,0.877173,0.649552,0.634044,0.619198,0.395068,0.302562,0.0987766,0.117706,0.257117,0.254543
0.259447,0.214404,0.294915,0.398835,0.532066,0.551864,0.155627,0.0744297,0.328243,0.564195,0.45979,0.487534,0.693997,0.690377,0.601674,0.496819,0.213757,0.59229,1.06119,1.11113,1.15968,1.22106,1.19694,1.2177,1.23805,1.06576,1.03102,0.821645,0.801977,0.818095,0.718085,0.595661,0.628541,0.891029,0.90686,0.900621,0.71189499999999994,0.745033,0.967865,1.11679,0.932382,1.03632,1.27363,1.05183,0.790804,0.915876,0.718853,0.664913,0.551579,0.528837,0.381336,0.163574,-0.0366411,0.0743868,0.275428,0.313158
-0.0532819,-0.0179429,0.142379,0.36494,0.344869,0.48159,0.278409,0.0747611,0.279984,0.288236,0.340461,0.54179600000000006,0.40728,0.451955,0.620768,0.497575,0.329848,0.780682,1.00012,1.06111,0.989085,1.113,1.32341,1.28563,1.14556,1.0351,0.924941,1.01316,1.00592,0.993251,1.03594,1.04524,0.923858,0.769167,1.11838,0.91158,0.786565,0.936714,0.676324,0.840683,1.05906,1.1492,0.962054,0.887875,0.696876,0.599777,0.726803,0.674506,0.466757,0.399784,0.455726,0.477254,0.220231,0.0925802,-0.00265547,-0.020074
0.314192,0.389426,0.334541,0.216021,0.149206,0.135337,-0.0520152,-0.087836,0.139426,0.233135,0.361159,0.517986,0.738691,0.641876,0.632721,0.636139,0.392595,0.404208,0.672835,0.669412,0.733916,0.928343,0.894658,0.827359,0.792017,0.785642,0.852325,0.8562,0.737571,0.762764,0.84087,1.04755,1.02083,1.0425,0.917382,1.01761,1.07965,0.926604,0.743635,0.817774,0.852615,1.02986,1.00708,0.990344,0.902985,0.837293,0.916839,1.02774,1.00794,1.08418,1.2201,1.14799,1.23055,1.27372,1.17774,1.35828
0.561332,0.47569,0.447301,0.427944,0.389983,0.417032,0.348259,0.320399,0.4045,0.447258,0.36938,0.334973,0.530785,0.396377,0.417244,0.368932,0.284179,0.312386,0.494381,0.648561,0.702641,0.739682,0.61061,0.662717,0.725952,0.712846,0.685397,0.578821,0.590542,0.502864,0.531638,0.453008,0.560333,0.619789,0.620953,0.54882,0.603122,0.704401,0.967023,1.0589,0.987465,0.896181,1.08008,1.15937,1.12518,1.0611,0.966851,0.679169,0.532468,0.390228,0.472025,0.44028,0.431505,0.358943,0.562554,0.426818
0.671318,0.557913,0.482428,0.490366,0.547124,0.45427,0.264175,0.243358,0.400737,0.464321,0.404582,0.601395,0.579986,0.667271,0.698116,0.609303,0.346592,0.400969,0.531692,0.597986,0.595132,0.576094,0.615314,0.577884,0.612257,0.491123,0.385488,0.42063,0.53227,0.666878,0.666174,0.696788,0.671606,0.765464,0.97104,0.874858,0.779336,0.857599,0.849122,0.917521,0.819504,0.780768,0.832084,0.861656,0.843432,0.857779,0.762813,0.756361,0.708611,0.847798,0.833986,0.722389,0.771747,0.674039,0.829041,0.923838
0.624188,0.632999,0.560929,0.69695,0.727344,0.68828,0.756708,0.722112,0.746705,0.609552,0.635365,0.576884,0.566719,0.614522,0.48746,0.485722,0.507878,0.46806,0.56418,0.642696,0.643146,0.720968,0.736246,0.711474,0.733426,0.78898,0.776281,0.749319,0.813805,0.74403300000000006,0.741248,0.770742,0.706569,0.584656,0.587755,0.677364,0.753559,0.691891,0.647074,0.660918,0.704466,0.679379,0.72004,0.71724,0.664336,0.65328,0.700028,0.606784,0.589536,0.528085,0.571572,0.554065,0.593216,0.559575,0.499405,0.493597
