logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.707086,0.675172,0.635424,0.617359,0.684893,0.738809,0.802574,0.829141,0.862878,0.866346,0.990632,0.930945,1.0007,0.973306,0.92098,0.968963,0.946293,0.881808,0.855637,0.85201,0.888114,0.913028,0.839915,0.746863,0.752304,0.883414,0.822583,0.704254,0.717211,0.84522,0.7703,0.781255,0.776924,0.91227,0.990813,1.00379,0.919145,0.936376,0.884243,0.732782,0.811106,0.76356,0.838233,0.855855,0.898125,1.04836,1.02405,1.03552,0.888735,0.96736,0.924834,0.811316,0.776351,0.85917,0.880568,0.889996
0.623682,0.650666,0.72042,0.747078,0.805242,0.858935,0.887219,0.931739,0.95206,0.892824,0.84434,0.884678,0.899857,0.938688,1.02406,1.02642,1.05989,1.05721,1.15896,1.00996,0.818367,0.847677,0.770636,0.899255,0.842343,0.657361,0.658607,0.825922,0.830692,0.802174,0.860232,0.819896,0.777932,0.772882,0.723797,0.88897,0.986834,0.943945,0.949884,0.993848,1.03266,0.921631,1.05677,1.01801,0.93297,0.912804,0.833448,0.855978,0.800167,0.924756,1.01178,0.935968,0.947574,0.999113,1.00721,0.922586
0.919638,0.882556,0.839659,0.797894,0.817081,0.912063,0.857874,0.876194,0.786296,0.76841,0.841923,0.887551,0.837828,0.830668,0.97887,0.996829,0.822234,0.734769,0.665283,0.77108,0.79553,0.804658,0.838245,0.788545,0.934337,0.955507,0.919795,0.943339,0.855769,0.848509,0.835835,0.805242,0.727406,0.716601,0.848786,0.889456,0.906376,1.01864,1.01836,1.09786,1.27127,1.09441,1.05637,0.972338,0.876901,1.05,0.939811,0.98749,0.978828,1.11425,1.08171,1.01787,1.04678,1.11638,1.11541,1.20199
0.757555,0.756166,0.713607,0.669818,0.699532,0.72469,0.852282,0.834087,0.916107,0.865661,0.796402,0.697951,0.742993,0.823575,0.736553,0.861381,0.94379,0.991023,0.83854,0.825365,0.936129,0.858804,0.986118,0.835336,0.73154,0.867415,0.803627,0.797451,0.787188,1.03534,0.933495,0.978625,1.01948,1.06309,0.966067,0.935934,0.769243,0.83554,0.750832,0.830237,0.80724,0.83959,0.834269,0.964931,0.85766,0.895772,0.862496,0.950726,0.701044,0.797214,0.807547,0.710406,0.529837,0.546178,0.613773,0.736915
0.612636,0.658433,0.716026,0.753528,0.842122,0.846236,0.819651,0.61791,0.745127,0.779542,0.760889,0.851192,0.812951,0.876564,0.937984,1.03068,0.803921,0.814533,0.855975,0.741522,0.671414,0.456415,0.566126,0.600002,0.879528,0.72766,0.828664,1.01223,1.00703,1.07684,1.11376,1.10251,0.876077,0.846576,0.848314,0.970712,0.944311,1.04677,0.960165,0.940689,0.848695,0.885868,0.884043,1.00948,1.01733,0.956013,0.950015,0.95787,0.820916,0.75464,0.859547,0.693449,0.412615,0.424077,0.516001,0.758012
0.910181,0.731184,0.652554,0.640341,0.628697,0.787235,0.606868,0.464565,0.64195,0.584427,0.545069,0.641524,0.840634,0.972704,0.872823,1.04031,0.86525,0.869636,0.582998,0.644572,0.706869,0.782032,0.93631,0.734139,1.0659,1.07649,1.14881,1.21385,1.06127,0.920117,0.818618,0.907923,0.823459,0.861646,0.901488,0.962538,0.712102,0.79723,0.816653,0.860816,1.05353,0.912904,0.888208,0.934429,0.818404,0.722024,0.822446,0.662873,0.657794,0.745924,0.807534,0.675054,0.461682,0.681554,0.694069,0.834016
0.39392,0.529139,0.612452,0.738151,0.574594,0.519441,0.603188,0.597947,0.497117,0.51208,0.614695,0.783666,0.733877,0.898857,1.12152,1.06602,0.962872,0.907012,1.02487,0.939526,0.834818,0.803956,0.858149,1.18766,1.03767,1.18673,1.11783,1.04597,1.09373,1.16216,1.10083,1.00822,0.975147,1.04782,0.732003,0.732277,0.806783,0.874922,0.862122,0.977413,0.718316,1.00747,0.830043,0.976547,1.02657,0.854725,0.91554,0.817403,0.714402,0.677882,0.80984,0.824361,0.876544,0.969942,0.971611,0.838079
1.23918,1.14783,0.905258,0.779588,0.775379,0.822266,0.453498,0.349966,0.511466,0.715404,0.746317,0.85654,1.07292,1.07606,0.844316,1.10488,0.935832,0.90526,0.699235,0.613936,0.916982,1.00657,1.16013,0.939623,1.25428,1.08151,1.11432,1.19167,1.19032,1.22464,1.21168,1.23556,1.06966,0.722209,0.778538,0.69027,0.508288,0.619824,0.727196,1.04185,1.05537,1.30748,1.34096,1.41195,1.37593,1.16398,1.0971,0.960732,0.954027,0.903483,0.846705,0.432759,0.346637,0.370869,0.280732,0.467708
1.29284,0.979618,0.929769,0.872194,0.703582,0.721149,0.647634,0.739073,0.584614,0.536172,0.779204,0.8602,0.942925,1.03494,0.959248,0.883118,0.873459,1.17697,0.765499,0.7007,0.917082,0.966597,0.849022,1.10822,1.33637,1.14368,1.06229,1.15651,1.08646,1.39582,1.23414,1.22515,1.0005,0.571448,0.674034,0.650057,0.560739,0.631868,0.924973,0.866716,1.2961,1.45364,1.45808,1.24962,1.01536,1.1085,1.14329,1.06178,0.889882,0.805904,0.54177,0.663594,0.518999,0.497894,0.664599,0.484309
-0.324304,-0.0679082,-0.038301,0.246889,0.637554,0.464802,0.745394,0.582279,0.648622,0.712381,0.616668,0.66365,0.580652,0.796997,1.11202,1.09389,1.34551,1.25479,1.40617,0.954597,1.10295,1.25873,0.895368,1.06914,1.22688,1.08003,1.26517,1.14766,1.07114,0.71151,0.758956,0.866024,1.0684,1.06621,1.20951,1.46223,1.32107,1.57454,1.31756,1.18531,0.917936,1.2071,1.13193,0.982824,1.23362,1.33202,1.47109,1.56271,1.60521,1.78808,1.68546,1.60091,1.77789,1.84457,1.76056,1.77347
