logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.92795,0.892747,0.85845,0.861002,0.859688,0.828801,0.822371,0.719441,0.724573,0.787476,0.858843,0.860325,0.891115,0.863666,0.855674,0.854128,0.790199,0.692255,0.797244,0.892857,0.927279,0.960399,0.997625,0.996233,0.992162,0.922325,0.861094,0.825367,0.799442,0.789189,0.855878,0.926274,0.929314,0.859467,0.861607,0.963,0.894789,0.856407,0.897529,0.860031,0.955654,0.992953,1.06435,1.13224,1.12981,1.09647,1.19626,1.19892,1.1581,1.09963,1.16487,1.19603,1.16055,1.0971,1.02506,1.16428
0.922245,0.906667,0.890793,0.891239,0.889086,0.87507,0.884252,0.843456,0.83257,0.869346,0.892288,0.889955,0.907254,0.888483,0.891343,0.897085,0.868578,0.820302,0.858654,0.908013,0.916578,0.935815,0.941791,0.942951,0.946087,0.92047,0.888468,0.879043,0.855916,0.868027,0.89523,0.920362,0.910731,0.894719,0.891255,0.926209,0.901655,0.89303,0.901941,0.891043,0.936181,0.947027,0.972251,0.995747,0.998457,0.985751,1.02697,1.02358,1.01573,0.979714,1.00607,1.02958,1.01626,0.984497,0.960393,1.0127
0.937164,0.915165,0.854571,0.88734,0.874494,0.819997,0.831733,0.74515,0.73783,0.830637,0.874088,0.845835,0.911511,0.85694,0.859531,0.872627,0.7936,0.687986,0.770546,0.925287,0.931442,1.00028,0.999704,0.991365,0.987315,0.934584,0.888128,0.825101,0.750587,0.817511,0.927195,0.918763,0.927931,0.87893,0.877999,0.966479,0.890221,0.874801,0.882431,0.851499,0.960402,1.04018,1.03101,1.11429,1.10809,1.08988,1.20161,1.20879,1.16438,1.1203,1.16538,1.20842,1.17995,1.09856,1.01093,1.16833
0.743484,0.754606,0.964271,0.718239,0.834722,1.04773,0.96073,1.06691,1.05615,0.663064,0.743456,1.08615,0.712045,0.93816600000000006,0.924887,0.933619,1.23222,1.24146,1.06327,0.681146,0.667168,0.566818,0.73738,0.821917,0.748657,0.84017,0.848163,0.974413,1.32854,0.86594,0.592502,0.999071,0.848536,0.814074,0.793481,0.925075,0.807811,1.02649,0.952005,0.921185,0.860943,0.574732,0.928384,0.475342,0.846658,0.714476,0.412931,0.385662,0.565351,0.442944,0.579227,0.38334,0.384843,0.680301,0.805495,0.456592
0.845521,0.70197,1.06627,0.681358,0.977475,1.09275,1.09069,1.26685,0.841346,0.749235,0.915694,1.03232,0.48481,1.44071,1.08533,0.710208,1.49783,1.4312,1.273,0.606218,0.764229,0.35322,0.416243,0.747977,1.1055,0.627921,1.04627,0.814751,1.4682,1.12133,0.775965,1.46599,1.04383,0.549844,0.745688,1.28201,1.1657,1.17539,0.959211,1.07024,1.04974,0.476806,0.588465,0.628088,1.14886,0.776209,0.239862,0.78004,0.295214,0.378139,0.6305,0.189245,0.123902,0.706987,0.926946,0.346389
0.986758,0.84859,0.774712,0.846187,0.723029,0.428756,0.448878,0.829708,0.373349,0.188343,0.391778,1.02337,0.590853,0.807766,0.80585,0.5705,1.09599,0.801585,0.661851,1.34975,1.09286,1.22906,1.2883,1.05678,0.899063,1.19442,0.78362,0.949726,0.491291,0.644129,1.00999,0.932889,1.04399,0.925761,0.82167,0.756583,0.886353,0.737475,0.888643,1.3466,0.952587,1.19495,1.03555,0.956316,1.07829,1.17124,0.991569,0.890262,1.33604,1.16185,1.202,1.36888,1.17488,1.36791,0.706143,0.955017
0.65492,1.15279,0.967442,1.09147,0.668458,1.38266,0.711162,1.32018,1.02065,0.360001,0.559675,0.77279,0.630175,0.942499,0.92708,0.905946,1.39692,0.313701,1.04418,0.411,0.720845,1.16703,0.749133,1.15708,1.54565,1.29797,1.56007,0.85908,0.15298,0.787895,1.40485,1.19006,0.739222,0.0185694,1.1188,1.27223,0.962344,0.900147,1.22501,0.841564,1.08485,1.27193,1.24052,1.36502,1.23494,1.94144,2.04115,1.49606,0.782586,1.25884,0.655493,0.573795,0.952671,1.62424,0.806088,1.02416
0.685195,1.01206,0.678916,0.928364,0.838723,1.03809,0.733267,1.11202,0.840957,0.625579,0.906547,0.999836,0.807188,0.699563,0.847462,0.804651,1.11036,0.575004,0.910283,0.622493,0.569501,0.972419,0.878445,0.911113,0.892445,0.752791,0.975471,0.678167,0.732487,0.610939,0.845913,0.737268,0.616188,0.603357,0.799765,0.984652,0.815452,0.855777,0.852348,0.705894,0.807706,0.988983,0.944301,0.875416,0.755013,1.2812,1.02445,0.892451,0.704935,1.0603,0.717587,0.676154,0.93718,0.877696,0.666834,0.831962
0.492485,0.460741,0.382665,0.727652,0.689071,0.791574,0.724435,0.942455,0.605093,0.490608,0.729636,0.830643,0.574965,0.516091,0.679586,0.542695,0.682867,0.544998,0.756556,0.4512,0.350841,0.860002,0.7224,0.600657,0.580699,0.553776,0.65742,0.458082,0.647733,0.334843,0.61575,0.552137,0.488755,0.571618,0.5233,0.389111,0.616567,0.594278,0.864165,0.681251,0.521041,0.714749,0.561392,0.616801,0.757371,0.74956,0.76842,0.544962,0.401524,0.929259,0.596598,0.31219,0.750325,0.593834,0.438232,0.494014
0.938923,0.909412,0.819019,0.935878,0.980946,0.959654,0.971394,0.932356,0.700298,0.861605,1.05569,1.09996,1.05708,0.825207,0.878984,0.863773,0.858877,0.589589,0.97954,0.917924,0.938107,1.14171,1.22897,1.04527,1.07511,0.882626,1.08494,0.87931,0.905819,0.694988,1.01385,0.993975,1.04815,0.927859,0.826086,1.04259,1.22006,0.868039,1.14732,0.909339,1.11576,1.13912,1.1799,1.31043,1.25919,1.31554,1.31403,1.34622,1.14245,1.31064,1.33584,1.11714,1.26909,1.25761,1.03165,1.272
