logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.752287,0.430767,0.514774,0.447907,0.428976,0.728991,0.551495,0.595368,0.795581,0.411884,0.407381,0.406188,0.287289,0.380174,0.319156,0.642654,0.690769,0.608715,0.677509,0.359895,0.501298,0.351475,0.317624,0.397795,0.438509,0.78586,0.675407,0.622462,0.749317,0.769634,1.04237,1.07811,0.904536,0.962755,1.08772,1.095,1.28219,1.41432,1.25871,1.3602,1.10923,1.33164,1.09379,1.19086,0.964904,1.05812,1.06285,1.34538,1.34798,1.38202,1.41862,1.40153,1.41019,1.79005,1.781,1.8192
0.815457,0.738489,0.696693,0.574868,0.499213,0.513692,0.621474,0.52401,0.541218,0.582667,0.495295,0.559614,0.612619,0.65543,0.513336,0.646046,0.690999,0.697607,0.712053,0.644522,0.719346,0.727625,0.659499,0.750974,0.844967,0.860683,0.945844,1.04575,1.11307,1.09851,1.21368,1.19752,1.31561,1.3012,1.33245,1.44608,1.60942,1.73922,1.64585,1.6729,1.7949600000000001,1.60799,1.69685,1.63138,1.71731,1.87569,1.92183,1.89433,1.87217,2.07685,1.93095,2.14065,2.13003,2.43504,2.49259,2.56934
0.809324,0.81677,0.876063,0.838454,0.800605,0.903899,0.805772,0.990529,0.965333,0.883613,0.759642,0.823698,0.720001,0.814994,0.759492,0.783821,0.998312,1.07811,0.945013,0.813966,0.74626,0.749553,0.712594,0.63794,0.713755,0.880929,0.950614,0.974584,1.07767,1.10488,1.01087,1.05198,0.992372,1.12818,1.10033,0.967666,1.10492,1.15556,1.19549,1.21262,1.08575,1.01487,0.937387,0.955307,0.962168,1.08533,0.84481,0.928662,0.890943,1.06447,1.03753,1.02535,1.0374,1.1825,1.31408,1.10621
0.681678,0.510128,0.826315,0.814568,0.73574,0.627929,0.573398,1.05413,1.0405,0.784147,0.703167,0.836759,0.605811,0.517235,0.835095,0.76574,0.822055,1.12305,1.00579,0.808856,0.828552,0.453948,0.553636,0.663358,0.618331,0.673258,1.06217,0.829448,1.07906,1.19875,0.884362,0.88752,0.949659,1.07873,1.14701,0.869898,0.9124,1.13956,1.21291,0.93571,0.998999,0.827757,0.816833,0.794254,0.91615,0.803575,0.418532,0.560612,0.838083,1.03044,0.700594,0.699883,0.627736,1.00513,1.22004,0.896874
0.76125,0.688412,0.649604,0.655316,0.635704,0.556713,0.637092,0.636113,0.630032,0.613539,0.561236,0.601747,0.586919,0.58862,0.659987,0.651643,0.746647,0.720938,0.723122,0.646145,0.760106,0.655487,0.677742,0.69662,0.766755,0.782381,0.885314,0.93524,0.929579,0.990589,1.03625,1.04913,1.12642,1.15881,1.19833,1.12707,1.19039,1.28712,1.28848,1.41382,1.36007,1.38452,1.32802,1.31614,1.42979,1.45741,1.45717,1.50704,1.50742,1.60831,1.67031,1.71665,1.73693,1.83514,1.95437,1.92954
0.606807,0.537104,0.501896,0.515162,0.509254,0.420898,0.507774,0.504833,0.513025,0.500101,0.423594,0.462349,0.449648,0.448966,0.525076,0.504956,0.603906,0.570308,0.576499,0.497761,0.610462,0.492917,0.512194,0.53185,0.602197,0.611721,0.715224,0.765669,0.754102,0.814039,0.846101,0.84438,0.918003,0.94707,0.989308,0.902176,0.966963,1.05648,1.03981,1.17633,1.10295,1.13097,1.06755,1.04378,1.15855,1.17194,1.16365,1.20802,1.20901,1.30529,1.36462,1.39815,1.40967,1.49752,1.61441,1.56955
0.697959,0.920183,0.912739,0.590899,0.591368,0.92532,0.744648,0.519614,0.75522,0.65037,0.838174,0.711683,0.69309,0.758501,0.598828,0.949029,0.895994,0.79621,0.967615,0.715253,0.685133,0.655489,1.04046,0.800523,0.783134,1.07292,1.00511,0.90033,1.05123,1.04971,1.33999,1.12443,1.23539,1.21473,1.20392,1.06594,1.39085,1.60288,1.57778,1.53688,1.55698,1.4526,1.70111,1.45638,1.67939,1.70442,1.57743,1.79511,1.68525,1.82516,1.52844,1.57194,1.93295,2.11213,1.82666,2.4485
0.489715,0.65634,0.541601,0.448883,0.470435,0.51617,0.596668,0.626828,0.492676,0.457891,0.483255,0.390428,0.468033,0.430541,0.41484,0.477959,0.615225,0.69141300000000006,0.510976,0.633371,0.526482,0.515829,0.475988,0.55239,0.517913,0.736528,0.741356,0.774202,0.881512,1.04025,0.892876,0.974671,0.92623200000000006,1.05144,1.07338,1.08413,1.27672,1.33634,1.33904,1.45451,1.36264,1.25021,1.28873,1.30881,1.30929,1.43925,1.36975,1.53194,1.48839,1.59901,1.56561,1.60259,1.64916,1.86659,2.04134,2.12014
0.779875,0.509988,0.652398,0.673098,0.564261,0.532921,0.396128,0.544164,0.695303,0.564825,0.441943,0.716642,0.566372,0.705112,0.785414,0.710031,0.75893,0.761236,0.870816,0.525877,0.639001,0.583255,0.660153,0.601613,0.764565,0.703853,0.891858,0.91181,0.826173,0.708689,0.99289,0.96787,1.11575,1.06027,1.10629,0.972082,0.942152,1.04705,1.05614,1.01856,1.05869,1.18763,0.984144,0.932206,1.0571,1.13695,1.08871,0.900954,1.02287,1.2338,1.2597,1.21975,1.29004,1.40344,1.46939,1.25343
1.1094,0.523729,0.440075,0.438177,0.885924,0.588629,1.00941,0.823774,0.792439,0.721424,0.414081,0.772248,0.476896,0.891655,0.950057,0.535764,0.964075,0.77255,0.375785,0.92357,0.313749,0.671359,1.37853,0.339966,0.30338,0.80967,1.24935,0.679762,0.830665,0.743487,0.950363,1.06024,1.00731,0.57194,0.887682,1.06802,0.998222,0.957883,0.972699,0.99388,1.14945,1.35307,0.509775,0.56012,1.10505,1.12957,0.896817,0.623771,0.451393,0.395272,1.31986,1.05812,1.23992,0.958083,1.18077,1.00011
