logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.806131,0.738492,1.06486,0.557568,0.767753,0.713413,0.469715,0.48655,0.63562,0.557577,0.549005,-0.0754742,0.669927,0.243648,1.01472,0.19514599999999999,1.11367,0.861077,0.303125,0.494488,1.09488,0.584023,0.324865,0.40365,0.55476,0.533254,0.976603,0.702323,-0.0307615,0.773405,0.571949,0.143905,0.464132,1.00788,0.872768,1.11474,1.1137,0.757072,0.629046,1.22767,0.641543,1.05384,0.954213,1.17833,0.517819,0.200823,0.60034,0.145921,1.25541,0.754224,0.672562,0.734404,1.3382,0.633788,0.347202,1.53077
0.779087,0.838119,0.642128,0.857756,0.870845,0.943719,0.955963,0.825955,0.682715,0.875647,0.774421,0.90933,0.791561,0.984939,0.817066,1.16318,0.82368,0.759389,0.905516,0.869502,0.595175,0.775334,0.810487,0.921089,1.02223,0.977517,0.866152,1.06709,1.09675,0.926588,0.93226,1.13785,1.00134,0.901371,1.00639,0.981592,0.873302,0.991086,1.03638,0.905534,0.976617,0.741861,0.838813,0.844919,0.891461,0.931329,0.946542,1.18907,0.870739,0.834307,1.0143,1.04814,1.00816,0.981338,1.13983,0.914174
0.800154,0.58168,0.874604,0.506659,0.639534,0.647922,0.536974,0.500399,0.870226,0.792218,0.539344,0.465428,0.774274,0.237382,0.836483,0.266593,0.833326,0.970664,0.570179,0.246754,1.18136,0.687093,0.744563,0.581715,0.53785,0.698278,0.719401,0.42339,0.741409,0.745798,0.773533,0.592634,0.989381,0.915866,0.951787,1.39026,1.41495,1.32365,1.10427,1.29307,1.05687,1.35114,1.44068,1.29101,0.925396,1.00878,0.949143,1.12803,1.46177,1.53275,1.16196,1.185,1.65206,1.40954,1.22424,2.10917
0.903403,0.894219,0.888653,0.891464,0.888657,0.863527,0.8359,0.880296,0.912036,0.908568,0.904537,0.899749,0.889125,0.903406,0.854586,0.836918,0.848736,0.885118,0.901873,0.929323,0.938037,0.921856,0.92753,0.882624,0.836499,0.836692,0.844509,0.812269,0.829096,0.859322,0.840953,0.818252,0.803926,0.845681,0.785778,0.794839,0.799728,0.760183,0.805511,0.822033,0.856576,0.860894,0.854854,0.829559,0.873007,0.878599,0.87431,0.795441,0.823842,0.850532,0.835958,0.785624,0.759118,0.797888,0.809514,0.727059
0.712666,0.668703,0.619227,0.656434,0.618399,0.659234,0.491705,0.613041,0.640631,0.752914,0.64313,0.681698,0.739019,0.707085,0.634544,0.73613,0.690052,0.656703,0.759576,0.856753,0.800057,0.847174,0.860963,0.676766,0.71953,0.693703,0.808826,0.679894,0.74482,0.906067,0.893092,0.894516,0.839418,0.966382,0.796856,0.928267,0.891206,0.759544,0.917995,0.990689,1.03211,0.960171,1.01141,1.08284,1.14713,1.0425,1.1705,1.04167,1.15032,1.1457,1.14946,1.13562,1.11286,1.28098,1.3269,1.16866
0.900473,0.740553,0.604074,0.666528,0.569731,0.854553,0.256339,0.385203,0.291832,0.554452,0.484451,1.03645,0.95632,0.642558,0.427386,0.493997,0.536297,0.284516,0.794874,0.877611,0.981781,1.2981,1.23881,0.516428,0.714043,0.56731,1.00155,0.356953,0.464815,0.809005,0.729165,0.680207,0.634448,0.949211,0.511042,0.966922,0.554786,0.36495,0.708613,0.790203,1.01112,0.49652,0.875823,0.923761,1.14175,0.949238,1.29424,0.698301,0.991619,0.960289,1.28135,0.792573,0.646958,1.35722,0.870646,0.839616
0.609246,0.578966,0.552565,0.557927,0.579083,0.507888,0.402796,0.526016,0.56938,0.521942,0.631811,0.636,0.664616,0.651366,0.57954,0.481403,0.498804,0.645516,0.660849,0.651724,0.790278,0.799467,0.834563,0.764011,0.737592,0.720836,0.753668,0.667189,0.858091,0.872679,0.940708,0.807246,0.873711,0.897822,0.938633,0.932318,1.03849,0.915379,1.14239,1.20419,1.16426,1.32772,1.30993,1.31162,1.45381,1.42342,1.38829,1.36217,1.52387,1.46846,1.49527,1.55839,1.47353,1.76848,1.74722,1.63298
0.776647,0.777869,0.762516,0.76208,0.724412,0.792606,0.793886,0.717163,0.735221,0.81589,0.700946,0.676171,0.757102,0.713109,0.85919,0.973054,0.942951,0.784255,0.816695,0.718486,0.550648,0.671204,0.71042400000000006,0.8081,0.904789,0.883366,0.846368,0.991558,0.853028,0.854691,0.926393,1.01131,0.963676,0.954838,1.0592,1.2157,1.0307,1.1138,1.06593,0.970572,0.974943,0.871183,0.865136,0.933925,0.899144,0.925339,0.979284,1.04189,0.959497,1.0157,1.01899,1.15336,1.19034,1.08173,1.03643,1.21507
0.505317,0.49548,0.449109,0.501091,0.496716,0.699298,0.668065,0.567696,0.461876,0.429808,0.402019,0.518188,0.491805,0.524585,0.661692,0.804079,0.680626,0.545075,0.503272,0.456578,0.471122,0.442401,0.474819,0.555877,0.654643,0.76788,0.866724,0.847637,0.839392,0.752443,0.779806,0.893368,0.917118,0.785445,0.944064,1.00133,1.02866,1.06804,0.948071,0.896415,0.747134,0.737331,0.781069,0.909057,0.718255,0.716483,0.774485,0.983147,0.926444,0.820204,0.913192,1.04885,1.21305,1.05701,1.12732,1.35518
0.422256,0.836902,0.505364,0.468215,0.0253541,0.892734,0.791526,0.933158,0.631699,0.63316,0.162278,0.479341,0.447837,0.703689,0.855714,0.724698,0.52585,0.441514,0.797466,0.63829,0.726512,0.745652,0.509497,0.824943,0.829755,0.84083,0.75527,0.894947,0.742429,0.49824,0.947094,0.644431,0.876527,0.891371,1.14463,0.735019,1.01218,1.29096,1.0918,1.27541,0.792886,1.00058,1.06646,1.51397,1.28004,0.999182,1.04976,1.07879,1.29679,1.34886,1.13656,1.1928,1.32908,1.09192,1.62043,1.87545
1.09868,0.471057,0.916791,0.826991,1.69453,0.654434,0.703092,0.227981,0.554315,0.971235,1.20245,0.90198,1.05009,0.946502,1.07291,0.766606,1.0222,1.19893,0.606453,0.84345,0.62696,0.729935,0.870558,0.937978,0.96656,0.832209,0.85523,0.540757,1.00356,1.21405,0.479442,0.981298,0.842938,1.06724,0.418758,1.26916,0.884143,0.511886,0.56829,0.633403,1.01202,0.593953,1.03756,0.519343,0.516897,0.769494,0.69822,0.824534,0.729258,0.401141,0.686105,0.652569,0.626917,0.915334,0.38521,0.14469
0.669083,0.671916,0.813673,0.519278,-0.0108839,0.645643,0.893823,0.925784,0.741682,0.889876,0.455976,0.679947,0.522314,0.490554,1.07469,1.17471,0.786664,0.589065,0.250557,0.751844,0.740885,1.0068,0.606167,0.740192,1.00736,0.631058,0.741668,0.667445,0.906526,0.45479,0.598632,0.896242,0.515945,0.985095,0.31065,0.653013,0.971815,0.693222,0.865069,1.26704,0.728492,0.53266,1.08929,1.11844,0.9839,0.735769,0.799299,0.548515,0.798701,0.704083,0.453315,0.717203,1.0217,0.588006,0.6739,0.707006
0.722228,0.586399,0.428285,0.564306,0.789052,0.832724,0.298884,0.857187,0.42717,0.881814,0.828031,0.928741,0.640484,0.644619,0.725766,0.688312,0.776114,1.03222,0.953609,0.933049,0.710577,0.844394,0.893169,1.21948,0.598544,0.514842,0.850382,0.793702,0.848794,1.0142,1.16675,0.782571,0.962478,0.964451,1.04637,1.21755,1.02455,0.862807,0.930388,1.31893,1.01983,1.25069,1.15533,1.35376,1.20457,1.41179,1.43926,1.25498,1.39635,1.2428,1.24261,1.39207,1.24319,1.47257,1.42656,1.30856
0.766296,0.689678,0.519722,0.655808,0.744407,0.842337,0.619054,0.754842,0.604406,0.798148,0.730712,0.781213,0.714532,0.632245,0.725918,0.851395,0.828393,0.838,0.772783,0.723215,0.590234,0.709845,0.670372,0.921779,0.660938,0.734612,0.859426,0.88831,0.855768,0.762808,0.992245,0.779514,0.959719,0.879202,1.03322,1.03951,0.978496,1.00585,0.957307,1.04427,0.921443,0.940974,0.797507,1.03217,0.88492,0.987442,0.934886,0.990984,1.0053,0.940583,1.01279,0.983574,1.02703,1.19442,1.09383,1.19798
0.591207,0.618181,0.848531,0.575804,0.596499,0.565226,0.950054,0.342508,0.62059,0.590445,0.46516,0.21104,0.700905,1.04689,0.922344,0.837992,0.77746,0.40099,0.601736,0.801286,0.753278,0.579845,0.507375,0.489441,1.31192,0.691498,0.736341,0.236976,0.643127,0.605784,0.924377,0.869125,0.701274,0.839999,0.655847,0.545454,0.779102,0.821079,0.655006,0.483027,0.814001,0.536602,0.732684,0.821941,0.668632,0.481186,0.641441,0.48698,0.83435,0.730609,0.45421,0.799635,0.783589,0.239531,0.860433,0.900779
0.828502,0.777611,0.757026,0.80746,0.842332,0.973073,0.723752,0.867801,0.711142,0.839581,0.832039,0.915991,0.77451,0.677617,0.893532,0.912925,0.870984,0.93945,0.819537,0.776381,0.734097,0.91926,0.831306,1.00524,0.733741,0.957641,0.967329,1.12473,1.09373,1.0188,0.909917,0.990568,1.10174,1.03505,1.12918,1.26415,1.19391,1.15218,1.18427,1.31774,1.09263,1.17015,1.18517,1.21242,1.13914,1.23964,1.17615,1.34821,1.16232,1.24697,1.34982,1.34881,1.39863,1.60318,1.37918,1.50115
0.860559,0.783349,0.869227,0.843376,0.872166,0.908568,0.779075,0.882398,0.777867,0.90437,0.826699,0.952868,0.797122,0.772066,0.896714,0.943968,0.824879,0.964473,0.890519,0.886415,0.798689,0.927862,0.91569,0.997059,0.825721,0.977959,0.965008,1.03099,0.993822,1.08729,0.936479,0.999777,1.06719,1.08152,1.11814,1.15458,1.16624,1.13153,1.20486,1.23901,1.16375,1.21917,1.22212,1.24694,1.24595,1.31815,1.29206,1.41502,1.284,1.3435,1.3738,1.38629,1.36639,1.62818,1.46986,1.54251
0.573006,0.744062,0.517675,0.711356,0.638647,0.719683,0.952467,0.310438,0.535471,0.519258,0.520336,0.212376,0.79657,0.980461,1.12084,0.737784,1.00196,0.420746,0.492553,0.565681,0.710241,0.458384,0.460013,0.671861,1.23947,0.736245,0.861108,0.657856,1.06768,0.506874,1.06285,1.0322,0.926188,0.980735,0.783007,0.995759,0.995606,1.2094,0.785873,0.756504,0.814245,0.456306,0.808163,0.908385,0.591232,0.418852,0.481461,0.460336,0.975522,0.539306,0.52813,0.768185,1.11206,0.171581,0.758792,1.08332
0.676268,0.433246,0.744925,0.662644,0.863125,0.989821,0.616527,0.933636,0.508368,0.925222,0.605709,1.08793,0.538545,0.507136,0.808834,1.08319,0.605314,1.15817,0.703403,0.743528,0.408926,0.824233,0.751402,1.00622,0.46807,0.995372,0.967352,1.09173,0.911202,1.23569,0.55748,0.728237,1.07072,1.01388,1.15132,1.26504,1.17637,1.00214,1.28961,1.46387,1.18782,1.2292,1.18755,1.18771,1.08324,1.29692,1.24277,1.51756,1.13783,1.24171,1.44975,1.26198,1.29789,1.94859,1.44453,1.54435
