logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
3.73654,3.79881,3.83709,3.8689,3.93135,3.95699,4.07172,3.93477,3.95934,3.92579,3.96476,3.95982,4.07141,4.20995,4.05174,4.1656,4.13769,4.35804,4.2046,4.17905,4.17241,4.17806,4.11862,3.9818,4.22335,4.14226,4.31041,4.1419,4.1752,4.14721,4.30658,4.32861,4.05671,4.20986,4.19625,4.21649,4.31851,4.36674,4.25974,4.14644,4.33538,4.28967,4.18311,4.30919,4.27728,4.48929,4.40942,4.51357,4.41613,4.61503,4.55235,4.43748,4.43695,4.28435,4.17936,4.1355
3.72394,3.76514,3.68796,3.62702,3.82226,3.72573,3.95168,4.25603,4.05209,4.17023,4.17832,4.31232,4.05622,3.99184,4.16252,4.12478,4.27052,4.07787,4.04454,3.94382,4.06432,4.00883,4.47534,4.65692,4.27935,4.55411,4.32041,4.27719,4.23104,4.40769,4.30059,4.19268,4.62448,4.9568,4.50446,4.8385,4.55226,4.51052,4.61004,4.74895,4.3672,4.75264,4.42518,4.20677,4.65541,4.53211,4.11565,4.48518,4.43844,4.60789,4.72153,4.317,5.00869,4.93379,4.57356,4.68746
3.45017,3.57925,3.64046,3.6799,3.78668,3.95624,3.94331,4.02342,3.89162,3.85574,3.97725,3.99485,4.0719900000000004,4.13408,4.1712,4.16088,4.19761,4.19852,4.1833,4.08666,4.26995,4.19837,4.19819,4.12496,4.13893,4.18956,4.23677,4.01735,4.11445,4.16718,4.18889,4.16188,4.1431,4.26853,4.28941,4.19374,4.28337,4.33262,4.35941,4.33147,4.39429,4.33823,4.27555,4.3169,4.40546,4.48448,4.61266,4.63873,4.70708,4.85559,4.88479,4.71847,4.66125,4.48195,4.3879,4.28346
3.6530300000000002,3.76888,3.73632,3.6998,3.73362,3.71745,3.98865,4.12066,3.9413,3.89248,4.18702,4.22174,4.04655,4.02404,4.10231,4.1323,4.19783,4.05721,3.95916,3.93611,4.17007,3.96948,4.43527,4.49569,4.23071,4.36313,4.21734,4.15481,4.16539,4.30724,4.28364,4.12371,4.34576,4.61185,4.37154,4.66265,4.3847,4.2572,4.41904,4.58697,4.44999,4.58378,4.33911,4.07254,4.42924,4.38763,3.96472,4.41238,4.43209,4.56673,4.59795,4.32157,4.68514,4.76696,4.46238,4.55269
3.53081,3.57579,3.67775,3.74657,3.86921,4.04052,3.90108,4.00534,4.01997,3.88657,3.89197,3.95741,4.0564,4.14065,4.14974,4.09176,4.15603,4.25966,4.24391,4.15572,4.16997,4.20002,4.09109,3.97253,4.12248,4.12155,4.27504,4.08645,4.14896,4.13959,4.23059,4.25906,4.19428,4.23701,4.2623,4.06294,4.31007,4.39567,4.30287,4.16345,4.30614,4.23022,4.27539,4.4357,4.41853,4.46696,4.80227,4.65813,4.7225,4.81225,4.85057,4.65624,4.59228,4.27894,4.29967,4.18429
3.73328,3.75818,3.66048,3.95103,3.93237,3.97297,4.00434,4.26702,4.07649,3.98727,4.15271,4.35716,4.10318,4.22647,4.20806,4.27058,4.30395,4.36168,4.33983,4.07076,4.32622,4.21047,4.34485,4.23113,4.25386,4.27224,4.5411,4.19939,4.33074,4.19713,4.41396,4.46147,4.4129,4.49012,4.49022,4.21766,4.52789,4.62785,4.40842,4.28247,4.59445,4.42995,4.36686,4.5394,4.5364,4.626,5.02799,4.77833,4.74021,5.14542,5.03063,4.91154,4.89324,4.41809,4.39433,4.20283
3.68637,3.85594,4.0182,3.54822,3.89804,3.91298,4.00556,3.54175,3.58065,3.9423,4.04589,3.95214,4.12134,4.54398,4.14658,4.03573,4.40036,4.35877,4.27743,4.54181,4.24241,4.07941,4.62476,4.434,4.35205,4.67607,4.42875,4.36166,4.36873,4.5178,4.76598,4.2886,4.61542,4.73506,4.48119,4.8832,4.45882,4.3201,4.58118,4.75091,4.26169,4.51665,4.3806,4.37031,4.58761,4.39516,4.57284,4.54439,4.90084,4.80794,4.82722,4.67336,4.73077,4.93208,4.51066,4.9497
3.62237,3.59425,3.28644,3.91125,3.895,3.88205,3.99527,4.05577,3.85933,3.90683,4.19659,4.28448,4.09229,4.07271,4.23548,4.13876,4.12558,4.1582,4.11542,4.00435,4.1856,4.27061,4.22994,4.17287,4.16463,4.0423,4.39379,4.19049,4.3259,4.32674,4.32908,4.35634,4.24467,4.40962,4.1504200000000004,4.25929,4.44728,4.49883,4.26637,4.30826,4.6091,4.36651,4.35672,4.44081,4.48003,4.52821,4.41758,4.63593,4.94406,4.98606,4.77701,4.71375,4.75946,4.49405,4.21375,4.29441
3.58284,3.80299,3.81334,3.70827,4.00029,3.86954,3.98547,4.0983,3.83904,4.09506,3.94995,4.1451,4.11166,4.18841,4.26708,4.3756,4.37774,4.1854,4.17156,4.20546,4.27599,4.25723,4.35853,4.18218,4.28265,4.07478,4.39688,4.2599,4.12843,4.21172,4.2895200000000004,4.22607,4.30006,4.49304,4.29703,4.45123,4.42518,4.49991,4.47477,4.353,4.6175,4.52884,4.33534,4.36452,4.44587,4.61539,4.69408,4.64179,4.63753,5.09157,5.20546,4.85181,4.88966,4.67274,4.46733,4.159
3.53321,3.73109,3.76028,3.7401,3.94253,3.95229,4.03965,4.11174,3.8794400000000002,4.03515,4.01612,4.17876,4.17082,4.23276,4.29054,4.37916,4.38744,4.25356,4.21603,4.19269,4.32588,4.32599,4.40417,4.24162,4.29126,4.20198,4.41858,4.21121,4.14108,4.28934,4.31126,4.24707,4.3103,4.4558,4.4047,4.4101,4.44858,4.50148,4.49463,4.44224,4.63704,4.57149,4.38166,4.40311,4.52797,4.64655,4.72268,4.71904,4.74375,5.10644,5.197,4.88021,4.88409,4.74869,4.56484,4.30166
